Datetime,MoLS,Neural Network,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,weekly_mean,weekly_var
2013-08-31,13512.2,15775.702442999998,3.0,4.0,4.0,5.0,5.0,4.0,6.0,5.0,8.0,2.0,11.0,5.0,14.0,7.0,4.0,7.0,2.0,8.0,6.0,8.0,5.0,3.0,9.0,7.0,11.0,7.0,15.0,2.0,3.0,4.0,5.0,7.0,3.0,11.0,4.0,3.0,9.0,7.0,6.0,6.0,9.0,4.0,11.0,8.0,6.0,7.0,7.0,6.0,2.0,4.0,6.18,9.007755102040816
2013-09-07,13929.4,15790.957652000001,4.0,5.0,6.0,5.0,5.0,8.0,7.0,6.0,13.0,6.0,6.0,9.0,8.0,0.0,5.0,4.0,8.0,4.0,7.0,8.0,2.0,9.0,10.0,5.0,14.0,4.0,6.0,12.0,9.0,9.0,8.0,3.0,13.0,7.0,3.0,7.0,3.0,3.0,7.0,7.0,5.0,7.0,4.0,0.0,11.0,8.0,2.0,15.0,4.0,14.0,6.7,12.1734693877551
2013-09-14,15300.2,17284.524629,6.0,2.0,9.0,7.0,3.0,6.0,6.0,6.0,4.0,8.0,8.0,9.0,6.0,2.0,5.0,12.0,9.0,3.0,9.0,7.0,4.0,3.0,9.0,3.0,15.0,6.0,7.0,3.0,9.0,13.0,2.0,4.0,3.0,2.0,1.0,7.0,8.0,4.0,6.0,7.0,6.0,10.0,12.0,4.0,11.0,6.0,7.0,6.0,6.0,4.0,6.3,9.76530612244898
2013-09-21,17954.6,20163.566395,6.0,3.0,6.0,1.0,8.0,9.0,14.0,2.0,2.0,10.0,2.0,5.0,10.0,3.0,3.0,6.0,11.0,3.0,9.0,9.0,6.0,9.0,2.0,11.0,4.0,7.0,9.0,5.0,11.0,5.0,6.0,9.0,12.0,9.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,8.0,11.0,8.0,11.0,13.0,5.0,13.0,4.0,14.0,7.1,11.887755102040817
2013-09-28,20592.0,22273.572362,12.0,5.0,6.0,8.0,8.0,5.0,13.0,9.0,12.0,8.0,19.0,5.0,14.0,19.0,13.0,14.0,9.0,7.0,7.0,13.0,8.0,17.0,7.0,7.0,7.0,6.0,10.0,4.0,4.0,5.0,7.0,9.0,4.0,7.0,10.0,7.0,5.0,10.0,10.0,7.0,7.0,7.0,10.0,14.0,12.0,8.0,9.0,9.0,9.0,6.0,8.96,13.263673469387756
2013-10-05,22651.8,22399.059889,5.0,4.0,11.0,13.0,16.0,2.0,6.0,13.0,14.0,4.0,9.0,7.0,13.0,5.0,10.0,6.0,5.0,9.0,6.0,4.0,9.0,11.0,7.0,16.0,9.0,12.0,5.0,5.0,4.0,6.0,6.0,9.0,11.0,8.0,8.0,14.0,10.0,14.0,16.0,17.0,14.0,8.0,6.0,3.0,13.0,7.0,9.0,10.0,9.0,6.0,8.88,15.128163265306123
2013-10-12,23729.8,22247.201763,9.0,10.0,9.0,14.0,20.0,11.0,9.0,13.0,6.0,18.0,7.0,16.0,5.0,12.0,7.0,13.0,14.0,15.0,11.0,10.0,7.0,14.0,10.0,12.0,11.0,26.0,14.0,15.0,5.0,9.0,9.0,10.0,7.0,8.0,13.0,8.0,10.0,3.0,15.0,12.0,5.0,8.0,7.0,12.0,14.0,8.0,11.0,4.0,11.0,17.0,10.88,18.59755102040816
2013-10-19,24357.8,23147.848277,11.0,7.0,9.0,12.0,10.0,8.0,8.0,8.0,6.0,13.0,14.0,13.0,14.0,15.0,10.0,20.0,12.0,10.0,5.0,12.0,12.0,21.0,7.0,16.0,7.0,9.0,14.0,11.0,16.0,9.0,10.0,8.0,8.0,6.0,5.0,8.0,11.0,7.0,11.0,8.0,11.0,12.0,7.0,9.0,6.0,19.0,10.0,11.0,13.0,23.0,10.84,16.504489795918367
2013-10-26,25104.9,24927.106068,20.0,14.0,21.0,5.0,7.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,13.0,5.0,9.0,14.0,8.0,10.0,6.0,13.0,6.0,11.0,20.0,6.0,8.0,20.0,11.0,15.0,9.0,15.0,10.0,25.0,6.0,16.0,8.0,4.0,18.0,7.0,5.0,19.0,15.0,12.0,7.0,8.0,10.0,14.0,11.0,17.0,12.0,26.0,11.84,27.48408163265306
2013-11-02,25814.4,25608.616527,12.0,7.0,11.0,9.0,5.0,9.0,14.0,14.0,6.0,9.0,10.0,12.0,12.0,11.0,7.0,20.0,11.0,3.0,12.0,5.0,20.0,16.0,13.0,16.0,14.0,3.0,7.0,8.0,17.0,3.0,5.0,12.0,10.0,16.0,7.0,8.0,15.0,13.0,16.0,14.0,19.0,8.0,6.0,10.0,19.0,14.0,9.0,21.0,9.0,7.0,11.08,22.034285714285712
