Datetime,MoLS,Neural Network,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,weekly_mean,weekly_var
2013-08-31,13512.2,15775.702442999998,8.0,3.0,3.0,7.0,9.0,5.0,4.0,8.0,13.0,6.0,8.0,8.0,6.0,7.0,3.0,8.0,4.0,12.0,6.0,2.0,0.0,2.0,6.0,11.0,6.0,7.0,6.0,8.0,6.0,5.0,4.0,3.0,5.0,6.0,12.0,9.0,6.0,3.0,7.0,8.0,8.0,4.0,13.0,10.0,6.0,4.0,6.0,4.0,14.0,2.0,6.42,9.71795918367347
2013-09-07,13929.4,15790.957652000001,6.0,7.0,3.0,7.0,10.0,9.0,7.0,5.0,8.0,5.0,10.0,6.0,9.0,5.0,6.0,6.0,7.0,6.0,5.0,6.0,6.0,11.0,7.0,7.0,10.0,8.0,8.0,6.0,10.0,7.0,4.0,9.0,7.0,6.0,5.0,5.0,5.0,9.0,3.0,6.0,8.0,5.0,4.0,6.0,13.0,7.0,6.0,5.0,6.0,4.0,6.72,4.328163265306122
2013-09-14,15300.2,17284.524629,10.0,7.0,5.0,12.0,7.0,8.0,6.0,4.0,5.0,3.0,6.0,6.0,8.0,8.0,7.0,5.0,7.0,6.0,7.0,9.0,7.0,7.0,7.0,4.0,6.0,10.0,7.0,9.0,11.0,5.0,8.0,2.0,5.0,8.0,11.0,8.0,7.0,11.0,9.0,9.0,8.0,12.0,3.0,8.0,5.0,10.0,8.0,10.0,4.0,7.0,7.24,5.492244897959183
2013-09-21,17954.6,20163.566395,5.0,7.0,12.0,11.0,11.0,15.0,15.0,10.0,6.0,13.0,10.0,10.0,9.0,9.0,9.0,8.0,12.0,13.0,11.0,12.0,3.0,6.0,9.0,6.0,9.0,12.0,7.0,14.0,7.0,10.0,10.0,8.0,3.0,9.0,8.0,10.0,6.0,6.0,6.0,5.0,9.0,8.0,7.0,8.0,2.0,11.0,10.0,15.0,8.0,13.0,9.06,9.567755102040817
2013-09-28,20592.0,22273.572362,4.0,11.0,10.0,14.0,10.0,12.0,14.0,9.0,11.0,10.0,15.0,10.0,13.0,10.0,12.0,9.0,17.0,11.0,5.0,2.0,15.0,11.0,9.0,6.0,12.0,13.0,12.0,5.0,9.0,12.0,8.0,8.0,7.0,9.0,9.0,17.0,10.0,6.0,9.0,11.0,15.0,13.0,8.0,5.0,8.0,8.0,6.0,7.0,6.0,10.0,9.86,11.020816326530609
2013-10-05,22651.8,22399.059889,8.0,12.0,12.0,10.0,11.0,6.0,12.0,8.0,12.0,8.0,7.0,15.0,14.0,12.0,6.0,10.0,11.0,17.0,10.0,10.0,11.0,15.0,9.0,6.0,6.0,12.0,9.0,12.0,16.0,9.0,14.0,11.0,4.0,15.0,7.0,14.0,11.0,9.0,14.0,11.0,11.0,6.0,10.0,16.0,7.0,12.0,11.0,15.0,5.0,3.0,10.44,11.190204081632654
2013-10-12,23729.8,22247.201763,13.0,15.0,9.0,18.0,13.0,14.0,12.0,7.0,10.0,16.0,18.0,8.0,14.0,11.0,6.0,6.0,14.0,14.0,19.0,12.0,11.0,14.0,18.0,13.0,7.0,13.0,10.0,11.0,11.0,7.0,10.0,14.0,11.0,8.0,17.0,11.0,10.0,8.0,9.0,16.0,12.0,11.0,16.0,6.0,5.0,11.0,16.0,10.0,16.0,8.0,11.78,13.032244897959183
2013-10-19,24357.8,23147.848277,12.0,4.0,15.0,9.0,9.0,17.0,11.0,17.0,8.0,12.0,5.0,10.0,10.0,6.0,14.0,11.0,12.0,7.0,12.0,11.0,17.0,10.0,10.0,9.0,13.0,12.0,7.0,14.0,11.0,13.0,7.0,13.0,17.0,14.0,8.0,9.0,9.0,12.0,9.0,12.0,11.0,14.0,7.0,12.0,12.0,11.0,14.0,12.0,7.0,12.0,11.0,9.46938775510204
2013-10-26,25104.9,24927.106068,17.0,10.0,16.0,14.0,16.0,12.0,10.0,13.0,17.0,14.0,11.0,10.0,16.0,13.0,13.0,12.0,18.0,17.0,7.0,17.0,10.0,11.0,19.0,9.0,14.0,11.0,11.0,15.0,8.0,7.0,13.0,9.0,15.0,16.0,14.0,9.0,12.0,11.0,8.0,21.0,19.0,11.0,8.0,8.0,10.0,13.0,12.0,8.0,14.0,16.0,12.7,12.173469387755102
2013-11-02,25814.4,25608.616527,12.0,18.0,15.0,15.0,10.0,16.0,11.0,19.0,10.0,14.0,6.0,5.0,21.0,14.0,10.0,6.0,12.0,24.0,9.0,10.0,19.0,10.0,7.0,11.0,13.0,8.0,11.0,13.0,9.0,16.0,12.0,11.0,13.0,11.0,6.0,7.0,15.0,19.0,16.0,13.0,13.0,8.0,11.0,11.0,10.0,14.0,12.0,19.0,9.0,14.0,12.36,17.21469387755102
2013-11-09,26201.9,26348.846657000002,7.0,12.0,11.0,15.0,21.0,13.0,12.0,14.0,22.0,6.0,6.0,16.0,18.0,12.0,14.0,9.0,12.0,16.0,11.0,11.0,16.0,15.0,12.0,11.0,11.0,10.0,16.0,13.0,10.0,17.0,7.0,13.0,10.0,12.0,8.0,14.0,11.0,13.0,6.0,9.0,16.0,12.0,8.0,6.0,12.0,10.0,4.0,13.0,12.0,14.0,11.98,14.101632653061227
2013-11-16,25988.9,26146.357454,18.0,10.0,4.0,14.0,14.0,9.0,6.0,18.0,13.0,11.0,17.0,7.0,7.0,17.0,12.0,17.0,10.0,11.0,13.0,15.0,15.0,4.0,12.0,12.0,18.0,13.0,12.0,15.0,16.0,8.0,14.0,11.0,8.0,10.0,17.0,12.0,13.0,10.0,10.0,5.0,15.0,14.0,15.0,10.0,12.0,6.0,18.0,10.0,14.0,18.0,12.2,14.979591836734693
2013-11-23,25366.9,22892.48602,14.0,17.0,15.0,7.0,8.0,9.0,17.0,17.0,9.0,9.0,10.0,15.0,6.0,14.0,9.0,9.0,14.0,13.0,10.0,16.0,8.0,18.0,10.0,12.0,12.0,13.0,15.0,14.0,14.0,7.0,14.0,10.0,11.0,13.0,12.0,11.0,14.0,13.0,16.0,9.0,13.0,6.0,10.0,18.0,10.0,16.0,12.0,14.0,15.0,12.0,12.2,10.204081632653063
2013-11-30,24755.0,21453.909975,12.0,13.0,8.0,12.0,5.0,9.0,9.0,9.0,14.0,12.0,11.0,10.0,9.0,14.0,17.0,16.0,11.0,3.0,19.0,12.0,16.0,11.0,10.0,14.0,13.0,14.0,19.0,10.0,15.0,8.0,11.0,14.0,11.0,11.0,5.0,7.0,13.0,13.0,19.0,11.0,8.0,8.0,14.0,12.0,5.0,12.0,11.0,17.0,10.0,8.0,11.5,13.193877551020408
2013-12-07,24358.7,22324.11363,6.0,11.0,13.0,19.0,11.0,9.0,13.0,9.0,13.0,10.0,13.0,7.0,8.0,14.0,12.0,15.0,12.0,17.0,18.0,11.0,9.0,19.0,13.0,12.0,11.0,22.0,19.0,7.0,9.0,9.0,13.0,9.0,10.0,13.0,9.0,11.0,11.0,9.0,15.0,20.0,17.0,11.0,5.0,19.0,11.0,17.0,13.0,11.0,9.0,7.0,12.22,15.766938775510203
2013-12-14,23677.5,21334.353775,11.0,15.0,9.0,7.0,10.0,12.0,7.0,14.0,5.0,10.0,7.0,17.0,15.0,11.0,10.0,10.0,10.0,11.0,13.0,10.0,15.0,8.0,12.0,16.0,13.0,6.0,12.0,8.0,10.0,8.0,15.0,14.0,12.0,12.0,13.0,17.0,6.0,17.0,12.0,11.0,10.0,13.0,12.0,10.0,12.0,13.0,15.0,13.0,14.0,15.0,11.56,9.108571428571429
2013-12-21,22423.3,20236.663592,5.0,9.0,13.0,10.0,7.0,7.0,10.0,10.0,11.0,11.0,13.0,9.0,6.0,7.0,12.0,7.0,7.0,13.0,12.0,8.0,4.0,7.0,10.0,8.0,12.0,10.0,13.0,12.0,9.0,5.0,7.0,6.0,14.0,10.0,10.0,12.0,11.0,15.0,16.0,10.0,8.0,9.0,10.0,8.0,16.0,6.0,18.0,11.0,6.0,11.0,9.82,9.57918367346939
