Datetime,MoLS,Neural Network,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,weekly_mean,weekly_var
2013-08-31,12895.0,13722.392366,5.0,7.0,5.0,8.0,3.0,6.0,4.0,7.0,8.0,4.0,7.0,2.0,3.0,3.0,9.0,3.0,12.0,2.0,4.0,0.0,3.0,1.0,6.0,2.0,3.0,2.0,5.0,2.0,5.0,2.0,3.0,9.0,4.0,13.0,9.0,6.0,2.0,1.0,6.0,7.0,5.0,3.0,1.0,6.0,4.0,4.0,6.0,4.0,10.0,7.0,4.86,8.24530612244898
2013-09-07,14498.2,13874.600951,6.0,1.0,14.0,6.0,5.0,5.0,10.0,4.0,3.0,5.0,4.0,12.0,6.0,9.0,8.0,3.0,6.0,9.0,9.0,15.0,7.0,12.0,11.0,6.0,6.0,8.0,9.0,5.0,2.0,6.0,9.0,5.0,11.0,8.0,6.0,6.0,3.0,9.0,8.0,11.0,11.0,6.0,8.0,5.0,8.0,10.0,3.0,20.0,5.0,9.0,7.46,12.620816326530608
2013-09-14,18714.7,16266.473061,5.0,5.0,10.0,11.0,11.0,4.0,5.0,11.0,12.0,11.0,8.0,11.0,8.0,6.0,4.0,6.0,6.0,3.0,4.0,14.0,10.0,7.0,7.0,16.0,18.0,11.0,10.0,16.0,5.0,7.0,11.0,6.0,9.0,10.0,8.0,21.0,3.0,10.0,5.0,5.0,10.0,12.0,12.0,8.0,8.0,14.0,5.0,13.0,9.0,2.0,8.86,16.531020408163265
2013-09-21,23231.8,19811.504524,11.0,6.0,9.0,11.0,8.0,8.0,11.0,10.0,17.0,22.0,6.0,15.0,11.0,11.0,5.0,9.0,19.0,4.0,11.0,6.0,17.0,9.0,8.0,8.0,10.0,11.0,13.0,13.0,9.0,10.0,11.0,8.0,8.0,13.0,13.0,6.0,10.0,15.0,11.0,6.0,7.0,6.0,8.0,21.0,16.0,8.0,9.0,17.0,17.0,12.0,10.8,17.306122448979593
2013-09-28,24059.5,22074.811694,9.0,5.0,5.0,5.0,18.0,10.0,13.0,19.0,17.0,12.0,10.0,12.0,19.0,6.0,5.0,12.0,10.0,8.0,12.0,14.0,11.0,9.0,5.0,11.0,18.0,12.0,9.0,5.0,16.0,11.0,15.0,18.0,10.0,28.0,14.0,8.0,12.0,7.0,14.0,10.0,18.0,11.0,15.0,12.0,16.0,6.0,13.0,8.0,17.0,17.0,11.94,22.99632653061224
2013-10-05,22246.6,24835.97915,13.0,8.0,3.0,11.0,10.0,11.0,7.0,5.0,9.0,9.0,4.0,5.0,6.0,10.0,7.0,10.0,15.0,6.0,5.0,12.0,24.0,6.0,7.0,13.0,9.0,9.0,13.0,16.0,19.0,15.0,5.0,9.0,15.0,14.0,8.0,10.0,15.0,11.0,6.0,15.0,9.0,7.0,9.0,12.0,18.0,7.0,5.0,14.0,17.0,12.0,10.3,19.479591836734695
2013-10-12,21620.4,25293.544239,14.0,10.0,15.0,8.0,15.0,6.0,5.0,6.0,10.0,9.0,8.0,11.0,8.0,12.0,9.0,13.0,11.0,13.0,9.0,12.0,3.0,14.0,15.0,9.0,5.0,5.0,10.0,11.0,2.0,11.0,13.0,6.0,9.0,22.0,10.0,10.0,15.0,7.0,8.0,15.0,8.0,14.0,9.0,9.0,4.0,10.0,6.0,9.0,12.0,18.0,10.06,15.282040816326528
2013-10-19,22566.8,26095.256918,8.0,10.0,10.0,6.0,17.0,9.0,7.0,22.0,12.0,13.0,4.0,10.0,26.0,12.0,16.0,16.0,7.0,13.0,13.0,16.0,7.0,11.0,10.0,11.0,13.0,11.0,13.0,7.0,17.0,12.0,9.0,3.0,15.0,14.0,11.0,6.0,9.0,6.0,16.0,10.0,14.0,10.0,6.0,11.0,14.0,13.0,9.0,11.0,18.0,5.0,11.38,19.8730612244898
2013-10-26,23688.8,27496.529858,9.0,11.0,9.0,12.0,12.0,11.0,3.0,4.0,17.0,14.0,6.0,13.0,15.0,13.0,11.0,14.0,6.0,12.0,10.0,21.0,15.0,19.0,18.0,10.0,9.0,8.0,9.0,16.0,11.0,15.0,10.0,6.0,27.0,15.0,11.0,8.0,8.0,10.0,14.0,8.0,2.0,10.0,11.0,7.0,16.0,17.0,16.0,9.0,4.0,11.0,11.46,22.498367346938778
2013-11-02,24281.4,28873.939116999998,10.0,12.0,13.0,19.0,15.0,9.0,8.0,12.0,12.0,22.0,11.0,12.0,8.0,22.0,6.0,8.0,4.0,7.0,20.0,14.0,13.0,10.0,3.0,16.0,20.0,10.0,14.0,7.0,12.0,4.0,21.0,17.0,6.0,11.0,18.0,12.0,7.0,14.0,9.0,19.0,9.0,16.0,10.0,19.0,12.0,7.0,7.0,9.0,8.0,8.0,11.84,24.708571428571425
