Datetime,MoLS,Neural Network,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,weekly_mean,weekly_var
2013-08-31,14401.7,17332.081355000002,2.0,4.0,3.0,8.0,2.0,3.0,6.0,9.0,0.0,2.0,21.0,2.0,5.0,8.0,7.0,9.0,10.0,11.0,6.0,8.0,6.0,6.0,12.0,15.0,6.0,7.0,4.0,18.0,5.0,4.0,2.0,11.0,10.0,17.0,12.0,4.0,3.0,7.0,7.0,6.0,5.0,7.0,5.0,10.0,14.0,9.0,8.0,8.0,11.0,7.0,7.44,19.23102040816326
2013-09-07,16196.6,17173.563835,9.0,9.0,4.0,8.0,5.0,10.0,6.0,8.0,10.0,10.0,5.0,15.0,9.0,7.0,9.0,12.0,10.0,17.0,7.0,4.0,5.0,6.0,9.0,15.0,8.0,14.0,9.0,13.0,11.0,12.0,7.0,6.0,7.0,6.0,6.0,4.0,6.0,3.0,8.0,4.0,1.0,7.0,12.0,9.0,10.0,11.0,14.0,5.0,0.0,6.0,8.16,13.035102040816327
2013-09-14,20221.6,18704.325531,4.0,5.0,7.0,11.0,9.0,3.0,16.0,9.0,6.0,9.0,3.0,7.0,10.0,2.0,9.0,6.0,10.0,8.0,14.0,11.0,11.0,5.0,8.0,11.0,7.0,9.0,10.0,13.0,9.0,3.0,9.0,12.0,2.0,17.0,4.0,7.0,9.0,8.0,4.0,7.0,15.0,10.0,10.0,8.0,6.0,4.0,6.0,4.0,10.0,5.0,8.04,12.528979591836732
2013-09-21,24744.8,21338.544829,13.0,9.0,6.0,9.0,13.0,10.0,12.0,8.0,7.0,9.0,10.0,14.0,8.0,2.0,8.0,10.0,11.0,9.0,4.0,2.0,7.0,10.0,9.0,10.0,16.0,7.0,8.0,4.0,6.0,8.0,16.0,16.0,5.0,10.0,12.0,4.0,17.0,13.0,10.0,9.0,6.0,12.0,10.0,13.0,10.0,9.0,9.0,6.0,10.0,7.0,9.26,11.91061224489796
2013-09-28,25836.1,23831.610919,16.0,4.0,12.0,22.0,6.0,17.0,20.0,13.0,26.0,5.0,15.0,14.0,5.0,12.0,12.0,25.0,8.0,15.0,9.0,6.0,19.0,10.0,14.0,18.0,13.0,29.0,15.0,8.0,16.0,21.0,17.0,10.0,10.0,11.0,15.0,12.0,10.0,14.0,9.0,15.0,17.0,13.0,6.0,14.0,10.0,4.0,10.0,12.0,11.0,9.0,13.08,30.93224489795918
2013-10-05,23328.4,25615.747218,5.0,11.0,13.0,9.0,12.0,12.0,8.0,7.0,15.0,10.0,3.0,11.0,14.0,5.0,15.0,10.0,10.0,11.0,22.0,8.0,18.0,14.0,8.0,8.0,8.0,16.0,4.0,9.0,6.0,10.0,16.0,12.0,9.0,9.0,12.0,11.0,14.0,12.0,19.0,8.0,6.0,22.0,8.0,11.0,19.0,15.0,15.0,20.0,12.0,18.0,11.6,20.73469387755102
2013-10-12,21035.3,25725.040204,5.0,3.0,14.0,16.0,6.0,15.0,7.0,3.0,8.0,5.0,5.0,5.0,11.0,11.0,13.0,8.0,11.0,13.0,22.0,8.0,12.0,13.0,12.0,6.0,5.0,9.0,19.0,13.0,10.0,11.0,1.0,6.0,11.0,12.0,14.0,8.0,5.0,14.0,9.0,15.0,12.0,16.0,8.0,9.0,7.0,9.0,11.0,8.0,11.0,9.0,9.88,17.903673469387755
2013-10-19,20674.2,27069.222295,10.0,13.0,9.0,13.0,16.0,7.0,17.0,25.0,11.0,4.0,13.0,7.0,10.0,4.0,13.0,6.0,11.0,20.0,7.0,10.0,6.0,5.0,15.0,9.0,11.0,5.0,10.0,11.0,7.0,12.0,11.0,10.0,12.0,10.0,14.0,10.0,17.0,11.0,15.0,10.0,13.0,3.0,13.0,5.0,12.0,12.0,12.0,14.0,10.0,14.0,10.9,17.60204081632653
2013-10-26,21572.0,28101.565659,8.0,12.0,6.0,8.0,14.0,8.0,8.0,10.0,10.0,11.0,15.0,12.0,7.0,6.0,12.0,2.0,4.0,12.0,14.0,7.0,9.0,17.0,6.0,7.0,2.0,8.0,11.0,9.0,7.0,7.0,6.0,8.0,6.0,7.0,3.0,6.0,9.0,11.0,13.0,11.0,8.0,10.0,11.0,8.0,10.0,9.0,2.0,7.0,9.0,15.0,8.76,11.369795918367346
2013-11-02,22731.7,28134.856103,14.0,5.0,10.0,14.0,10.0,8.0,4.0,8.0,11.0,4.0,11.0,17.0,11.0,8.0,5.0,9.0,13.0,14.0,14.0,14.0,6.0,7.0,12.0,10.0,12.0,9.0,14.0,7.0,23.0,15.0,11.0,11.0,11.0,6.0,13.0,12.0,19.0,11.0,9.0,11.0,10.0,16.0,11.0,9.0,8.0,9.0,28.0,9.0,12.0,17.0,11.24,20.186122448979592
2013-11-09,22783.9,29678.039102,17.0,9.0,23.0,5.0,1.0,4.0,17.0,12.0,12.0,17.0,12.0,8.0,6.0,5.0,13.0,11.0,9.0,8.0,14.0,11.0,13.0,7.0,11.0,7.0,3.0,14.0,15.0,9.0,9.0,9.0,12.0,8.0,15.0,5.0,9.0,15.0,12.0,18.0,7.0,7.0,10.0,6.0,12.0,11.0,5.0,19.0,5.0,7.0,11.0,10.0,10.3,20.336734693877553
2013-11-16,21135.9,28014.583259,21.0,10.0,3.0,11.0,16.0,10.0,7.0,4.0,5.0,11.0,8.0,14.0,11.0,5.0,12.0,1.0,15.0,18.0,7.0,6.0,6.0,5.0,9.0,10.0,14.0,7.0,9.0,5.0,9.0,9.0,7.0,12.0,7.0,8.0,23.0,5.0,13.0,7.0,9.0,8.0,5.0,6.0,6.0,9.0,18.0,10.0,18.0,12.0,14.0,11.0,9.72,21.715918367346937
2013-11-23,18692.9,24616.005212,8.0,11.0,13.0,8.0,13.0,8.0,5.0,11.0,10.0,7.0,7.0,13.0,6.0,12.0,11.0,9.0,8.0,7.0,4.0,10.0,4.0,9.0,10.0,3.0,10.0,10.0,9.0,9.0,5.0,7.0,5.0,6.0,8.0,5.0,5.0,3.0,17.0,9.0,13.0,16.0,12.0,6.0,3.0,7.0,6.0,10.0,12.0,15.0,10.0,5.0,8.6,11.551020408163266
2013-11-30,16800.1,23137.815709000002,8.0,5.0,8.0,13.0,3.0,8.0,4.0,5.0,5.0,3.0,10.0,14.0,13.0,7.0,6.0,7.0,4.0,7.0,12.0,13.0,9.0,20.0,20.0,7.0,6.0,7.0,8.0,11.0,18.0,19.0,9.0,3.0,2.0,6.0,6.0,9.0,3.0,9.0,4.0,9.0,4.0,5.0,6.0,9.0,13.0,7.0,11.0,4.0,5.0,8.0,8.24,19.859591836734694
2013-12-07,15875.0,22915.352403,10.0,12.0,5.0,12.0,8.0,8.0,8.0,18.0,9.0,7.0,8.0,4.0,5.0,8.0,7.0,9.0,6.0,9.0,13.0,6.0,6.0,4.0,6.0,6.0,16.0,13.0,12.0,9.0,8.0,8.0,9.0,5.0,6.0,8.0,7.0,7.0,11.0,2.0,7.0,5.0,4.0,9.0,7.0,4.0,8.0,16.0,8.0,3.0,2.0,8.0,7.92,11.666938775510204
2013-12-14,15361.5,21266.840092,11.0,3.0,6.0,4.0,5.0,9.0,6.0,7.0,14.0,5.0,14.0,11.0,2.0,11.0,10.0,5.0,6.0,4.0,11.0,3.0,10.0,5.0,6.0,5.0,4.0,7.0,18.0,14.0,12.0,13.0,8.0,10.0,6.0,2.0,7.0,6.0,2.0,6.0,15.0,2.0,4.0,7.0,3.0,11.0,5.0,3.0,8.0,10.0,17.0,8.0,7.62,16.8934693877551
2013-12-21,14878.7,20296.379746,14.0,7.0,8.0,7.0,6.0,7.0,9.0,11.0,2.0,4.0,9.0,19.0,13.0,11.0,8.0,8.0,12.0,13.0,5.0,6.0,9.0,5.0,6.0,9.0,8.0,6.0,6.0,9.0,4.0,6.0,5.0,8.0,4.0,2.0,6.0,7.0,3.0,9.0,3.0,18.0,5.0,10.0,8.0,15.0,7.0,3.0,9.0,4.0,4.0,4.0,7.62,14.403673469387757
2013-12-28,14551.4,18453.799122,17.0,10.0,12.0,9.0,8.0,8.0,5.0,6.0,5.0,14.0,5.0,3.0,3.0,2.0,9.0,4.0,3.0,12.0,5.0,10.0,5.0,8.0,7.0,2.0,0.0,8.0,12.0,10.0,11.0,3.0,1.0,12.0,3.0,3.0,4.0,11.0,7.0,9.0,7.0,7.0,21.0,10.0,3.0,4.0,6.0,8.0,3.0,6.0,17.0,3.0,7.22,19.52204081632653
2014-01-04,14347.1,18652.248517,3.0,5.0,6.0,7.0,15.0,5.0,7.0,11.0,11.0,6.0,10.0,2.0,5.0,2.0,9.0,8.0,8.0,8.0,11.0,10.0,4.0,11.0,5.0,10.0,13.0,5.0,5.0,2.0,9.0,5.0,5.0,12.0,12.0,12.0,7.0,9.0,2.0,1.0,8.0,4.0,6.0,5.0,6.0,5.0,3.0,8.0,9.0,7.0,1.0,4.0,6.88,11.454693877551017
