Datetime,MoLS,Neural Network,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,weekly_mean,weekly_var
2013-07-06,27708.7,30118.284581,15.0,21.0,16.0,12.0,16.0,15.0,4.0,12.0,12.0,11.0,15.0,10.0,21.0,7.0,9.0,21.0,13.0,17.0,15.0,16.0,7.0,18.0,15.0,11.0,13.0,14.0,14.0,12.0,10.0,14.0,8.0,11.0,18.0,8.0,15.0,19.0,19.0,12.0,19.0,8.0,18.0,16.0,14.0,20.0,6.0,9.0,14.0,14.0,12.0,12.0,13.56,17.067755102040817
2013-07-13,28050.0,31895.523284,17.0,12.0,13.0,8.0,9.0,9.0,11.0,11.0,17.0,12.0,22.0,12.0,10.0,15.0,11.0,13.0,12.0,17.0,11.0,14.0,19.0,15.0,14.0,17.0,12.0,15.0,16.0,15.0,26.0,12.0,11.0,16.0,15.0,12.0,14.0,14.0,12.0,13.0,11.0,9.0,16.0,17.0,15.0,15.0,18.0,16.0,19.0,12.0,7.0,19.0,13.96,12.977959183673468
2013-07-20,28582.6,31499.073953,17.0,13.0,19.0,13.0,10.0,16.0,16.0,15.0,9.0,20.0,14.0,16.0,13.0,13.0,11.0,18.0,10.0,18.0,18.0,18.0,17.0,13.0,8.0,16.0,13.0,16.0,17.0,18.0,17.0,6.0,9.0,17.0,10.0,20.0,12.0,15.0,12.0,13.0,19.0,16.0,18.0,10.0,18.0,16.0,18.0,12.0,17.0,10.0,13.0,15.0,14.56,11.802448979591833
2013-07-27,30545.6,32137.307119999998,17.0,15.0,14.0,17.0,8.0,23.0,12.0,10.0,16.0,19.0,8.0,17.0,16.0,15.0,17.0,16.0,11.0,19.0,12.0,18.0,10.0,17.0,14.0,10.0,18.0,24.0,15.0,9.0,23.0,7.0,14.0,12.0,13.0,12.0,14.0,18.0,20.0,16.0,13.0,11.0,12.0,14.0,23.0,13.0,13.0,16.0,13.0,15.0,16.0,15.0,14.8,15.428571428571429
2013-08-03,31879.1,32779.749918,11.0,19.0,14.0,11.0,23.0,22.0,19.0,15.0,18.0,14.0,14.0,13.0,18.0,12.0,16.0,15.0,16.0,12.0,15.0,10.0,14.0,14.0,14.0,8.0,16.0,9.0,9.0,14.0,13.0,17.0,15.0,13.0,9.0,15.0,15.0,11.0,18.0,16.0,17.0,14.0,17.0,15.0,14.0,14.0,10.0,12.0,19.0,20.0,10.0,23.0,14.64,12.561632653061222
2013-08-10,30382.8,33266.401331,17.0,12.0,17.0,17.0,8.0,13.0,15.0,9.0,12.0,21.0,14.0,6.0,13.0,16.0,23.0,18.0,15.0,13.0,19.0,16.0,11.0,13.0,15.0,12.0,13.0,17.0,19.0,7.0,16.0,17.0,8.0,16.0,16.0,12.0,15.0,14.0,14.0,10.0,14.0,12.0,20.0,12.0,10.0,7.0,9.0,8.0,13.0,16.0,11.0,19.0,13.8,14.85714285714286
2013-08-17,27664.5,33519.753892,13.0,11.0,20.0,12.0,11.0,8.0,16.0,17.0,6.0,11.0,15.0,18.0,14.0,9.0,11.0,16.0,8.0,15.0,12.0,12.0,15.0,7.0,20.0,19.0,14.0,10.0,15.0,14.0,10.0,14.0,13.0,20.0,10.0,16.0,11.0,18.0,9.0,13.0,17.0,17.0,17.0,13.0,18.0,14.0,22.0,13.0,8.0,19.0,16.0,14.0,13.82,14.395510204081635
2013-08-24,26203.4,34032.768964,16.0,7.0,13.0,12.0,13.0,11.0,9.0,18.0,16.0,11.0,13.0,14.0,14.0,16.0,11.0,16.0,12.0,16.0,9.0,13.0,9.0,12.0,12.0,10.0,6.0,17.0,13.0,22.0,15.0,16.0,10.0,13.0,10.0,13.0,14.0,3.0,11.0,18.0,15.0,10.0,15.0,7.0,19.0,15.0,9.0,10.0,16.0,14.0,13.0,12.0,12.78,12.542448979591835
2013-08-31,25643.5,33828.761161,8.0,15.0,11.0,10.0,19.0,13.0,13.0,7.0,10.0,8.0,12.0,13.0,21.0,14.0,13.0,14.0,10.0,14.0,11.0,8.0,11.0,13.0,12.0,16.0,18.0,6.0,13.0,17.0,12.0,14.0,14.0,18.0,15.0,13.0,14.0,16.0,11.0,18.0,13.0,15.0,2.0,15.0,14.0,7.0,13.0,17.0,10.0,11.0,11.0,9.0,12.64,13.010612244897956
2013-09-07,24010.6,33062.43925,12.0,17.0,15.0,13.0,13.0,11.0,11.0,17.0,10.0,18.0,8.0,6.0,14.0,10.0,12.0,14.0,12.0,8.0,8.0,10.0,14.0,11.0,15.0,12.0,7.0,7.0,9.0,13.0,16.0,11.0,9.0,11.0,14.0,13.0,9.0,15.0,13.0,13.0,14.0,12.0,13.0,8.0,16.0,12.0,11.0,15.0,11.0,8.0,15.0,8.0,11.88,8.515918367346938
