Datetime,MoLS,Neural Network,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,weekly_mean,weekly_var
2013-08-31,18051.5,20107.152182,3.0,2.0,7.0,11.0,6.0,3.0,3.0,17.0,9.0,8.0,5.0,5.0,6.0,10.0,4.0,12.0,5.0,7.0,11.0,9.0,10.0,13.0,13.0,4.0,4.0,8.0,7.0,8.0,9.0,7.0,3.0,10.0,6.0,7.0,3.0,9.0,8.0,4.0,2.0,8.0,9.0,10.0,3.0,3.0,2.0,10.0,4.0,2.0,3.0,7.0,6.78,11.930204081632652
2013-09-07,18802.2,20221.187328,10.0,8.0,11.0,12.0,10.0,5.0,5.0,2.0,16.0,9.0,4.0,9.0,3.0,12.0,7.0,6.0,9.0,5.0,4.0,6.0,7.0,11.0,17.0,10.0,6.0,7.0,7.0,7.0,11.0,6.0,6.0,3.0,7.0,10.0,12.0,9.0,8.0,14.0,4.0,6.0,15.0,12.0,10.0,8.0,8.0,7.0,13.0,13.0,8.0,11.0,8.52,11.88734693877551
2013-09-14,21841.0,22614.851755,8.0,9.0,5.0,3.0,14.0,6.0,9.0,6.0,9.0,4.0,9.0,10.0,10.0,11.0,8.0,13.0,8.0,5.0,9.0,8.0,11.0,10.0,5.0,8.0,10.0,12.0,12.0,11.0,10.0,15.0,7.0,13.0,10.0,15.0,16.0,5.0,8.0,12.0,16.0,6.0,17.0,12.0,8.0,9.0,5.0,10.0,18.0,7.0,17.0,5.0,9.68,13.609795918367347
2013-09-21,25634.6,25351.264575,19.0,10.0,11.0,14.0,10.0,1.0,15.0,1.0,7.0,13.0,25.0,11.0,10.0,12.0,8.0,15.0,8.0,10.0,5.0,9.0,14.0,7.0,12.0,12.0,24.0,12.0,3.0,18.0,5.0,11.0,13.0,9.0,6.0,2.0,2.0,13.0,9.0,12.0,12.0,6.0,4.0,16.0,10.0,8.0,10.0,2.0,8.0,20.0,10.0,16.0,10.4,29.061224489795922
2013-09-28,26543.0,27211.783068,22.0,8.0,9.0,11.0,10.0,14.0,6.0,15.0,11.0,10.0,10.0,11.0,17.0,8.0,16.0,14.0,10.0,9.0,15.0,8.0,9.0,11.0,15.0,9.0,8.0,14.0,12.0,8.0,18.0,12.0,11.0,12.0,3.0,13.0,6.0,14.0,9.0,9.0,6.0,10.0,8.0,11.0,12.0,18.0,16.0,18.0,15.0,15.0,8.0,7.0,11.42,14.61591836734694
2013-10-05,26033.0,28170.144813,21.0,20.0,10.0,8.0,14.0,6.0,10.0,9.0,11.0,7.0,8.0,15.0,12.0,8.0,5.0,7.0,9.0,6.0,9.0,5.0,3.0,10.0,4.0,5.0,8.0,6.0,11.0,6.0,13.0,14.0,9.0,13.0,13.0,14.0,8.0,14.0,12.0,18.0,12.0,14.0,11.0,2.0,15.0,6.0,19.0,5.0,19.0,11.0,9.0,8.0,10.24,20.267755102040812
2013-10-12,26539.1,29458.568097,16.0,5.0,5.0,5.0,28.0,9.0,9.0,7.0,13.0,9.0,3.0,17.0,19.0,7.0,6.0,4.0,15.0,14.0,11.0,20.0,15.0,9.0,5.0,12.0,16.0,15.0,5.0,18.0,8.0,13.0,5.0,6.0,16.0,12.0,14.0,7.0,10.0,13.0,12.0,9.0,11.0,18.0,7.0,8.0,13.0,11.0,15.0,15.0,10.0,8.0,11.16,25.52489795918368
2013-10-19,27540.0,30155.787102000002,11.0,19.0,11.0,15.0,17.0,10.0,15.0,9.0,10.0,11.0,9.0,11.0,9.0,8.0,14.0,7.0,10.0,17.0,18.0,11.0,10.0,18.0,21.0,12.0,16.0,20.0,11.0,11.0,7.0,8.0,11.0,11.0,10.0,24.0,9.0,12.0,16.0,16.0,10.0,14.0,15.0,16.0,10.0,4.0,10.0,8.0,9.0,11.0,13.0,10.0,12.3,16.5
2013-10-26,28184.7,31238.233707,19.0,12.0,13.0,11.0,11.0,17.0,7.0,28.0,19.0,7.0,11.0,12.0,16.0,9.0,11.0,5.0,13.0,8.0,13.0,14.0,15.0,7.0,14.0,25.0,7.0,7.0,14.0,8.0,11.0,13.0,4.0,17.0,10.0,7.0,4.0,7.0,5.0,9.0,7.0,14.0,7.0,8.0,6.0,13.0,9.0,5.0,9.0,3.0,11.0,3.0,10.7,27.071428571428566
2013-11-02,28673.5,32257.031307,16.0,16.0,9.0,6.0,18.0,15.0,4.0,12.0,16.0,16.0,6.0,6.0,9.0,9.0,7.0,6.0,17.0,17.0,11.0,11.0,5.0,8.0,22.0,12.0,18.0,11.0,11.0,13.0,8.0,8.0,6.0,14.0,8.0,10.0,14.0,12.0,16.0,8.0,8.0,10.0,12.0,9.0,9.0,10.0,7.0,2.0,13.0,17.0,10.0,7.0,10.9,18.663265306122447
