Datetime,MoLS,Neural Network,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,weekly_mean,weekly_var
2013-08-31,18051.5,20107.152182,10.0,10.0,7.0,9.0,16.0,12.0,7.0,10.0,10.0,5.0,9.0,10.0,4.0,18.0,11.0,6.0,12.0,6.0,11.0,5.0,9.0,9.0,8.0,7.0,8.0,9.0,12.0,9.0,5.0,8.0,8.0,9.0,6.0,11.0,12.0,6.0,10.0,5.0,9.0,7.0,6.0,2.0,11.0,13.0,7.0,5.0,9.0,7.0,11.0,9.0,8.7,8.785714285714286
2013-09-07,18802.2,20221.187328,13.0,11.0,5.0,9.0,9.0,11.0,5.0,8.0,10.0,10.0,7.0,10.0,10.0,12.0,4.0,14.0,13.0,9.0,11.0,12.0,10.0,13.0,7.0,5.0,7.0,8.0,12.0,7.0,8.0,7.0,7.0,8.0,9.0,9.0,12.0,4.0,16.0,16.0,5.0,6.0,4.0,9.0,6.0,6.0,9.0,14.0,12.0,11.0,13.0,10.0,9.26,9.58408163265306
2013-09-14,21841.0,22614.851755,6.0,11.0,12.0,8.0,8.0,13.0,11.0,10.0,5.0,11.0,13.0,14.0,9.0,11.0,13.0,10.0,12.0,19.0,7.0,13.0,8.0,10.0,8.0,9.0,9.0,11.0,12.0,14.0,9.0,11.0,9.0,11.0,12.0,5.0,11.0,13.0,11.0,7.0,11.0,8.0,8.0,14.0,14.0,8.0,10.0,16.0,10.0,9.0,12.0,11.0,10.54,7.355510204081633
2013-09-21,25634.6,25351.264575,11.0,16.0,11.0,16.0,12.0,9.0,16.0,12.0,16.0,16.0,9.0,16.0,4.0,14.0,8.0,21.0,14.0,9.0,15.0,10.0,13.0,11.0,16.0,9.0,15.0,11.0,8.0,10.0,4.0,9.0,12.0,11.0,13.0,19.0,11.0,20.0,11.0,23.0,13.0,10.0,15.0,17.0,12.0,11.0,25.0,13.0,12.0,11.0,22.0,9.0,13.02,19.244489795918366
2013-09-28,26543.0,27211.783068,16.0,20.0,16.0,14.0,11.0,8.0,12.0,18.0,10.0,13.0,9.0,9.0,15.0,14.0,12.0,20.0,15.0,19.0,15.0,13.0,6.0,11.0,12.0,12.0,13.0,12.0,15.0,16.0,11.0,6.0,7.0,14.0,15.0,14.0,12.0,6.0,12.0,10.0,15.0,14.0,18.0,14.0,12.0,11.0,11.0,24.0,14.0,14.0,16.0,11.0,13.14,13.510612244897958
2013-10-05,26033.0,28170.144813,13.0,14.0,6.0,10.0,14.0,10.0,12.0,13.0,19.0,11.0,12.0,12.0,13.0,16.0,8.0,12.0,8.0,14.0,11.0,15.0,18.0,10.0,14.0,10.0,12.0,15.0,10.0,9.0,10.0,6.0,9.0,7.0,10.0,12.0,9.0,8.0,9.0,8.0,14.0,11.0,12.0,10.0,13.0,20.0,17.0,14.0,14.0,17.0,8.0,16.0,11.9,10.785714285714286
2013-10-12,26539.1,29458.568097,16.0,14.0,13.0,12.0,11.0,16.0,8.0,10.0,15.0,17.0,12.0,14.0,13.0,12.0,14.0,11.0,9.0,14.0,16.0,18.0,9.0,14.0,14.0,12.0,9.0,17.0,11.0,17.0,14.0,13.0,16.0,9.0,16.0,9.0,14.0,12.0,12.0,16.0,10.0,17.0,16.0,13.0,10.0,13.0,13.0,11.0,18.0,15.0,8.0,13.0,13.12,7.577142857142857
2013-10-19,27540.0,30155.787102000002,11.0,13.0,15.0,9.0,12.0,15.0,11.0,10.0,13.0,13.0,7.0,16.0,12.0,13.0,18.0,7.0,18.0,13.0,14.0,11.0,17.0,15.0,12.0,15.0,13.0,21.0,12.0,16.0,18.0,18.0,13.0,16.0,15.0,11.0,19.0,16.0,16.0,17.0,9.0,11.0,13.0,17.0,16.0,16.0,9.0,13.0,16.0,17.0,10.0,15.0,13.86,9.918775510204082
2013-10-26,28184.7,31238.233707,11.0,11.0,8.0,17.0,8.0,9.0,11.0,12.0,15.0,14.0,12.0,14.0,15.0,18.0,8.0,11.0,15.0,9.0,16.0,12.0,9.0,16.0,11.0,14.0,6.0,15.0,14.0,10.0,16.0,11.0,13.0,13.0,14.0,16.0,14.0,17.0,10.0,13.0,10.0,12.0,16.0,11.0,18.0,12.0,15.0,14.0,10.0,19.0,12.0,14.0,12.82,8.803673469387755
2013-11-02,28673.5,32257.031307,8.0,18.0,12.0,12.0,13.0,12.0,14.0,10.0,17.0,11.0,10.0,13.0,17.0,18.0,10.0,15.0,14.0,10.0,15.0,17.0,19.0,12.0,15.0,13.0,15.0,17.0,8.0,10.0,14.0,19.0,18.0,17.0,18.0,15.0,16.0,11.0,14.0,21.0,10.0,14.0,9.0,14.0,16.0,10.0,11.0,12.0,16.0,9.0,13.0,13.0,13.7,10.33673469387755
2013-11-09,28721.9,32467.707078,16.0,13.0,15.0,10.0,17.0,13.0,22.0,19.0,9.0,17.0,15.0,18.0,8.0,20.0,15.0,9.0,8.0,10.0,9.0,12.0,8.0,13.0,13.0,14.0,18.0,14.0,13.0,10.0,16.0,15.0,12.0,13.0,11.0,16.0,11.0,22.0,8.0,13.0,13.0,12.0,7.0,16.0,11.0,11.0,14.0,10.0,21.0,11.0,10.0,11.0,13.24,14.308571428571431
