Location,Datetime,Year,Month,Day,Avg_Temp,Precip_in,Humidity,Ref
Ceiba,2000-01-01,2000,1,1,25.833333333333336,0.0,84.05586747005086,0
Ceiba,2000-01-02,2000,1,2,25.27777777777778,0.0,80.89429999999999,0
Ceiba,2000-01-03,2000,1,3,25.0,0.0,88.4517,0
Ceiba,2000-01-04,2000,1,4,25.0,0.0,86.3248,0
Ceiba,2000-01-05,2000,1,5,26.11111111111111,0.0,82.08505,0
Ceiba,2000-01-06,2000,1,6,25.555555555555557,0.0,82.74395000000001,0
Ceiba,2000-01-07,2000,1,7,25.833333333333336,0.0,82.49135,0
Ceiba,2000-01-08,2000,1,8,25.0,0.0,82.64555,0
Ceiba,2000-01-09,2000,1,9,25.555555555555557,0.0,70.6396,0
Ceiba,2000-01-10,2000,1,10,25.555555555555557,0.0,77.5329,0
Ceiba,2000-01-11,2000,1,11,25.27777777777778,0.0,72.9575,0
Ceiba,2000-01-12,2000,1,12,25.0,0.0,76.5231,0
Ceiba,2000-01-13,2000,1,13,24.444444444444446,0.0,83.5678,0
Ceiba,2000-01-14,2000,1,14,24.166666666666668,0.0,81.8035,0
Ceiba,2000-01-15,2000,1,15,23.333333333333336,0.0,80.11685,0
Ceiba,2000-01-16,2000,1,16,23.055555555555557,0.0,64.9167,0
Ceiba,2000-01-17,2000,1,17,23.055555555555557,0.0,60.0853775,0
Ceiba,2000-01-18,2000,1,18,21.666666666666668,0.0,82.08735,0
Ceiba,2000-01-19,2000,1,19,21.944444444444446,0.0,74.68745,0
Ceiba,2000-01-20,2000,1,20,20.555555555555557,0.0,77.29135,0
Ceiba,2000-01-21,2000,1,21,22.22222222222222,0.0,85.69495,0
Ceiba,2000-01-22,2000,1,22,24.444444444444446,0.0,82.80675,0
Ceiba,2000-01-23,2000,1,23,25.0,0.0,83.0093,0
Ceiba,2000-01-24,2000,1,24,25.27777777777778,0.0,81.7077725,0
Ceiba,2000-01-25,2000,1,25,26.38888888888889,0.0,79.77064999999999,0
Ceiba,2000-01-26,2000,1,26,25.805555555555557,0.0,83.22585,0
Ceiba,2000-01-27,2000,1,27,25.0,0.0,84.76425,0
Ceiba,2000-01-28,2000,1,28,15.277777777777779,0.0,81.7148,0
Ceiba,2000-01-29,2000,1,29,24.166666666666668,0.0,84.55545000000001,0
Ceiba,2000-01-30,2000,1,30,24.722222222222225,0.0,78.3614,0
Ceiba,2000-01-31,2000,1,31,25.0,0.0,80.65965,0
Ceiba,2000-02-01,2000,2,1,25.0,0.01,85.69495,0
Ceiba,2000-02-02,2000,2,2,25.833333333333336,0.0,76.11904999999999,0
Ceiba,2000-02-03,2000,2,3,24.444444444444446,0.03,82.9115,0
Ceiba,2000-02-04,2000,2,4,24.722222222222225,0.01,85.5705,0
Ceiba,2000-02-05,2000,2,5,24.722222222222225,0.0,88.4517,0
Ceiba,2000-02-06,2000,2,6,24.444444444444446,0.15,82.2692,0
Ceiba,2000-02-07,2000,2,7,25.0,0.12,82.87174999999999,0
Ceiba,2000-02-08,2000,2,8,25.555555555555557,0.0,84.88045,0
Ceiba,2000-02-09,2000,2,9,25.527777777777782,0.0,83.81764999999999,0
Ceiba,2000-02-10,2000,2,10,24.166666666666668,0.05,87.05745,0
Ceiba,2000-02-11,2000,2,11,24.166666666666668,0.0,76.852475,0
Ceiba,2000-02-12,2000,2,12,25.02777777777778,0.0001,77.57095000000001,0
Ceiba,2000-02-13,2000,2,13,25.27777777777778,0.02,77.07055,0
Ceiba,2000-02-14,2000,2,14,25.0,0.12,81.95965,0
Ceiba,2000-02-15,2000,2,15,25.250000000000004,0.05,79.98935,0
Ceiba,2000-02-16,2000,2,16,24.722222222222225,0.03,78.67994999999999,0
Ceiba,2000-02-17,2000,2,17,24.444444444444446,0.06,76.52855,0
Ceiba,2000-02-18,2000,2,18,25.833333333333336,0.41,76.6242,0
Ceiba,2000-02-19,2000,2,19,24.722222222222225,0.04,81.66290000000001,0
Ceiba,2000-02-20,2000,2,20,25.27777777777778,0.0,75.781362,0
Ceiba,2000-02-21,2000,2,21,25.27777777777778,0.24,82.47465,0
Ceiba,2000-02-22,2000,2,22,25.0,0.0,87.31492168655141,0
Ceiba,2000-02-23,2000,2,23,22.88220815868439,0.0001,87.44687440684625,0
Ceiba,2000-02-24,2000,2,24,24.109454553671373,0.0,82.92911851643912,0
Ceiba,2000-02-25,2000,2,25,24.146382880867193,0.28,79.18047137334896,0
Ceiba,2000-02-26,2000,2,26,29.44685721166682,0.01,76.79889788414106,0
Ceiba,2000-02-27,2000,2,27,24.15229530244989,0.02,79.16381667279111,0
