Datetime,avg_rh,avg_temp_f,precip_in
2011-03-30,76.872507,82.4,0.21
2011-03-31,68.072042,82.4,0.0
2011-04-01,54.0856685,86.0,0.0
2011-04-02,63.886325,83.30000000000001,0.0
2011-04-03,65.74351,82.4,0.0
2011-04-04,69.84600499999999,80.6,0.0
2011-04-05,78.63620499999999,77.0,0.0
2011-04-06,72.0062445,81.5,0.0
2011-04-07,67.6235625,80.6,0.0
2011-04-08,71.4596405,77.9,0.15
2011-04-09,65.32855,78.8,0.0
2011-04-10,65.4327075,79.69999999999999,0.0
2011-04-11,65.32855,78.8,0.11
2011-04-12,73.9485,78.8,0.0
2011-04-13,,78.5,0.24
2011-04-14,,77.5,2.73
2011-04-15,76.367962,79.69999999999999,0.04
2011-04-16,69.52137,78.8,0.1
2011-04-17,,78.0,0.0
2011-04-18,65.4327075,79.69999999999999,0.0
2011-04-19,74.4303875,77.9,0.01
2011-04-20,67.717205,81.5,0.06
2011-04-21,,78.0,0.0
2011-04-22,71.82938,79.69999999999999,0.0
2011-04-23,69.615815,79.69999999999999,0.0
2011-04-24,69.71026,80.6,0.0
2011-04-25,67.9230175,83.30000000000001,0.0
2011-04-26,78.8587725,79.7,0.32
2011-04-27,81.434338,78.80000000000001,0.28
2011-04-28,65.758927,80.6,0.43
2011-04-29,65.569229,79.7,0.0
2011-04-30,71.91260199999999,79.69999999999999,0.0
2011-05-01,83.675243,77.9,0.13
2011-05-02,76.43832699999999,81.5,1.5
2011-05-03,74.2592625,80.6,0.02
2011-05-04,74.16562,79.69999999999999,0.0
2011-05-05,,78.0,0.0
2011-05-06,63.343975,78.8,0.0
2011-05-07,65.457607,78.8,0.0
2011-05-08,65.664482,80.6,0.0
2011-05-09,69.929227,81.5,0.0
2011-05-10,,80.0,0.0
2011-05-11,71.91260199999999,79.69999999999999,0.0
2011-05-12,74.114944,80.6,0.0
2011-05-13,78.76171,80.6,0.06
2011-05-14,88.668915,77.0,0.17
2011-05-15,69.540513,83.3,1.51
2011-05-16,59.72270949999999,86.9,0.1
2011-05-17,84.12897699999999,77.9,0.19
2011-05-18,72.526475,84.2,0.18
2011-05-19,83.68460999999999,77.9,0.05
2011-05-20,,78.5,0.25
2011-05-21,,75.0,2.8
2011-05-22,,80.0,0.03
2011-05-23,,81.0,0.54
2011-05-24,86.56418,80.6,0.12
2011-05-25,,80.5,0.69
2011-05-26,,81.0,3.18
2011-05-27,74.3993375,84.2,1.58
2011-05-28,79.547057,83.3,0.01
2011-05-29,,83.0,0.0
2011-05-30,,82.0,0.0
2011-05-31,,80.5,0.45
2011-06-01,81.350508,82.4,0.0
2011-06-02,,82.0,0.09
2011-06-03,,80.0,0.43
2011-06-04,81.4744075,79.7,0.49
2011-06-05,88.999712,80.6,2.39
2011-06-06,75.41889,80.6,0.29
2011-06-07,74.58425,84.2,0.1
2011-06-08,83.661227,80.6,0.46
2011-06-09,,81.0,0.06
2011-06-10,72.4187295,86.9,0.15
2011-06-11,72.796428,86.9,0.0
2011-06-12,,85.0,0.13
2011-06-13,77.01978199999999,84.2,0.23
2011-06-14,79.039246,84.2,0.0
2011-06-15,71.3922805,86.0,0.0
2011-06-16,81.268638,77.0,0.0
2011-06-17,74.60542,86.0,0.4
2011-06-18,,84.0,0.35
2011-06-19,,80.0,0.11
2011-06-20,,81.5,0.58
2011-06-21,,82.0,0.49
2011-06-22,74.60542,86.0,0.0
2011-06-23,70.39845,86.0,0.0
2011-06-24,70.26737,86.0,0.0
2011-06-25,72.263312,84.2,0.0
2011-06-26,81.67683,82.4,2.0
2011-06-27,,82.5,0.1
2011-06-28,,76.5,0.11
2011-06-29,,82.0,0.02
2011-06-30,76.672255,83.30000000000001,0.0
2011-07-01,,83.0,0.0
2011-07-02,85.5574,80.5,1.05
2011-07-03,83.86393699999999,78.80000000000001,0.15
2011-07-04,73.9195555,85.1,1.5
2011-07-05,70.26737,86.0,0.0
2011-07-06,,83.0,0.2
2011-07-07,88.936207,77.9,1.53
2011-07-08,72.42481000000001,83.30000000000001,0.39
2011-07-09,81.40572,83.30000000000001,0.0
2011-07-10,81.635062,82.4,0.0
2011-07-11,,83.5,0.0
2011-07-12,83.82468499999999,80.6,0.52
2011-07-13,70.26737,86.0,0.15
2011-07-14,75.63626099999999,82.4,0.67
2011-07-15,81.67683,82.4,
2011-07-16,72.3551,83.3,
2011-07-17,,,
2011-07-18,79.3621445,83.3,
2011-07-19,72.60798,86.9,1.83
2011-07-20,83.772194,82.4,0.32
2011-07-21,76.741313,85.1,0.03
2011-07-22,66.15182,86.0,0.13
2011-07-23,86.392995,83.30000000000001,0.42
2011-07-24,83.88154,84.2,0.68
2011-07-25,,84.0,0.03
2011-07-26,,82.5,0.0
2011-07-27,79.052575,82.4,0.0
2011-07-28,79.50780499999999,82.4,0.86
2011-07-29,79.24348,85.1,1.02
2011-07-30,82.226355,81.5,1.2
2011-07-31,72.35537500000001,85.1,0.22
2011-08-01,,83.0,0.28
2011-08-02,,83.5,0.5
2011-08-03,,81.5,1.5
2011-08-04,,81.5,1.85
2011-08-05,,86.0,0.11
2011-08-06,,87.5,0.0
2011-08-07,,85.5,0.0
2011-08-08,,84.0,0.0
2011-08-09,,85.0,0.0
2011-08-10,,85.5,0.05
2011-08-11,,85.5,0.59
2011-08-12,,83.5,0.1
2011-08-13,,,
2011-08-14,,84.5,0.16
2011-08-15,,86.0,0.0
2011-08-16,,86.0,0.36
2011-08-17,,85.0,0.36
2011-08-18,,85.0,0.2
2011-08-19,,82.5,0.57
2011-08-20,,83.0,1.45
2011-08-21,,86.5,0.02
2011-08-22,,85.5,1.58
2011-08-23,,,2.6
2011-08-24,,80.5,1.4
2011-08-25,,86.0,0.03
2011-08-26,,80.5,1.4
2011-08-27,,83.5,0.0
2011-08-28,,85.5,0.0
2011-08-29,,83.0,0.04
2011-08-30,,83.0,0.13
2011-08-31,,83.0,0.02
2011-09-01,,83.5,0.02
2011-09-02,,82.5,0.08
2011-09-03,,84.0,0.01
2011-09-04,,84.0,0.01
2011-09-05,,83.0,0.2
2011-09-06,,83.0,0.0
2011-09-07,,84.0,0.0
2011-09-08,,84.5,0.02
2011-09-09,,82.0,0.48
2011-09-10,,81.5,0.0
2011-09-11,,84.0,0.23
2011-09-12,,83.5,0.0
2011-09-13,,86.0,0.02
2011-09-14,,76.0,0.5
2011-09-15,,79.0,0.16
2011-09-16,,83.5,0.0
2011-09-17,,81.0,0.09
2011-09-18,,80.5,0.03
2011-09-19,,81.0,0.45
2011-09-20,,81.5,1.03
2011-09-21,,82.0,0.0
2011-09-22,,82.5,0.0
2011-09-23,,82.5,0.04
2011-09-24,,82.5,0.0
2011-09-25,,83.0,1.5
2011-09-26,,81.0,0.35
2011-09-27,,82.5,0.85
2011-09-28,,83.5,0.1
2011-09-29,,83.0,0.02
2011-09-30,,82.0,0.0
2011-10-01,,82.5,0.0
2011-10-02,,84.5,0.0
2011-10-03,,84.5,0.18
2011-10-04,,82.5,0.0
2011-10-05,,80.5,0.25
2011-10-06,,82.0,1.18
2011-10-07,,82.5,0.15
2011-10-08,,83.0,0.0
2011-10-09,,83.0,1.18
2011-10-10,,82.5,0.36
2011-10-11,,80.5,0.0
2011-10-12,,82.0,0.42
2011-10-13,,82.0,0.09
2011-10-14,,81.5,0.0
2011-10-15,,83.0,0.03
2011-10-16,,81.0,0.0
2011-10-17,,80.5,0.27
2011-10-18,,80.0,0.35
2011-10-19,,80.5,0.0
2011-10-20,,82.0,0.3
2011-10-21,,81.0,0.24
2011-10-22,,79.5,0.11
2011-10-23,,80.5,0.0
2011-10-24,,81.5,
2011-10-25,76.35815,84.2,0.07
2011-10-26,76.305214,84.19999999999999,0.04
2011-10-27,76.1674,84.19999999999999,0.02
2011-10-28,74.88695,82.4,0.16
2011-10-29,80.04238,81.5,0.15
2011-10-30,73.53807,82.4,0.0
2011-10-31,76.8933,82.4,
2011-11-01,80.2495,81.5,0.35
2011-11-02,76.609436,82.4,0.0
2011-11-03,80.87486,79.7,0.05
2011-11-04,74.388084,83.3,0.0
2011-11-05,76.05995,83.3,0.0
2011-11-06,77.25887,83.3,0.0
2011-11-07,83.24516,82.4,0.0
2011-11-08,86.79053,80.6,0.6
2011-11-09,83.20769,81.5,0.24
2011-11-10,82.2473,80.6,1.1
2011-11-11,79.2264,82.4,1.18
2011-11-12,76.6757,81.5,0.0
2011-11-13,74.48118,82.4,0.11
2011-11-14,83.13627,81.5,0.04
2011-11-15,73.94663,83.3,0.41
2011-11-16,71.95221,80.6,0.24
2011-11-17,75.95404,81.5,0.15
2011-11-18,74.94603,80.6,
2011-11-19,65.47303,82.4,
2011-11-20,75.7419,82.4,
2011-11-21,74.85816,81.5,
2011-11-22,75.83508,82.4,
2011-11-23,73.32885,81.5,
2011-11-24,79.14191,79.7,
2011-11-25,83.54283,77.9,
2011-11-26,89.04075,77.9,
2011-11-27,80.97062,79.7,
2011-11-28,81.78232,78.80000000000001,0.85
2011-11-29,76.29215,80.6,0.4
2011-11-30,78.32675,78.80000000000001,0.06
2011-12-01,77.47241,78.80000000000001,0.2
2011-12-02,78.03387,79.7,0.0
2011-12-03,65.67636,79.69999999999999,0.01
2011-12-04,70.38376,77.0,0.0
2011-12-05,78.0703,77.9,0.0
2011-12-06,68.181974,83.3,0.06
