STATION,DATE,REPORT_TYPE,SOURCE,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyPrecipitation,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity
RQW00011630,2008-01-01T00:00:00,SOD,,80,,0,,,
RQW00011630,2008-02-01T00:00:00,SOM,,,,,,,
RQW00011630,2008-02-08T23:53:00,FM-15,343,,,,77,,71
RQW00011630,2008-02-09T00:00:00,SOD,,79,70,,,,
RQW00011630,2008-02-09T00:53:00,FM-15,343,,,,77,,71
RQW00011630,2008-02-09T01:53:00,FM-15,343,,,,77,,71
RQW00011630,2008-02-09T02:42:00,FM-16,343,,,,75,,83
RQW00011630,2008-02-09T02:53:00,FM-15,343,,,,75,0.04,79
RQW00011630,2008-02-09T03:04:00,FM-16,343,,,,75,,78
RQW00011630,2008-02-09T03:53:00,FM-15,343,,,,74,0.1,91
RQW00011630,2008-02-09T04:53:00,FM-15,343,,,,76,,82
RQW00011630,2008-02-09T05:53:00,FM-15,343,,,,76,,82
RQW00011630,2008-02-09T06:53:00,FM-15,343,,,,76,,77
RQW00011630,2008-02-09T07:53:00,FM-15,343,,,,77,,74
RQW00011630,2008-02-09T08:53:00,FM-15,343,,,,79,,65
RQW00011630,2008-02-09T13:53:00,FM-15,343,,,,83,0,59
RQW00011630,2008-02-09T14:53:00,FM-15,343,,,,83,0,57
RQW00011630,2008-02-09T15:53:00,FM-15,343,,,,82,0,56
RQW00011630,2008-02-09T16:53:00,FM-15,343,,,,81,0,61
RQW00011630,2008-02-09T17:53:00,FM-15,343,,,,79,0,65
RQW00011630,2008-02-09T18:53:00,FM-15,343,,,,77,0,69
RQW00011630,2008-02-09T19:53:00,FM-15,343,,,,77,0,69
RQW00011630,2008-02-09T20:53:00,FM-15,343,,,,77,0,66
RQW00011630,2008-02-09T21:53:00,FM-15,343,,,,77,0,69
RQW00011630,2008-02-09T22:53:00,FM-15,343,,,,77,0,71
RQW00011630,2008-02-09T23:02:00,FM-16,343,,,,77,,69
RQW00011630,2008-02-09T23:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-10T00:00:00,SOD,,80,67,0,,,
RQW00011630,2008-02-10T00:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-10T01:53:00,FM-15,343,,,,76,0,72
RQW00011630,2008-02-10T02:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-10T03:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-10T04:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-10T05:53:00,FM-15,343,,,,76,0,72
RQW00011630,2008-02-10T06:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-10T07:53:00,FM-15,343,,,,78,0,71
RQW00011630,2008-02-10T08:53:00,FM-15,343,,,,80,0,64
RQW00011630,2008-02-10T09:53:00,FM-15,343,,,,81,0,62
RQW00011630,2008-02-10T10:53:00,FM-15,343,,,,80,0,67
RQW00011630,2008-02-10T11:53:00,FM-15,343,,,,82,0,58
RQW00011630,2008-02-10T12:53:00,FM-15,343,,,,83,0,61
RQW00011630,2008-02-10T13:06:00,FM-16,343,,,,81,,70
RQW00011630,2008-02-10T13:18:00,FM-16,343,,,,82,,66
RQW00011630,2008-02-10T13:53:00,FM-15,343,,,,82,0,65
RQW00011630,2008-02-10T14:53:00,FM-15,343,,,,81,0,67
RQW00011630,2008-02-10T15:53:00,FM-15,343,,,,80,0,62
RQW00011630,2008-02-10T16:53:00,FM-15,343,,,,80,0,60
RQW00011630,2008-02-10T17:53:00,FM-15,343,,,,79,0,62
RQW00011630,2008-02-10T18:53:00,FM-15,343,,,,78,0,62
RQW00011630,2008-02-10T19:53:00,FM-15,343,,,,78,0,64
RQW00011630,2008-02-10T20:53:00,FM-15,343,,,,78,0,62
RQW00011630,2008-02-10T21:53:00,FM-15,343,,,,77,0,69
RQW00011630,2008-02-10T22:53:00,FM-15,343,,,,76,0,72
RQW00011630,2008-02-10T23:53:00,FM-15,343,,,,76,0,72
RQW00011630,2008-02-11T00:00:00,SOD,,78,69,0.1,,,
RQW00011630,2008-02-11T00:53:00,FM-15,343,,,,76,0,69
RQW00011630,2008-02-11T01:53:00,FM-15,343,,,,76,0,72
RQW00011630,2008-02-11T02:53:00,FM-15,343,,,,75,0,74
RQW00011630,2008-02-11T03:53:00,FM-15,343,,,,76,0,72
RQW00011630,2008-02-11T04:53:00,FM-15,343,,,,74,0,69
RQW00011630,2008-02-11T05:53:00,FM-15,343,,,,75,T,74
RQW00011630,2008-02-11T06:53:00,FM-15,343,,,,71,0,81
RQW00011630,2008-02-11T07:53:00,FM-15,343,,,,77,0,74
RQW00011630,2008-02-11T08:53:00,FM-15,343,,,,80,0,64
RQW00011630,2008-02-11T09:53:00,FM-15,343,,,,81,0,62
RQW00011630,2008-02-11T10:53:00,FM-15,343,,,,83,0,57
RQW00011630,2008-02-11T11:53:00,FM-15,343,,,,83,0,59
RQW00011630,2008-02-11T12:53:00,FM-15,343,,,,81,0.06,65
RQW00011630,2008-02-11T13:53:00,FM-15,343,,,,82,0,58
RQW00011630,2008-02-11T14:53:00,FM-15,343,,,,82,0,58
RQW00011630,2008-02-11T15:53:00,FM-15,343,,,,81,0,62
RQW00011630,2008-02-11T16:53:00,FM-15,343,,,,78,T,71
RQW00011630,2008-02-11T17:00:00,FM-16,343,,,,75,,74
RQW00011630,2008-02-11T17:53:00,FM-15,343,,,,76,0.03,77
RQW00011630,2008-02-11T18:53:00,FM-15,343,,,,75,0,76
RQW00011630,2008-02-11T19:53:00,FM-15,343,,,,77,0,71
RQW00011630,2008-02-11T20:53:00,FM-15,343,,,,76,T,72
RQW00011630,2008-02-11T21:53:00,FM-15,343,,,,76,0,77
RQW00011630,2008-02-11T22:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-11T23:53:00,FM-15,343,,,,75,0.01,79
RQW00011630,2008-02-12T00:00:00,SOD,,80,68,0.01,,,
RQW00011630,2008-02-12T00:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-12T01:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-12T02:19:00,FM-16,343,,,,75,,74
RQW00011630,2008-02-12T02:26:00,FM-16,343,,,,75,,74
RQW00011630,2008-02-12T02:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-12T03:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-12T04:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-12T05:53:00,FM-15,343,,,,75,0.01,79
RQW00011630,2008-02-12T06:53:00,FM-15,343,,,,76,0,74
RQW00011630,2008-02-12T07:53:00,FM-15,343,,,,77,0,69
RQW00011630,2008-02-12T08:53:00,FM-15,343,,,,79,0,67
RQW00011630,2008-02-12T09:53:00,FM-15,343,,,,80,0,67
RQW00011630,2008-02-12T10:53:00,FM-15,343,,,,82,0,63
RQW00011630,2008-02-12T11:53:00,FM-15,343,,,,83,0,59
RQW00011630,2008-02-12T12:53:00,FM-15,343,,,,84,0,59
RQW00011630,2008-02-12T13:53:00,FM-15,343,,,,81,0,65
RQW00011630,2008-02-12T14:53:00,FM-15,343,,,,84,0,57
RQW00011630,2008-02-12T15:53:00,FM-15,343,,,,81,0,62
RQW00011630,2008-02-12T16:53:00,FM-15,343,,,,81,0,65
RQW00011630,2008-02-12T17:53:00,FM-15,343,,,,79,0,65
RQW00011630,2008-02-12T18:53:00,FM-15,343,,,,78,0,69
RQW00011630,2008-02-12T19:53:00,FM-15,343,,,,77,0,77
RQW00011630,2008-02-12T20:53:00,FM-15,343,,,,77,0,74
RQW00011630,2008-02-12T21:53:00,FM-15,343,,,,77,0,71
RQW00011630,2008-02-12T22:53:00,FM-15,343,,,,77,0,71
RQW00011630,2010-08-01T19:50:00,FM-15,223,,,,,0.02,
RQW00011630,2010-09-01T00:00:00,SOD,,,,,,,
RQW00011630,2010-09-01T00:00:00,SOM,,,,,,,
RQW00011630,2010-09-01T13:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-01T14:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-01T15:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-01T16:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-01T17:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-01T18:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-01T19:50:00,FM-16,343,,,,,,
RQW00011630,2010-09-01T19:53:00,FM-15,343,,,,,0.03,
RQW00011630,2010-09-01T20:12:00,FM-16,343,,,,,0.14,
RQW00011630,2010-09-01T20:21:00,FM-16,343,,,,,0.15,
RQW00011630,2010-09-01T20:23:00,FM-16,343,,,,,0.15,
RQW00011630,2010-09-01T20:43:00,FM-16,343,,,,,0.18,
RQW00011630,2010-09-01T20:53:00,FM-15,343,,,,,0.24,
RQW00011630,2010-09-01T21:01:00,FM-16,343,,,,,0.01,
RQW00011630,2010-09-01T21:10:00,FM-16,343,,,,,0.01,
RQW00011630,2010-09-01T21:53:00,FM-15,343,,,,,0.01,
RQW00011630,2010-09-01T22:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-01T23:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T00:00:00,SOD,,,,,,,
RQW00011630,2010-09-02T00:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T01:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T02:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T03:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T04:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T05:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T06:53:00,FM-15,343,,,,,T,
RQW00011630,2010-09-02T07:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T08:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T09:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T10:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T11:30:00,FM-16,343,,,,,,
RQW00011630,2010-09-02T11:44:00,FM-16,343,,,,,,
RQW00011630,2010-09-02T11:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T12:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T13:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T14:15:00,FM-16,343,,,,,,
RQW00011630,2010-09-02T14:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T15:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T16:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T17:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T18:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T19:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T20:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T21:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T22:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-02T23:25:00,FM-16,343,,,,,,
RQW00011630,2010-09-02T23:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-03T00:18:00,FM-16,343,,,,,,
RQW00011630,2010-09-03T00:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-03T01:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-03T02:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-03T03:32:00,FM-16,343,,,,,,
RQW00011630,2010-09-03T04:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-03T05:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-03T06:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-03T07:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-03T08:10:00,FM-16,343,,,,,,
RQW00011630,2010-09-03T08:20:00,FM-16,343,,,,,,
RQW00011630,2010-09-03T08:53:00,FM-15,343,,,,,,
RQW00011630,2010-09-03T09:53:00,FM-15,343,,,,,,
