STATION,DATE,REPORT_TYPE,SOURCE,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyPrecipitation,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity
RQW00011641,2006-01-01T00:00:00,FM-15,335,,,,73,0.04,89
RQW00011641,2006-01-01T00:00:00,SOD,,76,85,0.11,,,
RQW00011641,2006-01-01T00:00:00,SOM,,,,,,,
RQW00011641,2006-01-01T00:03:00,FM-15,335,,,,73,,89
RQW00011641,2006-01-01T00:56:00,FM-15,343,,,,73,0.02,94
RQW00011641,2006-01-01T01:00:00,FM-15,335,,,,73,0.02,94
RQW00011641,2006-01-01T01:56:00,FM-15,343,,,,72,0.02,94
RQW00011641,2006-01-01T02:00:00,FM-15,335,,,,72,0.02,94
RQW00011641,2006-01-01T02:56:00,FM-15,343,,,,73,0,90
RQW00011641,2006-01-01T03:00:00,FM-15,335,,,,73,0,89
RQW00011641,2006-01-01T03:56:00,FM-15,343,,,,72,0,87
RQW00011641,2006-01-01T04:00:00,FM-15,335,,,,72,0,88
RQW00011641,2006-01-01T04:56:00,FM-15,343,,,,72,T,87
RQW00011641,2006-01-01T05:00:00,FM-15,335,,,,72,0,88
RQW00011641,2006-01-01T05:56:00,FM-15,343,,,,72,T,91
RQW00011641,2006-01-01T06:00:00,FM-15,335,,,,72,0,94
RQW00011641,2006-01-01T06:56:00,FM-15,343,,,,71,0.02,94
RQW00011641,2006-01-01T07:00:00,FM-15,335,,,,72,0.02,94
RQW00011641,2006-01-01T07:56:00,FM-15,343,,,,74,0,85
RQW00011641,2006-01-01T08:00:00,FM-15,335,,,,73,0,89
RQW00011641,2006-01-01T08:56:00,FM-15,343,,,,76,0,82
RQW00011641,2006-01-01T09:00:00,FM-15,335,,,,75,0,83
RQW00011641,2006-01-01T09:56:00,FM-15,343,,,,77,0,77
RQW00011641,2006-01-01T10:00:00,FM-15,335,,,,77,0,79
RQW00011641,2006-01-01T10:56:00,FM-15,343,,,,80,0,71
RQW00011641,2006-01-01T11:00:00,FM-15,335,,,,81,0,70
RQW00011641,2006-01-01T11:56:00,FM-15,343,,,,79,0,77
RQW00011641,2006-01-01T12:00:00,FM-15,335,,,,79,0,79
RQW00011641,2006-01-01T12:56:00,FM-15,343,,,,81,0,74
RQW00011641,2006-01-01T13:00:00,FM-15,335,,,,81,0,74
RQW00011641,2006-01-01T13:56:00,FM-15,343,,,,78,T,79
RQW00011641,2006-01-01T14:00:00,4,382,,,,,0,
RQW00011641,2006-01-01T14:56:00,FM-15,343,,,,75,0.03,88
RQW00011641,2006-01-01T15:00:00,FM-15,335,,,,75,0.03,89
RQW00011641,2006-01-01T15:56:00,FM-15,343,,,,75,T,88
RQW00011641,2006-01-01T16:00:00,FM-15,335,,,,75,0,89
RQW00011641,2006-01-01T16:56:00,FM-15,343,,,,76,0,88
RQW00011641,2006-01-01T17:00:00,FM-15,335,,,,75,0,89
RQW00011641,2006-01-01T17:56:00,FM-15,343,,,,76,0,82
RQW00011641,2006-01-01T18:00:00,FM-15,335,,,,75,0,83
RQW00011641,2006-01-01T18:56:00,FM-15,343,,,,75,0.01,88
RQW00011641,2006-01-01T19:00:00,FM-15,335,,,,75,0.01,89
RQW00011641,2006-01-01T19:56:00,FM-15,343,,,,75,0,84
RQW00011641,2006-01-01T20:00:00,FM-15,335,,,,75,0,83
RQW00011641,2006-01-01T20:56:00,FM-15,343,,,,75,0.01,88
