Location,Datetime,Avg_Temp,Precip,Humidity
San Juan Airport,1/1/2013,25.98,0.07,77
San Juan Airport,1/2/2013,26.02,0,68
San Juan Airport,1/3/2013,25.07,0.13,82
San Juan Airport,1/4/2013,26.44,0,75
San Juan Airport,1/5/2013,27.04,0.01,69
San Juan Airport,1/6/2013,26.79,0.01,69
San Juan Airport,1/7/2013,26.35,0.12,74
San Juan Airport,1/8/2013,26.39,0.03,74
San Juan Airport,1/9/2013,26.11,0.01,66
San Juan Airport,1/10/2013,26.02,0.02,70
San Juan Airport,1/11/2013,25.82,0.03,69
San Juan Airport,1/12/2013,25.21,0.57,79
San Juan Airport,1/13/2013,25.73,0,61
San Juan Airport,1/14/2013,24.37,0.01,69
San Juan Airport,1/15/2013,25.29,0.12,74
San Juan Airport,1/16/2013,24.27,0.01,73
San Juan Airport,1/17/2013,25.64,0.03,73
San Juan Airport,1/18/2013,25.33,0.04,77
San Juan Airport,1/19/2013,25.28,0,74
San Juan Airport,1/20/2013,26.22,0.01,75
San Juan Airport,1/21/2013,24.71,0.04,78
San Juan Airport,1/22/2013,26.95,0,74
San Juan Airport,1/23/2013,27.14,0.01,76
San Juan Airport,1/24/2013,26,0,73
San Juan Airport,1/25/2013,25.15,0.02,74
San Juan Airport,1/26/2013,26.51,0.21,82
San Juan Airport,1/27/2013,26.17,0,77
San Juan Airport,1/28/2013,26.5,0,73
San Juan Airport,1/29/2013,25.59,0.03,74
San Juan Airport,1/30/2013,25.7,0.12,77
San Juan Airport,1/31/2013,26.24,0.13,83
San Juan Airport,2/1/2013,26.24,0.76,78
San Juan Airport,2/2/2013,24.85,0,67
San Juan Airport,2/3/2013,26.37,0,66
San Juan Airport,2/4/2013,24.3,0,69
San Juan Airport,2/5/2013,24.55,0.11,71
San Juan Airport,2/6/2013,25.06,0.08,75
San Juan Airport,2/7/2013,26.17,0,76
San Juan Airport,2/8/2013,25.36,1.01,78
San Juan Airport,2/9/2013,25.4,0,74
San Juan Airport,2/10/2013,25.65,0,73
San Juan Airport,2/11/2013,25.33,0.17,73
San Juan Airport,2/12/2013,25.62,0,61
San Juan Airport,2/13/2013,25.01,0,68
San Juan Airport,2/14/2013,25.57,0.01,76
San Juan Airport,2/15/2013,26.26,0,73
San Juan Airport,2/16/2013,26.8,0,65
San Juan Airport,2/17/2013,25.79,0,72
San Juan Airport,2/18/2013,25.6,0,74
San Juan Airport,2/19/2013,26.23,0.11,74
San Juan Airport,2/20/2013,26.12,0.03,76
San Juan Airport,2/21/2013,26.14,0,72
San Juan Airport,2/22/2013,26,0,72
San Juan Airport,2/23/2013,26.2,0,69
San Juan Airport,2/24/2013,25.78,0,73
San Juan Airport,2/25/2013,25.97,0.02,74
San Juan Airport,2/26/2013,26.31,0.02,73
San Juan Airport,2/27/2013,27.41,0,68
San Juan Airport,2/28/2013,26.9,0,68
San Juan Airport,3/1/2013,26.65,0,69
San Juan Airport,3/2/2013,25.62,0,64
San Juan Airport,3/3/2013,27.78,0,70
San Juan Airport,3/4/2013,26.49,0.24,75
San Juan Airport,3/5/2013,24.88,0.01,71
San Juan Airport,3/6/2013,25.79,0,67
San Juan Airport,3/7/2013,26.39,0.42,74
San Juan Airport,3/8/2013,25.14,0.21,71
San Juan Airport,3/9/2013,24.88,0.02,73
San Juan Airport,3/10/2013,25.25,0.01,58
San Juan Airport,3/11/2013,25.54,0,56
San Juan Airport,3/12/2013,26.64,0,54
San Juan Airport,3/13/2013,26.18,0,54
San Juan Airport,3/14/2013,25.31,0,58
San Juan Airport,3/15/2013,25.31,0,56
San Juan Airport,3/16/2013,26.36,0.04,67
San Juan Airport,3/17/2013,25.95,0.12,72
San Juan Airport,3/18/2013,25.66,0.03,71
San Juan Airport,3/19/2013,26.43,0.08,74
San Juan Airport,3/20/2013,27.11,0,67
San Juan Airport,3/21/2013,27.98,0,65
San Juan Airport,3/22/2013,29.82,0,66
San Juan Airport,3/23/2013,27.92,0.06,78
San Juan Airport,3/24/2013,27.82,0,71
San Juan Airport,3/25/2013,27.35,0,69
San Juan Airport,3/26/2013,28.28,0,66
San Juan Airport,3/27/2013,27.83,0,72
San Juan Airport,3/28/2013,27.7,0,69
San Juan Airport,3/29/2013,26.04,0.13,77
San Juan Airport,3/30/2013,25.82,0.11,75
San Juan Airport,3/31/2013,25.12,0.44,84
San Juan Airport,4/1/2013,27.05,0.01,72
San Juan Airport,4/2/2013,28.63,0,64
San Juan Airport,4/3/2013,28.35,0,71
San Juan Airport,4/4/2013,27.46,0,71
