station,day,max_temp_f,min_temp_f,min_rh,avg_rh,max_rh
TJIG,3/30/2011,84.2,80.6,70.083244,,83.66177
TJIG,3/31/2011,84.2,80.6,62.02914,,74.114944
TJIG,4/1/2011,89.6,82.4,46.142197,,62.02914
TJIG,4/2/2011,84.2,82.4,62.02914,,65.74351
TJIG,4/3/2011,82.4,82.4,65.74351,,65.74351
TJIG,4/4/2011,82.4,78.8,65.74351,,73.9485
TJIG,4/5/2011,78.8,75.2,73.9485,,83.32391
TJIG,4/6/2011,82.4,80.6,69.897545,,74.114944
TJIG,4/7/2011,80.6,80.6,65.536865,,69.71026
TJIG,4/8/2011,80.6,75.2,69.138725,,73.780556
TJIG,4/9/2011,78.8,78.8,65.32855,,65.32855
TJIG,4/10/2011,80.6,78.8,65.32855,,65.536865
TJIG,4/11/2011,78.8,78.8,65.32855,,65.32855
TJIG,4/12/2011,78.8,78.8,73.9485,,73.9485
TJIG,4/13/2011,,,,,
TJIG,4/14/2011,,,,,
TJIG,4/15/2011,80.6,78.8,74.114944,,78.62098
TJIG,4/16/2011,78.8,78.8,69.52137,,69.52137
TJIG,4/17/2011,,,,,
TJIG,4/18/2011,80.6,78.8,65.32855,,65.536865
TJIG,4/19/2011,80.6,75.2,65.536865,,83.32391
TJIG,4/20/2011,82.4,80.6,65.536865,,69.897545
TJIG,4/21/2011,,,,,
TJIG,4/22/2011,80.6,78.8,69.71026,,73.9485
TJIG,4/23/2011,80.6,78.8,69.52137,,69.71026
TJIG,4/24/2011,80.6,80.6,69.71026,,69.71026
TJIG,4/25/2011,84.2,82.4,65.94849,,69.897545
TJIG,4/26/2011,82.4,77,74.2799,,83.437645
TJIG,4/27/2011,82.4,75.2,74.2799,,88.588776
TJIG,4/28/2011,82.4,78.8,61.807594,,69.71026
TJIG,4/29/2011,82.4,77,61.807594,,69.330864
TJIG,4/30/2011,80.6,78.8,69.71026,,74.114944
TJIG,5/1/2011,80.6,75.2,78.76171,,88.588776
TJIG,5/2/2011,82.4,80.6,74.114944,,78.76171
TJIG,5/3/2011,82.4,78.8,69.897545,,78.62098
TJIG,5/4/2011,80.6,78.8,69.71026,,78.62098
TJIG,5/5/2011,,,,,
TJIG,5/6/2011,78.8,78.8,61.3594,,65.32855
TJIG,5/7/2011,80.6,77,61.58435,,69.330864
TJIG,5/8/2011,82.4,78.8,61.807594,,69.52137
TJIG,5/9/2011,82.4,80.6,65.74351,,74.114944
TJIG,5/10/2011,,,,,
TJIG,5/11/2011,80.6,78.8,69.71026,,74.114944
TJIG,5/12/2011,80.6,80.6,74.114944,,74.114944
TJIG,5/13/2011,80.6,80.6,78.76171,,78.76171
TJIG,5/14/2011,77,77,88.668915,,88.668915
TJIG,5/15/2011,89.6,77,55.530766,,83.55026
TJIG,5/16/2011,91.4,82.4,49.362175,,70.083244
TJIG,5/17/2011,80.6,75.2,74.114944,,94.14301
TJIG,5/18/2011,86,82.4,66.15182,,78.90113
TJIG,5/19/2011,78.8,77,78.62098,,88.74824
TJIG,5/20/2011,,,,,
TJIG,5/21/2011,,,,,
TJIG,5/22/2011,,,,,
TJIG,5/23/2011,,,,,
TJIG,5/24/2011,82.4,78.8,78.90113,,94.22723
TJIG,5/25/2011,,,,,
TJIG,5/26/2011,,,,,
TJIG,5/27/2011,86,82.4,69.897545,,78.90113
TJIG,5/28/2011,86,80.6,70.26737,,88.826744
