Location,Datetime,Year,Month,Day,Avg_Temp,Humidity,Precip,MoLS,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,Ref,Ref_sd,True_mu,True_u_forecast_quant,True_l_forecast_quant
San_Juan,2017-01-05,2017,1,5,26.373015871428574,75.43823571428571,2.653495117,24963.4,13.0,3.0,17.0,13.0,19.0,9.0,8.0,16.0,12.0,10.0,9.0,5.0,7.0,10.0,10.0,6.0,9.0,9.0,7.0,12.0,17.0,10.0,16.0,10.0,7.0,9.0,13.0,13.0,11.0,10.0,19.0,12.0,10.0,8.0,11.0,6.0,5.0,9.0,14.0,9.0,9.0,6.0,6.0,13.0,14.0,19.0,9.0,6.0,13.0,12.0,10.6,3.838579669298401,9.0,13.0,5.0
San_Juan,2017-01-12,2017,1,12,25.615079364285716,71.89142142857143,1.6504607390000001,21022.5,16.0,3.0,7.0,6.0,8.0,12.0,2.0,4.0,6.0,16.0,5.0,13.0,10.0,16.0,12.0,6.0,5.0,10.0,13.0,7.0,9.0,9.0,4.0,5.0,14.0,3.0,4.0,11.0,13.0,3.0,13.0,5.0,6.0,1.0,13.0,11.0,11.0,13.0,2.0,5.0,5.0,6.0,7.0,11.0,4.0,5.0,5.0,10.0,8.0,8.0,8.02,4.078264937195619,7.0,11.0,3.0
San_Juan,2017-01-19,2017,1,19,25.32539682285714,69.55366428571429,2.397692416,17492.4,10.0,5.0,3.0,12.0,6.0,4.0,12.0,3.0,1.0,6.0,8.0,4.0,15.0,2.0,11.0,6.0,16.0,5.0,6.0,17.0,11.0,10.0,10.0,4.0,12.0,5.0,10.0,6.0,14.0,6.0,19.0,6.0,10.0,11.0,16.0,8.0,8.0,11.0,9.0,5.0,10.0,5.0,8.0,9.0,6.0,6.0,7.0,8.0,4.0,7.0,8.26,4.049741740316944,6.0,9.0,3.0
San_Juan,2017-01-26,2017,1,26,26.337301585714282,72.75316428571429,0.615542802,15547.4,4.0,18.0,2.0,6.0,1.0,4.0,2.0,7.0,1.0,7.0,6.0,9.0,5.0,5.0,3.0,12.0,2.0,8.0,12.0,3.0,6.0,6.0,11.0,6.0,1.0,6.0,7.0,9.0,11.0,13.0,12.0,8.0,6.0,12.0,5.0,3.0,5.0,4.0,4.0,5.0,7.0,1.0,2.0,2.0,9.0,6.0,10.0,1.0,11.0,4.0,6.2,3.838579669298401,5.0,8.0,2.0
San_Juan,2017-02-02,2017,2,2,26.884920634285717,74.94010714285714,2.053947013,14777.900000000001,4.0,2.0,3.0,5.0,2.0,6.0,6.0,7.0,3.0,2.0,6.0,5.0,14.0,17.0,9.0,2.0,3.0,9.0,4.0,2.0,12.0,10.0,3.0,5.0,2.0,7.0,3.0,16.0,4.0,5.0,9.0,0.0,5.0,3.0,5.0,6.0,7.0,6.0,3.0,7.0,4.0,2.0,3.0,13.0,5.0,8.0,2.0,3.0,10.0,3.0,5.64,3.7998925870962967,5.0,8.0,2.0
San_Juan,2017-02-09,2017,2,9,26.325396824285715,71.82120714285715,1.2310081659999998,13612.0,6.0,7.0,8.0,1.0,7.0,5.0,6.0,5.0,1.0,5.0,0.0,3.0,6.0,12.0,2.0,3.0,2.0,10.0,4.0,7.0,9.0,6.0,9.0,1.0,1.0,7.0,6.0,3.0,4.0,8.0,5.0,2.0,2.0,2.0,4.0,6.0,5.0,3.0,8.0,8.0,9.0,2.0,9.0,6.0,3.0,9.0,11.0,2.0,3.0,13.0,5.32,3.1521939233829266,5.0,8.0,2.0
San_Juan,2017-02-16,2017,2,16,26.05952381,71.65143571428571,1.5474073640000001,12215.0,3.0,4.0,3.0,4.0,14.0,1.0,3.0,7.0,5.0,3.0,3.0,3.0,9.0,7.0,2.0,3.0,3.0,5.0,0.0,1.0,9.0,0.0,2.0,13.0,10.0,3.0,3.0,2.0,2.0,7.0,1.0,3.0,8.0,14.0,8.0,11.0,1.0,11.0,2.0,9.0,4.0,1.0,10.0,11.0,6.0,4.0,2.0,5.0,1.0,9.0,5.1,3.850523420555301,4.0,7.0,1.0
San_Juan,2017-02-23,2017,2,23,24.503968254285716,76.46164999999999,2.172372531,12022.3,6.0,5.0,2.0,5.0,9.0,3.0,7.0,6.0,3.0,4.0,2.0,4.0,10.0,5.0,4.0,5.0,2.0,2.0,7.0,3.0,9.0,9.0,5.0,5.0,2.0,4.0,3.0,5.0,11.0,8.0,7.0,11.0,9.0,2.0,4.0,10.0,5.0,4.0,2.0,2.0,8.0,5.0,6.0,2.0,4.0,10.0,2.0,6.0,2.0,5.0,5.22,2.727711158327675,4.0,7.0,1.0
San_Juan,2017-03-02,2017,3,2,25.00000000142857,77.15036428571429,4.381131544,13134.4,6.0,1.0,5.0,2.0,7.0,3.0,6.0,5.0,3.0,0.0,6.0,3.0,7.0,10.0,5.0,8.0,8.0,3.0,3.0,10.0,3.0,2.0,1.0,2.0,0.0,5.0,9.0,4.0,2.0,3.0,3.0,9.0,8.0,4.0,6.0,11.0,9.0,9.0,4.0,1.0,5.0,5.0,9.0,3.0,7.0,8.0,5.0,2.0,4.0,3.0,4.94,2.8743055949326655,4.0,7.0,1.0
San_Juan,2017-03-09,2017,3,9,25.551587302857143,76.91693571428571,2.5727765820000004,14219.099999999999,8.0,7.0,5.0,2.0,5.0,3.0,2.0,6.0,3.0,6.0,4.0,9.0,6.0,4.0,6.0,2.0,6.0,10.0,11.0,3.0,7.0,6.0,7.0,2.0,7.0,6.0,3.0,6.0,4.0,3.0,8.0,8.0,15.0,4.0,10.0,5.0,6.0,4.0,4.0,8.0,7.0,4.0,9.0,17.0,7.0,18.0,12.0,3.0,4.0,4.0,6.32,3.588189242614766,5.0,8.0,2.0
