Location,Datetime,Year,Month,Day,Avg_Temp,Humidity,Precip,MoLS,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,Ref,Ref_sd,True_mu,True_u_forecast_quant,True_l_forecast_quant
San_Juan,2017-01-05,2017,1,5,26.373015871428574,75.43823571428571,2.653495117,24963.4,13.0,10.0,15.0,12.0,8.0,6.0,12.0,12.0,10.0,14.0,9.0,5.0,16.0,8.0,10.0,10.0,13.0,11.0,4.0,8.0,10.0,10.0,16.0,7.0,6.0,6.0,10.0,11.0,7.0,16.0,10.0,9.0,13.0,13.0,12.0,11.0,10.0,15.0,20.0,11.0,12.0,13.0,8.0,14.0,9.0,17.0,12.0,13.0,14.0,15.0,11.12,3.33589017584604,11.982240000000001,15.0,9.0
San_Juan,2017-01-12,2017,1,12,25.615079364285716,71.89142142857143,1.6504607390000001,21022.5,11.0,12.0,6.0,9.0,19.0,11.0,12.0,15.0,9.0,11.0,9.0,12.0,5.0,5.0,12.0,11.0,14.0,6.0,5.0,8.0,9.0,14.0,10.0,12.0,13.0,9.0,9.0,13.0,8.0,8.0,11.0,7.0,8.0,12.0,12.0,10.0,5.0,5.0,1.0,15.0,9.0,7.0,11.0,11.0,9.0,9.0,9.0,2.0,19.0,15.0,9.88,3.6902519133080154,10.09056,13.0,7.0
San_Juan,2017-01-19,2017,1,19,25.32539682285714,69.55366428571429,2.397692416,17492.4,13.0,6.0,10.0,8.0,5.0,7.0,10.0,11.0,6.0,7.0,8.0,5.0,4.0,10.0,7.0,6.0,9.0,4.0,6.0,15.0,12.0,6.0,7.0,6.0,10.0,6.0,9.0,3.0,12.0,4.0,6.0,9.0,6.0,12.0,5.0,8.0,6.0,4.0,10.0,9.0,9.0,7.0,6.0,11.0,17.0,9.0,14.0,8.0,11.0,14.0,8.26,3.161051233048776,8.39616,11.0,6.0
San_Juan,2017-01-26,2017,1,26,26.337301585714282,72.75316428571429,0.615542802,15547.4,7.0,2.0,14.0,11.0,4.0,7.0,10.0,13.0,10.0,7.0,10.0,4.0,9.0,10.0,9.0,6.0,14.0,7.0,8.0,4.0,8.0,9.0,4.0,8.0,2.0,11.0,3.0,8.0,2.0,4.0,7.0,9.0,6.0,7.0,9.0,10.0,6.0,6.0,11.0,12.0,6.0,7.0,7.0,7.0,13.0,9.0,6.0,16.0,3.0,6.0,7.76,3.279870579826003,7.46256,10.0,5.0
San_Juan,2017-02-02,2017,2,2,26.884920634285717,74.94010714285714,2.053947013,14777.900000000001,9.0,3.0,7.0,5.0,7.0,5.0,8.0,6.0,11.0,10.0,7.0,8.0,4.0,11.0,8.0,10.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,10.0,13.0,11.0,10.0,13.0,14.0,6.0,9.0,5.0,15.0,6.0,10.0,4.0,8.0,8.0,6.0,3.0,13.0,7.0,3.0,4.0,4.0,13.0,7.0,11.0,5.0,8.0,7.44,3.363428765593898,7.092960000000001,10.0,4.0
San_Juan,2017-02-09,2017,2,9,26.325396824285715,71.82120714285715,1.2310081659999998,13612.0,8.0,1.0,8.0,6.0,11.0,7.0,4.0,7.0,3.0,6.0,5.0,3.0,4.0,6.0,5.0,5.0,8.0,6.0,3.0,10.0,2.0,9.0,8.0,4.0,11.0,11.0,7.0,7.0,6.0,5.0,5.0,1.0,4.0,6.0,7.0,4.0,7.0,8.0,9.0,3.0,3.0,4.0,4.0,4.0,8.0,5.0,2.0,9.0,3.0,5.0,5.74,2.5539884774323363,6.53376,9.0,4.0
San_Juan,2017-02-16,2017,2,16,26.05952381,71.65143571428571,1.5474073640000001,12215.0,6.0,5.0,5.0,7.0,10.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,8.0,3.0,6.0,9.0,6.0,5.0,5.0,10.0,10.0,4.0,7.0,7.0,1.0,7.0,9.0,10.0,9.0,9.0,3.0,11.0,4.0,7.0,9.0,6.0,10.0,4.0,10.0,2.0,7.0,6.0,9.0,8.0,7.0,6.0,8.0,10.0,6.0,6.48,2.525300547883926,5.8632,8.0,3.0
San_Juan,2017-02-23,2017,2,23,24.503968254285716,76.46164999999999,2.172372531,12022.3,2.0,3.0,8.0,7.0,8.0,5.0,4.0,8.0,4.0,7.0,5.0,5.0,7.0,3.0,5.0,7.0,4.0,8.0,4.0,8.0,6.0,5.0,6.0,7.0,3.0,5.0,4.0,7.0,1.0,6.0,8.0,4.0,6.0,1.0,3.0,7.0,6.0,5.0,1.0,9.0,7.0,5.0,4.0,7.0,7.0,11.0,10.0,6.0,9.0,8.0,5.72,2.2860714006740017,5.770560000000001,8.0,3.0
San_Juan,2017-03-02,2017,3,2,25.00000000142857,77.15036428571429,4.381131544,13134.4,5.0,2.0,6.0,8.0,6.0,2.0,6.0,9.0,8.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0,4.0,3.0,9.0,7.0,11.0,7.0,3.0,9.0,4.0,6.0,6.0,3.0,4.0,10.0,6.0,3.0,7.0,7.0,8.0,7.0,7.0,6.0,4.0,9.0,4.0,1.0,5.0,4.0,4.0,5.0,8.0,6.0,9.0,6.0,5.84,2.197958236219075,6.304320000000001,9.0,4.0
San_Juan,2017-03-09,2017,3,9,25.551587302857143,76.91693571428571,2.5727765820000004,14219.099999999999,11.0,9.0,3.0,10.0,11.0,7.0,2.0,11.0,5.0,9.0,6.0,8.0,8.0,5.0,9.0,8.0,6.0,8.0,7.0,4.0,9.0,5.0,7.0,3.0,5.0,4.0,10.0,6.0,3.0,2.0,5.0,5.0,5.0,9.0,10.0,15.0,2.0,5.0,6.0,6.0,5.0,5.0,4.0,12.0,6.0,5.0,8.0,4.0,7.0,7.0,6.64,2.8266949042358025,6.82512,9.0,4.0
San_Juan,2017-03-16,2017,3,16,25.90079365,78.45075,2.4958241479999996,15027.3,8.0,8.0,6.0,10.0,6.0,4.0,5.0,5.0,5.0,13.0,15.0,5.0,10.0,9.0,7.0,10.0,5.0,8.0,4.0,8.0,7.0,6.0,7.0,9.0,7.0,6.0,5.0,4.0,5.0,7.0,9.0,12.0,4.0,6.0,6.0,11.0,6.0,6.0,4.0,6.0,9.0,11.0,9.0,15.0,10.0,6.0,7.0,5.0,5.0,7.0,7.36,2.7312253361329772,7.21296,10.0,5.0
San_Juan,2017-03-23,2017,3,23,26.003968252857142,84.8171,9.702796197,16369.5,8.0,4.0,2.0,7.0,7.0,9.0,9.0,4.0,13.0,5.0,7.0,11.0,7.0,9.0,8.0,9.0,12.0,1.0,4.0,8.0,8.0,7.0,14.0,6.0,8.0,2.0,8.0,10.0,11.0,7.0,7.0,11.0,14.0,7.0,8.0,7.0,11.0,7.0,12.0,5.0,10.0,7.0,16.0,8.0,10.0,8.0,6.0,9.0,8.0,5.0,8.02,3.067206400299924,7.85712,11.0,5.0
San_Juan,2017-03-30,2017,3,30,26.317460317142856,77.05674285714285,2.4784569349999996,18117.0,7.0,6.0,6.0,7.0,9.0,8.0,7.0,17.0,11.0,12.0,8.0,5.0,8.0,3.0,13.0,8.0,6.0,10.0,7.0,11.0,13.0,10.0,11.0,7.0,11.0,7.0,6.0,10.0,13.0,6.0,7.0,12.0,10.0,5.0,7.0,11.0,10.0,8.0,13.0,7.0,7.0,7.0,8.0,11.0,14.0,13.0,10.0,12.0,7.0,10.0,9.04,2.835345424012635,8.69616,12.0,6.0
San_Juan,2017-04-06,2017,4,6,25.82936508,80.87108571428573,7.330957553,19352.6,10.0,9.0,12.0,7.0,11.0,12.0,7.0,10.0,10.0,10.0,9.0,9.0,4.0,9.0,8.0,10.0,8.0,4.0,6.0,4.0,10.0,5.0,12.0,7.0,8.0,7.0,14.0,6.0,9.0,19.0,9.0,10.0,11.0,7.0,7.0,8.0,3.0,9.0,13.0,7.0,8.0,9.0,6.0,14.0,6.0,21.0,7.0,11.0,13.0,11.0,9.12,3.4264279013668606,9.28896,12.0,6.0
