Datetime,Avg_Temp,Humidity,Precip,MoLS,Neural Network,mols_run_0,mols_run_1,mols_run_2,mols_run_3,mols_run_4,mols_run_5,mols_run_6,mols_run_7,mols_run_8,mols_run_9,mols_run_10,mols_run_11,mols_run_12,mols_run_13,mols_run_14,mols_run_15,mols_run_16,mols_run_17,mols_run_18,mols_run_19,mols_run_20,mols_run_21,mols_run_22,mols_run_23,mols_run_24,mols_run_25,mols_run_26,mols_run_27,mols_run_28,mols_run_29,mols_run_30,mols_run_31,mols_run_32,mols_run_33,mols_run_34,mols_run_35,mols_run_36,mols_run_37,mols_run_38,mols_run_39,mols_run_40,mols_run_41,mols_run_42,mols_run_43,mols_run_44,mols_run_45,mols_run_46,mols_run_47,mols_run_48,mols_run_49,Ref,Ref_sd
2017-01-14,24.801587301428572,80.35805,5.4356,28439.51688888889,23687.075047577786,6.0,15.0,13.0,19.0,18.0,11.0,14.0,14.0,14.0,12.0,13.0,12.0,8.0,14.0,15.0,8.0,14.0,11.0,15.0,12.0,7.0,16.0,21.0,13.0,22.0,17.0,21.0,11.0,15.0,17.0,14.0,13.0,11.0,10.0,17.0,15.0,13.0,11.0,16.0,12.0,22.0,14.0,13.0,11.0,13.0,19.0,10.0,13.0,16.0,12.0,13.86,3.5971076816616687
2017-01-21,23.730158727142857,79.14027857142857,3.1750000000000003,26546.003111111113,22182.32194789508,21.0,18.0,10.0,9.0,13.0,9.0,11.0,8.0,8.0,10.0,13.0,17.0,7.0,13.0,6.0,16.0,11.0,13.0,11.0,10.0,13.0,17.0,14.0,11.0,20.0,16.0,14.0,8.0,16.0,13.0,5.0,11.0,9.0,17.0,13.0,8.0,7.0,16.0,8.0,15.0,17.0,17.0,9.0,9.0,19.0,12.0,11.0,18.0,16.0,11.0,12.48,3.9447200568013203
2017-01-28,24.404761904285714,81.62532142857143,0.1016,23603.853333333336,21407.974636199055,16.0,4.0,14.0,14.0,9.0,12.0,9.0,15.0,14.0,12.0,13.0,9.0,7.0,11.0,8.0,8.0,10.0,7.0,9.0,12.0,11.0,9.0,22.0,11.0,11.0,17.0,10.0,13.0,9.0,4.0,9.0,9.0,6.0,9.0,9.0,13.0,13.0,9.0,11.0,9.0,11.0,11.0,14.0,12.0,10.0,12.0,17.0,13.0,14.0,16.0,11.14,3.3564436961930832
2017-02-04,25.634920634285713,83.37057857142858,0.7112,20188.037333333334,21453.741343644888,15.0,13.0,8.0,10.0,9.0,11.0,13.0,11.0,6.0,16.0,8.0,9.0,9.0,12.0,6.0,7.0,11.0,9.0,14.0,11.0,8.0,9.0,9.0,7.0,7.0,7.0,10.0,10.0,14.0,14.0,10.0,12.0,7.0,11.0,9.0,14.0,6.0,14.0,16.0,10.0,6.0,11.0,12.0,9.0,9.0,12.0,4.0,14.0,7.0,8.0,10.08,2.8985569949651193
2017-02-11,26.19047619285714,77.09460714285714,2.6416,17335.132,21428.211608399237,7.0,12.0,6.0,8.0,7.0,9.0,7.0,3.0,9.0,12.0,9.0,7.0,9.0,9.0,8.0,9.0,11.0,7.0,7.0,9.0,7.0,11.0,12.0,5.0,10.0,10.0,11.0,8.0,8.0,6.0,5.0,11.0,8.0,10.0,7.0,10.0,5.0,6.0,7.0,9.0,7.0,8.0,11.0,9.0,8.0,7.0,10.0,6.0,7.0,8.0,8.24,2.0158555179843014
2017-02-18,25.07936507857143,74.57315714285714,0.0,15541.665777777776,20533.997461629457,7.0,4.0,4.0,5.0,3.0,8.0,8.0,9.0,6.0,5.0,3.0,10.0,3.0,6.0,5.0,4.0,8.0,10.0,3.0,5.0,10.0,7.0,4.0,11.0,4.0,9.0,6.0,10.0,12.0,9.0,2.0,8.0,15.0,9.0,7.0,10.0,2.0,11.0,8.0,8.0,14.0,9.0,7.0,2.0,5.0,9.0,7.0,5.0,8.0,4.0,6.96,3.0835971573101806
2017-02-25,25.03968253857143,73.04869285714285,2.0827999999999998,14366.072444444444,18723.93873918478,10.0,7.0,1.0,9.0,7.0,5.0,14.0,9.0,8.0,2.0,9.0,7.0,7.0,6.0,3.0,1.0,4.0,5.0,6.0,8.0,5.0,5.0,6.0,2.0,6.0,9.0,3.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,1.0,2.0,10.0,10.0,5.0,5.0,4.0,2.0,10.0,9.0,10.0,8.0,7.0,8.0,6.0,10.0,6.64,2.9675799251654364
2017-03-04,25.515873017142855,70.40933571428572,1.1684,13273.13288888889,16582.3342793312,5.0,7.0,8.0,6.0,5.0,6.0,11.0,4.0,5.0,4.0,8.0,9.0,4.0,4.0,8.0,6.0,10.0,7.0,2.0,8.0,9.0,5.0,5.0,9.0,2.0,8.0,5.0,7.0,5.0,5.0,10.0,3.0,7.0,7.0,4.0,6.0,6.0,10.0,6.0,9.0,6.0,8.0,9.0,5.0,3.0,6.0,12.0,10.0,11.0,6.0,6.62,2.4065387118075976
2017-03-11,24.285714284285714,71.29939285714286,7.366,12527.849777777777,14560.304846373288,8.0,8.0,2.0,7.0,5.0,6.0,2.0,2.0,6.0,8.0,2.0,8.0,5.0,5.0,3.0,5.0,3.0,6.0,11.0,6.0,9.0,6.0,6.0,3.0,5.0,5.0,8.0,4.0,6.0,7.0,4.0,13.0,5.0,9.0,3.0,4.0,6.0,3.0,3.0,5.0,6.0,5.0,4.0,3.0,5.0,8.0,6.0,6.0,4.0,3.0,5.44,2.340068026222088
2017-03-18,25.87301587428571,68.02592142857144,1.6256,12648.447111111112,13051.694167367596,4.0,4.0,5.0,3.0,6.0,3.0,7.0,8.0,4.0,4.0,3.0,5.0,13.0,4.0,7.0,2.0,8.0,5.0,6.0,3.0,5.0,6.0,4.0,4.0,12.0,7.0,6.0,5.0,4.0,6.0,4.0,4.0,9.0,6.0,4.0,6.0,7.0,8.0,2.0,3.0,9.0,4.0,7.0,3.0,2.0,4.0,9.0,7.0,5.0,7.0,5.46,2.3751262050248863
