station,day,max_temp_f,min_temp_f,precip_in,min_rh,avg_rh,max_rh
TJNR,1/1/2000,79,78,0,,,
TJNR,1/2/2000,81,74,0,64.7712,81.97955,97.0174
TJNR,1/3/2000,81,73,0,76.9034,87.52208,100
TJNR,1/4/2000,79,75,0,81.8483,84.98399,90.8013
TJNR,1/5/2000,81,77,0,71.0816,83.53493,93.0885
TJNR,1/6/2000,81,75,0,71.9184,85.94227,93.5695
TJNR,1/7/2000,82,75,0,71.3899,80.332275,93.5928
TJNR,1/8/2000,81,73,0,71.1909,80.16942,94.1002
TJNR,1/9/2000,81,75,0,61.9123,73.35444,79.3669
TJNR,1/10/2000,81,75,0,64.2645,77.12568,90.8013
TJNR,1/11/2000,80,75,0,64.0667,73.46571,81.8483
TJNR,1/12/2000,81,73,0,64.5384,72.31891,88.5078
TJNR,1/13/2000,78,74,0,73.5941,79.98629,93.5415
TJNR,1/14/2000,81,70,0,67.2191,77.0832,96.3879
TJNR,1/15/2000,79,69,0,60.2337,74.633865,100
TJNR,1/16/2000,76,71,0,58.8195,63.694653,71.0139
TJNR,1/17/2000,77,70,0,49.3612,61.710934,70.809555
TJNR,1/18/2000,76,66,0,64.1747,78.57933,100
TJNR,1/19/2000,83,60,0,49.3749,78.96648,100
TJNR,1/20/2000,77,61,0,57.7305,80.53722,96.8522
TJNR,1/21/2000,80,64,0,71.3899,88.14702,100
TJNR,1/22/2000,81,71,0,69.2256,83.026955,96.3879
TJNR,1/23/2000,81,73,0,71.9184,82.13972,94.1002
TJNR,1/24/2000,82,73,0,69.897545,83.04966,93.518
TJNR,1/25/2000,84,75,0,65.9485,81.76355,93.5928
TJNR,1/26/2000,83,73.9,0,69.4343,83.5323,97.0174
TJNR,1/27/2000,83,71,0,69.5285,84.89023,100
TJNR,1/28/2000,82,37,0,66.9263,83.846275,96.5033
TJNR,1/29/2000,80,71,0,69.1109,80.64256,100
TJNR,1/30/2000,80,73,0,66.5828,74.65472,90.14
