station,day,max_temp_f,min_temp_f,precip_in,min_rh,avg_rh,max_rh
TJSJ,1/1/2000,82,75,0.05,64.8973,74.41134,87.5043
TJSJ,1/2/2000,82,72,0.03,60.4858,74.82827,93.4896
TJSJ,1/3/2000,81,71,0.47,74.148,84.69148,94.143
TJSJ,1/4/2000,81,73,0.27,74.0652,85.30648,94.143
TJSJ,1/5/2000,82,73,0.06,74.0652,83.28646,96.4172
TJSJ,1/6/2000,81,73,0.05,62.4018,79.19311,90.14
TJSJ,1/7/2000,81,71,0.02,64.2645,76.061775,87.4515
TJSJ,1/8/2000,81,73,0.02,66.5828,75.131035,88.507805
TJSJ,1/9/2000,81,74,0,58.255,68.30967,73.7806
TJSJ,1/10/2000,81,72,0.05,60.2337,72.02409,88.5078
TJSJ,1/11/2000,80,72,0.05,60.2337,72.100525,87.4073
TJSJ,1/12/2000,81,73,0,55.9133,64.477325,78.723
TJSJ,1/13/2000,79,71,0.2,69.5214,79.90513,94.057
TJSJ,1/14/2000,81,69,0.1,59.9939,76.549515,93.437
TJSJ,1/15/2000,79,70,0.25,57.9938,66.37637,93.437
TJSJ,1/16/2000,75,69,0.03,47.7467,59.996407,91.8624
TJSJ,1/17/2000,77,68,0.02,43.921,61.081238,88.3433
TJSJ,1/18/2000,77,66,0,55.9133,73.53224,89.8593
TJSJ,1/19/2000,77,66,0,53.7991,69.65517,84.3813
TJSJ,1/20/2000,78,64,0,55.7042,70.31104,89.778
TJSJ,1/21/2000,79,66,0,61.9123,75.43529,87.0542
TJSJ,1/22/2000,81,70,0,62.4018,79.314964,90.062
TJSJ,1/23/2000,80,72,0.06,66.4809,80.52018,94.057
TJSJ,1/24/2000,83,69,0.02,58.5141,79.48788,93.4658
TJSJ,1/25/2000,84,70,0.01,56.509,73.87147,93.518
TJSJ,1/26/2000,85,72,0,51.2489,70.95063,87.45151
TJSJ,1/27/2000,85,72,0,58.5141,76.353004,90.6553
TJSJ,1/28/2000,83,71,0.05,50.8367,74.79546,88.5078
TJSJ,1/29/2000,80,71,0.48,55.9745,77.2042,94.057
TJSJ,1/30/2000,81,71,0.01,54.3521,68.427956,87.3539
TJSJ,1/31/2000,82,72,0,58.1365,71.889206,87.4515
TJSJ,2/1/2000,83,71,0.06,60.7359,79.188156,93.4896
TJSJ,2/2/2000,84.2,71,0,58.654602,76.26437,90.062
TJSJ,2/3/2000,79,70,0.04,69.1109,81.544914,94.057
TJSJ,2/4/2000,82,71,0,64.7712,80.84533,90.6553
TJSJ,2/5/2000,85,72,0,59.135,77.05828,96.993
TJSJ,2/6/2000,85,71,0,51.1205,74.18254,90.062
TJSJ,2/7/2000,80,73,0.02,59.9939,79.88953,88.5078
TJSJ,2/8/2000,83,71,0.04,58.5141,81.434326,93.518
TJSJ,2/9/2000,84.9,72,0,52.753742,76.87442,93.4896
TJSJ,2/10/2000,85,70,0,50.9659,74.77896,93.437
TJSJ,2/11/2000,82.9,71,0,66.582794,78.03421,87.3539
TJSJ,2/12/2000,83,73,0,60.7359,74.9554,87.4515
TJSJ,2/13/2000,82,71,0.05,52.4748,75.73206,93.4658
TJSJ,2/14/2000,82,72,0.06,62.5339,75.774315,87.4073
TJSJ,2/15/2000,82,73,0.04,54.5016,73.488716,87.407265
TJSJ,2/16/2000,82,71,0.04,58.255,72.61883,87.3539
TJSJ,2/17/2000,82,69,0,56.2428,73.189766,87.2551
TJSJ,2/18/2000,82,71,0.02,60.2464,73.23811,87.3539
TJSJ,2/19/2000,80,72,0.02,62.1581,73.725914,84.1584
TJSJ,2/20/2000,81,72,0,58.255,72.78862,81.7121
TJSJ,2/21/2000,82,71,0.01,64.8973,76.76729,84.1584
TJSJ,2/22/2000,82,71,0.42,69.7103,86.39797,94.057
TJSJ,2/29/2000,73,72,0,,,
TJSJ,3/1/2000,81,68,0,45.4358,62.723186,83.9141
TJSJ,3/2/2000,79,67,0,46.934,60.832058,78.2462
TJSJ,3/3/2000,83,67,0,35.7112,60.182743,78.6606
TJSJ,3/4/2000,85,67,0,38.391,61.69199,76.1334
TJSJ,3/5/2000,83,69,0,58.1365,71.82957,86.7675
TJSJ,3/6/2000,81,70,0,58.255,70.837814,87.2551
TJSJ,3/7/2000,81,75,0,59.9939,65.77931,73.6791
TJSJ,3/8/2000,81,74,0,39.2206,54.99907,70.8797
