Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Arboleda,airport,13,52,FALSE,8/31/2013,6.531659274,2.938586572,2.887810043,11.85539205,10.97986937,10.70078569,1.550000277,1.840317429,3.577522301,7.956659631,7.207880216,3.04252412,1.670588431,4.015758919
Arboleda,airport,13,52,FALSE,9/7/2013,6.56485423,3.768493425,7.223346866,13.32597329,8.634488457,8.427869654,1.420494022,1.935177386,6.115847914,8.529267677,4.721517288,1.683487746,2.592228853,4.791721455
Arboleda,airport,13,52,FALSE,9/14/2013,6.591727063,3.813979395,8.244497122,13.86277103,9.76456228,4.415875053,1.203094134,1.667556525,6.536217621,8.508843652,4.224543636,1.285688003,2.545130175,5.476480697
Arboleda,airport,13,52,FALSE,9/21/2013,6.707066251,2.97734731,9.118009606,13.65041176,10.62589312,3.078853169,1.492340567,3.046878963,7.037418221,8.395795879,4.225081382,1.811053385,3.711702044,4.200363875
Arboleda,airport,13,52,FALSE,9/28/2013,6.684002114,3.028520186,11.99732119,11.10453038,10.89021919,1.481927047,2.047087887,3.663017354,8.066799535,7.340758933,3.222675253,1.847906625,4.042620195,4.106559894
Arboleda,airport,13,52,FALSE,10/5/2013,6.494676924,7.190008285,13.25980125,8.568448502,8.348133234,1.501275115,1.874886953,6.06569089,8.477681369,4.637396833,1.59587869,2.509870312,4.886836676,3.009479437
Arboleda,airport,13,52,FALSE,10/12/2013,6.496882023,8.21948176,13.81853537,9.721370581,4.378622407,1.196508175,1.645007991,6.501244547,8.475280168,4.168252903,1.235938029,2.494317437,5.558261738,1.510629721
Arboleda,airport,13,52,FALSE,10/19/2013,6.778722901,9.224793739,13.76631728,10.766937,3.172843098,1.618668854,3.138231236,7.129724795,8.493638423,4.390426868,1.948900336,3.698735089,4.092183034,2.796032936
Arboleda,airport,13,52,FALSE,10/26/2013,6.708031209,12.06919666,11.16819558,10.98636808,1.463260125,2.154915971,3.708456046,8.122580168,7.408396019,3.316132857,1.939015087,4.06699167,4.016366627,2.247058706
Arboleda,airport,13,52,FALSE,11/2/2013,6.254696306,13.10022837,8.410695306,8.157931001,1.714937696,1.748415227,5.946226211,8.353291541,4.434476171,1.395158646,2.315083467,5.134061225,3.08613723,5.067719481
Arboleda,airport,13,52,FALSE,11/9/2013,6.236950875,13.37456333,9.295217723,4.052384625,1.378211605,1.543282167,6.151968753,8.139067936,3.608468626,0.851090053,2.045194008,6.439759619,1.401741867,7.365898225
Arboleda,airport,13,52,FALSE,11/16/2013,6.194162561,12.68056865,9.451998526,2.799910651,1.545353426,2.533116708,6.2566811,7.578166819,2.886112255,1.078194003,4.371839658,5.826850153,1.590779395,8.386625821
Arboleda,airport,13,52,FALSE,11/23/2013,6.500653161,9.708044036,8.651273722,3.674261222,1.629039037,3.121991011,6.736915774,5.814650032,1.939283233,1.018639874,5.419803766,7.646435807,4.552625251,12.72028523
Arboleda,airport,13,52,FALSE,11/30/2013,7.3054213,6.466378648,5.917239184,5.658681188,3.45206163,4.55796089,6.557528259,1.521640936,2.867434672,1.907256858,10.19693338,7.83523032,10.76384648,14.62375153
Arboleda,airport,13,52,FALSE,12/7/2013,8.258209514,6.995784867,4.833652726,5.849914035,4.482317931,4.00050858,5.975272377,1.555842694,4.086677785,3.939836669,13.49590345,8.447138233,14.69937653,14.28423522
Arboleda,airport,13,52,FALSE,12/14/2013,8.914771655,6.576449002,6.038321829,6.128792657,4.183190606,4.132551322,5.499297727,2.652408689,4.225819936,8.88950199,12.89191069,9.105764895,16.43077688,15.10151419
Arboleda,airport,13,52,FALSE,12/21/2013,10.21271016,5.737588978,8.253021198,5.930336458,4.520254778,4.757092455,4.180458179,4.861961444,4.40911807,10.75762809,14.55805115,12.12661773,20.43272987,14.96192101
Arboleda,airport,13,52,FALSE,12/28/2013,12.46434776,5.637258176,10.35215138,7.525644298,4.32843025,4.643354648,2.063196614,6.993758802,5.346019735,16.83838831,14.8395796,18.23751809,22.37282734,19.10911232
Arboleda,airport,13,52,FALSE,1/4/2014,14.3340963,8.629554344,10.84257986,8.515662217,2.733884996,4.106876108,4.899235486,8.363201246,8.391493364,21.10402541,16.29908544,22.70392571,22.40259019,22.12300026
Arboleda,airport,13,52,FALSE,1/11/2014,15.67597595,11.05062567,11.51345689,7.822571441,2.441276021,4.223685244,6.958890406,8.561308497,14.72924252,21.19677136,17.87479814,25.29645588,24.16306076,22.88349722
Arboleda,airport,13,52,FALSE,1/18/2014,16.96929064,13.52469756,11.03484266,7.47529142,2.801329002,4.470752834,9.440762928,8.472294932,17.54830346,22.64607293,20.84980962,29.16092654,24.12766343,22.49721691
Arboleda,airport,13,52,FALSE,1/25/2014,16.73562546,13.55855705,10.39153804,5.099492809,3.494791476,4.302070122,9.841077208,7.857324602,21.47566118,19.71683577,23.4407322,27.68105578,24.53748077,19.13561115
Arboleda,airport,13,52,FALSE,2/1/2014,14.26683617,10.27728597,8.054487025,2.786880894,4.289513685,4.467609303,7.879187364,7.877449354,20.23866403,15.41186039,21.79150117,21.47121612,21.1792701,16.54453269
Arboleda,airport,13,52,FALSE,2/8/2014,12.96556345,8.750714714,5.893666876,3.165368349,4.691661325,4.661090167,6.33187086,11.70016139,16.91956584,13.38190298,20.75078143,19.47871925,18.43111081,15.10807273
Arboleda,airport,13,52,FALSE,2/15/2014,11.62678347,6.295501111,4.707050349,4.602943154,4.113651388,5.179618069,4.699911051,11.23374425,15.13444806,12.75184379,21.059393,15.61500257,14.97311177,13.38552501
Arboleda,airport,13,52,FALSE,2/22/2014,9.810033017,4.792440305,4.287374165,5.890737495,0.657255359,4.247295779,2.985521132,12.40770731,10.1664699,13.25582433,17.23896678,13.92972624,9.717545832,11.35640322
Arboleda,airport,13,52,FALSE,3/1/2014,8.231383119,3.46558136,4.528900118,6.532813636,1.451151227,2.971914921,2.876375041,11.5261433,6.385285938,12.63753555,12.22971148,11.61795855,8.169087741,10.08985776
Arboleda,airport,13,52,FALSE,3/8/2014,7.394482322,2.781321041,5.304147925,6.612073495,1.743003843,2.072913672,6.091219834,8.719243582,4.579802151,11.84019425,10.64148128,9.743852767,7.294018506,9.392287325
Arboleda,airport,13,52,FALSE,3/15/2014,7.54957331,3.207823122,6.339116809,5.403907383,2.191215792,1.59792101,6.327972972,8.952183033,5.992010733,14.22946657,8.628881707,8.745303416,7.510535538,9.381066518
Arboleda,airport,13,52,FALSE,3/22/2014,7.300777442,4.853942771,7.041863647,2.294865711,1.926790522,1.368346091,8.66723595,6.235252221,9.036468475,12.76789932,9.57932379,5.634128231,7.535714182,8.363459971
Arboleda,airport,13,52,FALSE,3/29/2014,6.338433538,5.455027386,7.460885243,2.524750483,1.291992627,1.744705689,8.45767196,3.158432628,9.444500845,9.132861379,8.18840636,5.108160953,7.200231177,5.164549849
Arboleda,airport,13,52,FALSE,4/5/2014,5.711829923,6.149768315,7.467785769,2.717146138,1.092695573,4.526257906,6.117752967,1.819102656,8.761696425,7.944774721,6.803176113,4.588211601,6.76876162,2.774857049
Arboleda,airport,13,52,FALSE,4/12/2014,5.644039409,7.278893528,6.413213422,2.145864898,0.799767733,4.462406414,5.988511079,2.793547993,10.69589683,5.380441194,5.717270363,4.494350467,6.516319543,3.532987335
Arboleda,airport,13,52,FALSE,4/19/2014,5.997827357,7.666798386,3.313156949,1.00296622,1.433866326,6.830643073,4.388304321,6.961517414,10.43036019,7.473108365,3.471655756,5.518563611,6.714943927,5.312966409
Arboleda,airport,13,52,FALSE,4/26/2014,6.433229004,7.448990417,2.506741166,1.310415541,1.749385892,8.495100518,3.197200483,9.48324991,9.169385362,8.230681064,5.146295643,7.236119997,5.192788983,6.443715609
Arboleda,airport,13,52,FALSE,5/3/2014,7.554519587,6.659854282,1.769667785,1.994954892,5.98938289,8.560209178,4.404748287,11.65998089,10.47413433,9.569829252,7.135410797,9.238450165,4.824452848,8.069719081
Arboleda,airport,13,52,FALSE,5/10/2014,8.986750967,5.014657578,2.715068785,2.284475258,7.375127101,10.34641324,7.52818045,15.80091472,10.19725107,10.15588118,8.861426978,10.6868238,7.228192794,9.606034791
Arboleda,airport,13,52,FALSE,5/17/2014,11.18686135,0.610970433,4.468406861,3.169714773,12.76249186,10.5410017,13.65527758,17.65408692,14.34391129,10.09430469,11.70945558,12.15147941,11.17428833,10.34913648
Arboleda,airport,13,52,FALSE,5/24/2014,12.37996088,2.338235722,5.350731281,5.223434614,15.73473867,10.77270612,17.0497517,16.65169851,16.25463519,12.24654326,13.96468776,11.34770233,12.88061715,9.775082338
