Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Arboleda,airport,13,52,TRUE,8/31/2013,5.724389627,1.47411565,2.117689391,8.809968676,11.46770503,8.893385943,2.126264299,1.579971724,2.471764774,7.059296107,7.167769577,3.287797891,1.74741628,1.708197231
Arboleda,airport,13,52,TRUE,9/7/2013,5.735497916,1.252067452,3.47350193,10.75870538,9.565635256,8.762964243,0.809030004,1.758613005,4.327939327,7.539461766,5.925008947,2.69153088,1.727101952,2.306269667
Arboleda,airport,13,52,TRUE,9/14/2013,5.73183834,1.846611305,5.315546904,12.35706116,7.670633245,7.301288244,0.593197823,1.828604877,5.525411172,7.856837589,4.586461806,2.029797315,1.542083877,2.665097734
Arboleda,airport,13,52,TRUE,9/21/2013,5.778671718,2.110795076,7.263004375,12.39530888,8.166411882,4.682520914,0.94925461,1.973547384,6.542753946,7.716834042,3.759485298,1.811045674,1.548464565,2.771004132
Arboleda,airport,13,52,TRUE,9/28/2013,5.798969267,2.205067538,8.865415326,11.53165655,8.972078426,2.174289621,1.642002686,2.526487737,7.103630236,7.223313893,3.372524097,1.821699734,1.643231221,2.528236789
Arboleda,airport,13,52,TRUE,10/5/2013,5.760486493,3.481019797,10.76448153,9.572028174,8.770965741,0.808216353,1.766194664,4.33227156,7.54395692,5.931339854,2.699910149,1.734770745,2.293427191,2.155103305
Arboleda,airport,13,52,TRUE,10/12/2013,5.641967361,5.189605089,12.21647861,7.509202074,7.13176457,0.742060491,1.648741584,5.42557951,7.746887717,4.414534165,1.842835977,1.389401221,3.014886813,1.940230001
Arboleda,airport,13,52,TRUE,10/19/2013,5.63084512,7.098296085,12.18574089,7.932166558,4.46985831,0.952633174,1.74241419,6.398779441,7.548720637,3.48606406,1.561071756,1.600410084,3.264018814,0.854770426
Arboleda,airport,13,52,TRUE,10/26/2013,5.662838214,8.708163737,11.35040357,8.748952039,2.047646572,1.475510051,2.372673487,6.977847199,7.065996325,3.132769027,1.611437539,1.846424399,2.928779238,0.810192972
Arboleda,airport,13,52,TRUE,11/2/2013,5.56573492,10.56007114,9.346619931,8.488609031,0.906320094,1.507698429,4.181121135,7.38487023,5.708372552,2.405601242,1.465184331,2.759523596,2.494720372,1.518197912
Arboleda,airport,13,52,TRUE,11/9/2013,5.388005251,11.80292971,7.037500389,6.647782443,1.321787133,1.137717737,5.136205132,7.42345326,3.914263657,1.308694675,1.065869924,4.050077335,2.534634388,4.340706391
Arboleda,airport,13,52,TRUE,11/16/2013,5.318831405,11.29152365,6.944041835,3.725020005,1.800945206,0.804549572,5.786826847,6.833063686,2.326004794,0.589117834,2.495870209,5.391026577,2.051468715,6.989158376
Arboleda,airport,13,52,TRUE,11/23/2013,5.525678212,9.895092794,6.946715369,2.399736737,1.867975886,1.439392607,5.950427231,5.819676445,1.362531683,0.458862691,4.445975041,6.379990045,3.190017172,9.871700794
Arboleda,airport,13,52,TRUE,11/30/2013,6.115647187,7.264185752,5.863353805,3.959847042,2.192061704,3.057825707,5.829399789,3.722083969,1.243375964,1.436952086,7.706555529,7.277106105,6.426680243,12.81154076
