Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Arboleda,site,13,52,FALSE,8/31/2013,4.320278081,2.531592263,5.767266587,4.159894784,6.251756992,8.46106452,1.454764328,1.368727459,2.014490945,3.938668981,3.546828623,3.386311916,4.102805712,3.248407496
Arboleda,site,13,52,FALSE,9/7/2013,4.412200843,2.818868182,6.192419826,5.808117126,5.987473818,6.736126549,1.445948054,1.870669568,3.296700993,3.936481094,1.130624897,4.437042299,3.938655418,4.83665252
Arboleda,site,13,52,FALSE,9/14/2013,4.560890336,2.796807658,6.492241341,5.678448063,8.093290203,3.361939278,1.21347772,2.201818795,2.926032424,3.767865798,1.938644287,5.440225649,3.237497375,6.203828239
Arboleda,site,13,52,FALSE,9/21/2013,4.477750879,4.914785925,4.596808202,6.394487255,8.099718096,2.56831367,1.08866134,2.207924287,3.110264144,4.046790221,2.178821723,4.964868626,3.59274628,5.278352823
Arboleda,site,13,52,FALSE,9/28/2013,4.514083147,6.247594411,3.897911979,6.066666622,7.975583494,1.639238519,1.08570812,2.122559371,3.559568664,3.437329127,3.969432604,4.794734776,3.312791293,5.26140951
Arboleda,site,13,52,FALSE,10/5/2013,4.663601521,6.833414312,5.448750333,5.962925884,6.191179968,1.998317255,1.939388348,3.043345444,3.414612177,1.849627185,5.403305342,4.711116897,5.388004155,4.466501511
Arboleda,site,13,52,FALSE,10/12/2013,4.632936137,6.673441358,5.512875963,8.050089252,3.271654588,1.312857154,2.282717519,2.819461629,3.653098877,2.142801096,5.703540881,3.421950689,6.400794191,3.250877762
Arboleda,site,13,52,FALSE,10/19/2013,4.300556389,4.240572497,7.044038197,8.580298968,2.838853279,1.151735497,2.187481542,3.566560484,4.416921978,1.615340251,4.020052538,3.056728539,4.714618563,1.571042033
Arboleda,site,13,52,FALSE,10/26/2013,4.321054019,4.706389197,6.603530046,9.090469693,1.420528642,1.865389402,2.024747135,4.454609189,3.829180853,2.733417905,3.215709459,3.357657555,3.867227262,2.488218911
Arboleda,site,13,52,FALSE,11/2/2013,4.511558845,6.338151769,6.141548679,7.282134065,1.020157445,2.007387098,3.629765849,4.482258623,0.804778086,3.514419234,3.256233069,4.422756069,2.898753511,6.616818212
Arboleda,site,13,52,FALSE,11/9/2013,4.776745543,6.900607865,8.483508944,4.030047442,1.15425714,1.954902721,3.683695753,4.590641513,1.105279445,3.828438847,2.320293102,5.125567737,1.531503882,8.433174069
