Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Arboleda,site,13,52,TRUE,8/31/2013,3.259965714,1.429731954,3.365857547,1.838549035,5.096417545,7.264008865,2.270713298,1.237754402,0.80172595,2.748773679,2.62470417,2.226692482,3.798099086,1.226262692
Arboleda,site,13,52,TRUE,9/7/2013,3.28543519,1.171199444,4.11441511,2.413282707,4.250651811,7.28618732,1.130834415,1.05491916,1.839224833,2.711060152,1.631775717,3.322732548,3.626026733,2.250983751
Arboleda,site,13,52,TRUE,9/14/2013,3.366357285,0.760353754,4.60463492,4.064264558,3.812350669,6.219754743,1.168324187,1.082685827,2.070699873,2.428792412,1.318489978,4.386754541,3.254122264,3.392185234
Arboleda,site,13,52,TRUE,9/21/2013,3.501317379,2.13209178,4.372496928,4.287733981,5.656819602,4.090887515,1.244524674,1.36719688,2.067163147,2.111150457,2.041936272,4.803133049,2.851738048,4.589720962
Arboleda,site,13,52,TRUE,9/28/2013,3.554937455,4.162902684,2.585344717,4.289731584,6.677926709,2.040498911,1.173066847,1.145338103,2.134805017,2.271503737,3.05182195,4.731965914,2.08419312,4.965949405
Arboleda,site,13,52,TRUE,10/5/2013,3.601492192,4.84546789,2.282670153,3.75805831,6.811181292,1.364709992,0.897177234,1.828421654,2.220792145,1.703142365,4.027596525,4.301723896,2.905244237,4.733440515
Arboleda,site,13,52,TRUE,10/12/2013,3.689978854,5.143176681,3.751691119,3.56666698,5.937722969,1.493926143,1.075900014,1.946003507,2.074707906,1.725041588,4.896182847,3.687857557,3.887587035,4.621626472
Arboleda,site,13,52,TRUE,10/19/2013,3.533341932,4.233634323,4.410443803,5.723482868,4.154790897,1.169483176,1.339556018,2.147698071,2.202066974,1.90830333,4.65788423,2.731744841,4.439166048,3.126085528
Arboleda,site,13,52,TRUE,10/26/2013,3.340096275,1.791399269,5.172482571,7.317938635,2.298763802,1.260553083,0.786966783,2.804925365,2.666784623,2.157700628,3.713564504,1.150087072,3.792842392,2.211037786
Arboleda,site,13,52,TRUE,11/2/2013,3.424034216,3.008095315,4.989369496,7.929427442,1.121380236,1.509371619,2.037172047,3.3814328,1.931701863,2.426565558,2.729897224,1.449421579,2.859872264,3.020313137
Arboleda,site,13,52,TRUE,11/9/2013,3.648832112,5.216905248,4.664129653,7.046093199,0.467651974,1.534891895,2.623000549,3.461825771,0.812431638,2.95296535,2.081034968,2.032079109,2.489567955,5.38396125
Arboleda,site,13,52,TRUE,11/16/2013,3.871180226,5.730665227,6.45791471,4.842419744,0.815253003,1.399715418,2.992286297,3.192447143,0.725556411,3.210768092,1.620646532,2.972088704,1.353089887,7.136441536
Arboleda,site,13,52,TRUE,11/23/2013,4.11091258,5.653593476,7.655807216,2.494645854,1.449934467,0.782193768,3.155210616,2.956541462,1.765861754,3.188487587,0.693833279,3.19405817,1.540925374,8.668555547
Arboleda,site,13,52,TRUE,11/30/2013,4.270236707,4.690844365,7.676181192,1.077614066,1.310527493,1.936701081,3.116975849,1.766732195,2.768331495,3.079498385,1.746680817,3.26169297,3.486783492,9.67809957
