Source,Scaler_win,Forecast_win,Dist,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Ceiba_mols,13,52,poisson,4/15/2017,0.490334952,0.537671996,0.468434685,0.371741148,0.461848824,0.143074781,0.761631629,0.348281128,0.330734499,0.241650031,0.66588388,0.464030408,0.428549612,0.730436479
Ceiba_mols,13,52,poisson,4/22/2017,0.493508973,0.571890364,0.461137199,0.224494519,0.470573296,0.594315583,0.569114238,0.242857424,0.273772713,0.317898967,0.671885894,0.409384488,0.556315112,0.7169487
Ceiba_mols,13,52,poisson,4/29/2017,0.494557055,0.646367284,0.375421923,0.213918578,0.432081895,0.619926027,0.580039586,0.270113198,0.242596728,0.39510238,0.648082177,0.352121488,0.798034024,0.445988662
Ceiba_mols,13,52,poisson,5/6/2017,0.481127559,0.539171687,0.413628446,0.417012898,0.333934576,0.615682307,0.49074293,0.261259629,0.322842749,0.404440624,0.710048768,0.497552014,0.630770151,0.395643759
Ceiba_mols,13,52,poisson,5/13/2017,0.476211311,0.460129358,0.452207539,0.513057341,0.105464036,0.70606277,0.339248423,0.332471883,0.299605462,0.630859672,0.525955917,0.481376543,0.659634557,0.319644795
Ceiba_mols,13,52,poisson,5/20/2017,0.490905291,0.55719867,0.335992806,0.571374427,0.481804338,0.522708878,0.306263444,0.373479932,0.44562326,0.631510944,0.499063378,0.582500074,0.615316735,0.282838846
Ceiba_mols,13,52,poisson,5/27/2017,0.48623846,0.462123255,0.213577529,0.540130241,0.499392926,0.573746429,0.189927914,0.341650995,0.464114609,0.614094971,0.463591697,0.770741023,0.372740779,0.500861288
Ceiba_mols,13,52,poisson,6/3/2017,0.495520835,0.492620598,0.468230493,0.40192083,0.522307864,0.547661341,0.278908585,0.409314038,0.46009371,0.716303528,0.576634553,0.569831445,0.352076298,0.494530154
Ceiba_mols,13,52,poisson,6/10/2017,0.490402907,0.497152687,0.544219163,0.131762093,0.68503321,0.351426951,0.350499491,0.342330164,0.61926608,0.563790739,0.515275731,0.623173904,0.302496758,0.534993287
Ceiba_mols,13,52,poisson,6/17/2017,0.500160607,0.305903675,0.54442077,0.504414937,0.526829479,0.280093331,0.342018901,0.410554562,0.637280693,0.473197538,0.572094673,0.639650076,0.296091258,0.715536198
Ceiba_mols,13,52,poisson,6/24/2017,0.504069515,0.213619991,0.540255297,0.49928873,0.573772269,0.18991553,0.34178701,0.464212808,0.614079966,0.463721845,0.770725445,0.372670423,0.500777739,0.665518292
Ceiba_mols,13,52,poisson,7/1/2017,0.51023448,0.43733786,0.360114304,0.574056028,0.512054814,0.261907039,0.357382404,0.425494928,0.710713915,0.530112026,0.603943983,0.376249125,0.529514527,0.722169606
Ceiba_mols,13,52,poisson,7/8/2017,0.52452293,0.515501654,0.106507307,0.704121794,0.339815157,0.333526245,0.302850047,0.629730037,0.528923434,0.484003238,0.656639271,0.318136646,0.557985403,0.854983989
Ceiba_mols,13,52,poisson,7/15/2017,0.52812646,0.504169282,0.547598163,0.543373079,0.251114642,0.299985404,0.358911636,0.652114784,0.436694534,0.560716072,0.679276904,0.320981296,0.750118994,0.661266386
