Source,Scaler_win,Forecast_win,Dist,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Ceiba,13,52,negbin,4/15/2017,1.590440998,0.876500294,1.151882953,2.431053825,3.441407248,0.785843114,0.279577826,0.784905837,0.949158626,0.815979104,0.587370914,1.161671573,2.278630394,1.808309569
Ceiba,13,52,negbin,4/22/2017,1.558020294,0.548137947,0.887310228,2.673286602,2.624029519,0.640146846,0.401229707,0.99139313,1.053566324,1.073150494,0.410438437,1.659493136,2.881403513,1.181793676
Ceiba,13,52,negbin,4/29/2017,1.591654256,0.730579389,0.672915528,2.901744694,1.932094394,0.649745936,0.684199353,1.074622275,1.182696788,1.183326308,0.835115713,2.186887016,2.760697016,1.35961923
Ceiba,13,52,negbin,5/6/2017,1.661132794,0.566348458,0.937667935,2.731753271,1.517101363,0.718734382,1.461397341,0.608378426,1.535840653,1.260550664,1.585284197,2.662226284,2.509830136,1.427466866
Ceiba,13,52,negbin,5/13/2017,1.676775986,0.54095664,1.873738729,2.431254616,0.948986697,0.984372399,1.41318806,1.439792067,1.522082451,0.481134759,1.86230309,2.880878744,2.164839687,1.376198449
Ceiba,13,52,negbin,5/20/2017,1.6702895,0.620752392,2.399840403,2.323881128,0.717649755,0.746303134,1.212674987,1.306274351,1.326213193,0.5746327,1.931797267,3.104472502,1.203271767,1.888877979
Ceiba,13,52,negbin,5/27/2017,1.706232013,0.696345447,2.659280544,1.785308243,0.788320913,0.9335515,1.231829385,1.359051303,1.329054523,1.010502057,2.355555936,2.899435666,1.271484958,1.97104711
Ceiba,13,52,negbin,6/3/2017,1.718473984,0.943954177,2.890839413,1.521431239,0.60796344,1.322732663,0.480599103,1.410478372,1.170371599,1.478617618,2.562858607,2.4261238,1.532710605,2.031985081
Ceiba,13,52,negbin,6/10/2017,1.730144195,1.997777628,2.71104619,0.783397098,0.707726012,1.1947674,1.253401233,1.299579003,0.32867223,1.662804294,2.713264223,2.05669381,1.563464851,2.20503168
Ceiba,13,52,negbin,6/17/2017,1.77176597,2.393175393,2.316515051,0.722324744,0.755874936,1.219267223,1.313387238,1.333313104,0.580663431,1.938815093,3.110207972,1.204374526,1.881697982,2.207302593
