Source,Scaler_win,Forecast_win,Dist,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Ceiba,13,52,poisson,4/15/2017,1.870369651,0.850053635,0.744882435,2.240526112,3.473044688,0.881147363,1.268000099,0.908847397,1.219543807,0.949612916,1.107818888,1.74893856,3.340689524,2.464281016
Ceiba,13,52,poisson,4/22/2017,1.91296469,0.828974658,0.702810206,2.724311513,2.733399095,1.15454692,1.334004121,1.193904135,1.362289693,0.939995674,1.358369869,2.414127496,3.688385444,1.71563707
Ceiba,13,52,poisson,4/29/2017,2.004380574,1.083833078,0.554620782,2.817107569,2.040194362,1.573884229,1.460199477,1.684752344,1.575893231,0.949758639,1.867160741,3.009934805,3.713889575,1.214543065
Ceiba,13,52,poisson,5/6/2017,2.023483701,0.811758306,0.975253724,3.110888258,1.349743435,1.845027703,1.247808,1.729993794,1.502040193,0.896081635,2.054610108,3.315875871,3.394521851,1.538332075
Ceiba,13,52,poisson,5/13/2017,2.023606358,0.651919746,1.866947733,3.022700418,0.891544386,1.692722821,1.325797022,1.635214089,1.331329433,1.40606833,2.070049072,3.614572568,2.665454037,1.972660576
Ceiba,13,52,poisson,5/20/2017,1.999812048,0.72442433,2.767054648,2.778615809,1.118927032,1.289379643,1.151700576,1.31953758,0.905168742,1.323149338,2.381346424,3.661071612,1.702344104,2.358762751
Ceiba,13,52,poisson,5/27/2017,1.999472887,0.768267956,3.269662107,2.426381773,1.130926033,1.040103061,1.250317884,1.153633291,0.579964409,1.52735606,2.706581737,3.451341941,1.336381722,2.420109379
Ceiba,13,52,poisson,6/3/2017,2.041249994,1.471584448,3.830070544,1.778811493,1.129312778,0.636259175,1.06028031,0.869173283,0.39521945,1.509788689,2.856738138,3.020821819,1.950967031,2.660802322
Ceiba,13,52,poisson,6/10/2017,2.115266854,2.521047301,3.798127665,1.011231148,0.988417566,0.622234781,0.923376811,0.697339388,0.937959751,1.522995463,3.143662299,2.325637783,2.524215006,2.966033945
Ceiba,13,52,poisson,6/17/2017,2.139278062,3.295799031,3.336054372,0.793984086,0.784907642,0.660735073,0.801655667,0.577799638,0.92385752,1.98394539,3.327561798,1.570062419,2.804740328,2.941026769
