Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
La_Margarita,site,13,52,FALSE,8/31/2013,0.683248737,0.717970255,1.291668768,0.332157951,1.1561398,0.541858129,0.364773168,0.183240296,0.536495986,0.742710344,0.780857168,0.497115892,0.379518354,0.37055044
La_Margarita,site,13,52,FALSE,9/7/2013,0.690244143,0.721834303,1.284386587,0.344934028,1.177584575,0.557323331,0.226199891,0.167957124,0.900481771,0.184558052,0.766354569,0.514584596,0.444219872,0.482659111
La_Margarita,site,13,52,FALSE,9/14/2013,0.651858262,0.862759445,1.067269251,0.496279412,1.058354493,0.400077201,0.21831029,0.154728268,0.94535137,0.529887767,0.494948676,0.501924147,0.362869148,0.489301766
La_Margarita,site,13,52,FALSE,9/21/2013,0.596407521,0.842429574,0.711662469,0.832802517,0.720719827,0.217171723,0.26335607,0.313656687,1.000786553,0.56137475,0.323289465,0.368630509,0.370589817,0.534434068
La_Margarita,site,13,52,FALSE,9/28/2013,0.592340047,0.972130967,0.592241103,0.886696016,0.507376258,0.205069356,0.277310337,0.651534545,0.87179202,0.509403306,0.435778359,0.184682072,0.491330032,0.439816604
La_Margarita,site,13,52,FALSE,10/5/2013,0.617422708,0.993340545,0.667350798,0.953418582,0.258411063,0.265299445,0.117417643,1.034177796,0.291578192,0.557559025,0.39570458,0.411728505,0.433024054,0.696188178
La_Margarita,site,13,52,FALSE,10/12/2013,0.654479125,0.890446107,0.821854421,0.843296619,0.231477142,0.38049126,0.280271127,1.171695129,0.480566256,0.485273365,0.218499919,0.463113214,0.452196519,0.897809172
La_Margarita,site,13,52,FALSE,10/19/2013,0.737329074,0.889051307,0.98414858,0.791369792,0.362364194,0.490965407,0.4933991,1.213580881,0.475669729,0.559724875,0.183127356,0.53415352,0.706357342,1.111913365
La_Margarita,site,13,52,FALSE,10/26/2013,0.786668214,1.173014151,0.778970311,0.853332855,0.395123063,0.537697094,0.871502797,1.124078984,0.322387735,0.615301281,0.187988445,0.756007019,0.61783183,1.180945583
La_Margarita,site,13,52,FALSE,11/2/2013,0.77749799,1.280876294,0.85133951,0.307329191,0.550997695,0.334997139,1.269969304,0.626071408,0.463729275,0.460396801,0.516402728,0.547700255,1.050233643,0.938833986
La_Margarita,site,13,52,FALSE,11/9/2013,0.743136445,1.014102565,0.855066488,0.347124242,0.480853347,0.363490037,1.257742625,0.543866743,0.574387189,0.187161952,0.533187531,0.50717769,1.044923798,1.029489442
La_Margarita,site,13,52,FALSE,11/16/2013,0.723748356,0.95989697,0.772616452,0.336658615,0.470673488,0.477006073,1.195919627,0.469518969,0.534221286,0.185953169,0.517916777,0.687021041,1.078877561,0.924094625
La_Margarita,site,13,52,FALSE,11/23/2013,0.720304381,0.763898692,0.667086599,0.261502102,0.418720852,0.771851241,1.00901662,0.336585728,0.505130179,0.095187322,0.634868284,0.502737619,1.024150764,1.332883857
La_Margarita,site,13,52,FALSE,11/30/2013,0.70950824,0.871792711,0.124631032,0.349847439,0.174591927,1.11381437,0.399321153,0.476294701,0.377654937,0.427587034,0.447019059,0.806380145,0.9721576,1.366849842
La_Margarita,site,13,52,FALSE,12/7/2013,0.719524946,0.85458829,0.205478455,0.340670122,0.247160629,1.135255546,0.465555816,0.459385474,0.251649656,0.437058193,0.438855961,0.837713112,1.167630308,1.245782773
La_Margarita,site,13,52,FALSE,12/14/2013,0.710422717,0.718634332,0.248023806,0.393058304,0.414970444,1.127412649,0.468227457,0.44097672,0.225045694,0.458107048,0.61855973,0.951915917,1.096325709,1.1047646
La_Margarita,site,13,52,FALSE,12/21/2013,0.707465806,0.630642056,0.238048602,0.39267238,0.750067211,0.984019495,0.357479431,0.48586613,0.092709585,0.608516089,0.483341357,0.993199447,1.39705425,0.672733249
La_Margarita,site,13,52,FALSE,12/28/2013,0.685734658,0.12460134,0.34988417,0.174620253,1.113845325,0.399364873,0.476271644,0.377656678,0.427597776,0.447030324,0.806425521,0.972136889,1.366764676,0.573483012
La_Margarita,site,13,52,FALSE,1/4/2014,0.685376379,0.202611028,0.331606274,0.239626657,1.126631998,0.463213269,0.454571313,0.260636113,0.431292768,0.436709768,0.823750767,1.17978585,1.259686288,0.325214405
La_Margarita,site,13,52,FALSE,1/11/2014,0.691138675,0.20286259,0.330769304,0.366042636,1.070070176,0.49584303,0.374827616,0.282326716,0.413588574,0.571973712,0.848115687,1.246006874,1.166594604,0.427896662
La_Margarita,site,13,52,FALSE,1/18/2014,0.703265837,0.199434186,0.295009169,0.667159884,0.88949008,0.480148737,0.438678556,0.163463384,0.50955221,0.440774696,0.892152204,1.653290246,0.705137245,0.369224986
La_Margarita,site,13,52,FALSE,1/25/2014,0.712066074,0.270054006,0.119739798,1.039434325,0.298268852,0.550986469,0.39314862,0.412005342,0.432973205,0.702981991,1.037130739,1.575431938,0.56824178,0.380481185
La_Margarita,site,13,52,FALSE,2/1/2014,0.71372452,0.255234352,0.176977519,1.042823273,0.466713834,0.438649185,0.362767915,0.385362875,0.437811648,0.695270052,1.312051556,1.412246587,0.45614312,0.385853888
La_Margarita,site,13,52,FALSE,2/8/2014,0.703142813,0.29560888,0.338721801,1.03552943,0.524438516,0.344054125,0.323519249,0.390341876,0.550275358,0.78747106,1.338841412,1.214015589,0.491088996,0.268396424
La_Margarita,site,13,52,FALSE,2/15/2014,0.69932625,0.304968997,0.675816753,0.899312155,0.464688719,0.441223032,0.152371445,0.519728903,0.442396663,0.901179367,1.625463873,0.697587733,0.352062919,0.186412352
La_Margarita,site,13,52,FALSE,2/22/2014,0.702609465,0.148240377,1.083196387,0.356607514,0.502576132,0.379273748,0.418628629,0.438002708,0.762355581,0.995270361,1.451754068,0.564466876,0.311799608,0.486223964
La_Margarita,site,13,52,FALSE,3/1/2014,0.700033546,0.230685378,1.116175936,0.461025783,0.449467838,0.272010815,0.424529752,0.434652266,0.806973931,1.194908269,1.277021265,0.338941659,0.277343362,0.55878904
La_Margarita,site,13,52,FALSE,3/8/2014,0.70724682,0.357356368,1.059355999,0.503798028,0.364378363,0.294662593,0.406042456,0.564667399,0.829115544,1.274574899,1.18050415,0.447122285,0.231010448,0.580222645
