Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Playa,airport,13,52,FALSE,8/31/2013,9.398011118,4.658804657,8.238497641,24.94752606,12.74847009,7.937028833,1.704678899,2.185863811,1.259907078,5.287988333,3.255545188,8.745991851,6.108656199,7.005494
Playa,airport,13,52,FALSE,9/7/2013,9.30063963,9.168869325,14.8224394,22.79175668,8.407086445,5.518425006,2.263517707,1.312228293,3.500004524,4.633223439,5.156040032,8.520691451,4.539219617,6.308867628
Playa,airport,13,52,FALSE,9/14/2013,9.105755677,8.628657786,18.80532107,20.1571136,6.827484332,3.58626631,2.354496781,1.683026082,4.145730898,3.82190471,5.744212952,8.212637569,4.005321618,5.230395723
Playa,airport,13,52,FALSE,9/21/2013,9.14190896,8.644005911,20.36558601,18.62709121,7.217663047,3.033902652,2.17144599,1.627368122,4.63772388,3.61721308,7.320635167,6.983805033,3.706669998,5.537504493
Playa,airport,13,52,FALSE,9/28/2013,8.843230637,7.555127251,24.33576557,12.2062147,7.115565278,2.067376786,1.864329541,1.797010323,4.814378477,2.712529048,7.792219165,5.413823597,5.845438396,1.410921018
Playa,airport,13,52,FALSE,10/5/2013,8.421506791,14.27916715,21.6329409,7.236653025,4.019370259,2.97820353,2.520075709,3.426021662,3.724221113,4.033923703,6.74389598,3.237784603,4.767718502,6.766452407
Playa,airport,13,52,FALSE,10/12/2013,8.477091007,18.2052956,19.2136036,5.839116535,2.613103925,2.866109476,2.975098227,3.717242382,3.090375895,4.65467523,6.824640736,2.691865354,4.506391715,7.513019015
Playa,airport,13,52,FALSE,10/19/2013,8.686852132,19.82220796,18.04351909,6.435274016,2.773062798,2.265255029,2.44084773,4.197913839,3.060163523,6.460888473,6.107995193,3.022098809,4.589927159,8.128939893
Playa,airport,13,52,FALSE,10/26/2013,8.710026524,23.97343605,11.89613531,6.636481285,2.48569887,1.930667523,2.163616051,4.5344614,2.421130906,7.228572787,5.021139912,5.223198182,1.41865464,8.842151051
Playa,airport,13,52,FALSE,11/2/2013,7.354412279,20.84698938,6.516532416,3.1617397,4.012937252,3.651457562,3.601798127,3.108521273,3.410717045,5.546925817,2.564057218,4.618329232,6.15046465,7.474728907
Playa,airport,13,52,FALSE,11/9/2013,6.841491357,17.6636149,4.475953246,2.64928069,4.940806168,5.18097177,3.363817978,1.970226847,3.211354432,4.534145268,1.646465008,6.07091917,5.545434362,10.0886469
Playa,airport,13,52,FALSE,11/16/2013,7.257381424,15.83441366,3.729889057,5.066797104,5.646472446,5.76052776,2.741964383,1.331527242,3.589938359,2.772051356,4.783686169,6.660088563,6.34201045,13.85641819
Playa,airport,13,52,FALSE,11/23/2013,8.770078115,9.311612315,2.823144717,8.863332081,7.411782344,6.560795392,1.634594386,3.135748253,1.623360506,3.411743565,6.723547454,11.26432436,11.48197844,19.94906015
Playa,airport,13,52,FALSE,11/30/2013,10.95674249,4.998546733,5.385741596,11.29903931,10.51772909,6.621747458,0.620146462,4.6094554,2.004995264,5.420426359,12.9394433,12.67652423,18.38794571,22.43323085
Playa,airport,13,52,FALSE,12/7/2013,12.70930051,5.354800404,9.26365659,12.80441953,11.9588577,5.23161178,2.735984721,5.729946557,2.71577657,8.126448717,17.43086496,13.17750341,23.42758677,22.60419765
Playa,airport,13,52,FALSE,12/14/2013,13.4118547,4.85462175,11.99202644,12.98223395,11.40219888,3.240311326,3.965505605,5.691810751,4.182371265,12.79471861,17.58251913,15.3789447,26.31102834,19.86810682
Playa,airport,13,52,FALSE,12/21/2013,15.23065263,5.739177265,15.3140021,13.60981732,10.84655417,1.791260685,6.894583089,5.111698045,7.107395422,14.75956106,21.33999771,20.51584876,30.60377045,16.94683087
Playa,airport,13,52,FALSE,12/28/2013,17.15265575,9.574032227,16.35590427,15.13391286,9.304633701,2.773621094,7.806724134,6.217832326,9.28822215,20.19150017,19.95882535,26.5389711,30.61307017,22.55856158
Playa,airport,13,52,FALSE,1/4/2014,17.41126883,12.34397066,16.14780957,14.75174758,6.656352191,4.25112995,8.185919934,5.546335408,11.21427898,22.5437365,18.13671522,28.96320394,27.62241355,24.19306791
