Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Playa,airport,13,52,TRUE,8/31/2013,8.394929884,2.499494044,7.549779172,19.63685445,16.23158035,6.787376393,2.376859629,1.418407882,0.418941508,4.651302407,3.194139711,6.954849115,7.835130153,2.890409114
Playa,airport,13,52,TRUE,9/7/2013,8.353539228,4.672437332,8.361684423,21.65462125,12.30484034,6.448004396,1.385661346,1.332619128,1.626460036,4.831141712,3.020286364,8.17875981,6.117186268,3.222991006
Playa,airport,13,52,TRUE,9/14/2013,8.288368584,6.598117946,11.55012299,21.88147083,7.747350972,5.195273444,0.743510312,1.147289577,2.82148956,4.450299276,3.519382198,8.793630676,4.15434935,3.701683485
Playa,airport,13,52,TRUE,9/21/2013,8.183138939,7.227045053,15.92990427,19.24060837,6.370240418,3.315114394,1.159158575,0.664467681,3.847080646,3.646433594,5.173543314,8.349787344,2.01616382,3.512099278
Playa,airport,13,52,TRUE,9/28/2013,7.983097393,6.682845898,19.17390294,15.70991156,6.115581259,1.904778869,0.840828675,0.786969019,4.286147236,2.747914292,6.23401531,7.219512689,1.875937912,2.570465561
Playa,airport,13,52,TRUE,10/5/2013,7.658765594,7.267314923,20.85636104,11.46657013,5.340660271,1.434162119,0.708354901,1.618769879,4.215191966,2.130446495,6.985601271,5.231449402,1.438742427,3.001352042
Playa,airport,13,52,TRUE,10/12/2013,7.341659774,10.53457694,20.72347537,6.421209803,3.717526768,1.920713128,1.381704135,2.405682297,3.575109238,2.157697522,7.180300929,3.116939029,1.28758956,3.668156106
Playa,airport,13,52,TRUE,10/19/2013,7.223575866,14.95392529,17.95710439,4.819301292,2.050908866,2.056347995,1.857347205,3.122337373,2.644629851,3.688023452,6.723023956,1.394911664,0.85865599,4.350431719
Playa,airport,13,52,TRUE,10/26/2013,7.228649776,18.26427617,14.69695177,4.804891762,1.935566951,1.404907099,1.814021883,3.571770105,1.979114022,4.840313464,6.023162733,1.13683574,0.878941321,4.377830341
Playa,airport,13,52,TRUE,11/2/2013,6.968202008,19.9303396,10.53263514,4.122018732,2.643723944,1.711779193,2.050242004,3.503189311,1.276055335,5.619657358,4.326978564,1.672031978,1.839910821,4.644584774
Playa,airport,13,52,TRUE,11/9/2013,6.493255727,19.420167,4.999655197,2.547751148,3.986821419,2.911898235,2.36885372,2.620853317,1.193740739,5.371319927,2.936533163,2.982398846,2.872787105,6.824893259
Playa,airport,13,52,TRUE,11/16/2013,6.347845999,15.7969855,2.290031807,3.271959148,5.286043548,4.36060576,2.298094789,1.333877817,2.29129511,3.973936971,4.745849238,5.231179584,3.205028053,11.09602968
Playa,airport,13,52,TRUE,11/23/2013,7.290110661,11.66316425,1.427239724,6.35485889,6.319618104,5.26051488,1.460418342,2.534598272,1.875484636,2.700036445,7.66600443,8.331226453,5.89528793,16.20299394
Playa,airport,13,52,TRUE,11/30/2013,9.258298263,7.331221275,3.48483515,9.404499268,7.910965511,5.59911384,0.710177699,4.380002782,1.992839187,4.353545974,11.67448759,10.98963239,12.15446851,20.46044613
Playa,airport,13,52,TRUE,12/7/2013,11.80067222,3.385524125,7.284306193,12.2285165,9.629267512,5.253359417,1.993533809,6.601245214,2.05727522,8.846592757,15.63154893,14.13650317,19.02610036,23.23192671
Playa,airport,13,52,TRUE,12/14/2013,13.90463776,4.772609317,11.08646442,13.6534405,10.62610417,4.043279118,4.288307987,7.728612089,3.06738132,14.21286014,18.43966382,15.88847027,24.8597206,23.49541638
Playa,airport,13,52,TRUE,12/21/2013,15.47120735,6.424921334,14.18141712,13.99690329,10.52084545,2.656906404,7.14616142,7.625242987,5.059609589,18.25352071,20.65087499,18.57652419,29.31717559,21.36724591
Playa,airport,13,52,TRUE,12/28/2013,16.90178865,8.826285882,16.13266764,14.01489638,9.435185487,2.83191139,9.114972515,7.130581598,8.831028107,21.62494958,21.31807096,22.85773658,31.69695395,20.5159289
Playa,airport,13,52,TRUE,1/4/2014,18.21311028,11.88812847,17.34265594,13.83855846,7.69312026,4.247708385,10.63100078,6.260515843,13.41459271,23.54986987,22.05341406,27.23630568,31.78480899,21.82417178
Playa,airport,13,52,TRUE,1/11/2014,19.0318278,14.61791335,17.2903791,13.34033682,5.550488556,6.203668343,10.780108,5.961798864,18.33668926,24.16156764,21.74419157,30.84898461,29.59007552,24.02136353
Playa,airport,13,52,TRUE,1/18/2014,19.21773887,16.44742231,16.20047407,12.02906444,3.624873528,8.539681867,9.624131275,6.683225532,21.29320841,24.18531802,22.30814208,33.07998165,25.224796,25.17128422
Playa,airport,13,52,TRUE,1/25/2014,19.09337101,17.07015233,14.86436422,9.974245279,3.246182293,9.778523129,7.943295859,9.527619254,23.00967215,22.75940209,24.37726167,33.25998967,22.11622143,25.10666215
