Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Playa,site,13,52,FALSE,8/31/2013,6.015539774,5.375186852,9.793616658,12.17600114,6.67855915,3.151788578,1.184562465,2.585323368,3.280932669,1.530775456,4.297709742,3.988960108,2.789565337,8.914549421
Playa,site,13,52,FALSE,9/7/2013,5.88530597,8.237484459,11.23646744,8.718267425,5.899815447,1.758579766,2.340478089,1.991146315,3.552888928,1.395694088,5.069295212,3.418286812,2.698615417,8.57772307
Playa,site,13,52,FALSE,9/14/2013,5.725396067,7.367847833,11.91033761,6.494381427,6.53123446,1.049169773,2.509383957,3.214409811,3.14642411,3.737864906,4.71265472,2.570375056,4.23442142,7.537815523
Playa,site,13,52,FALSE,9/21/2013,5.75401384,9.314515319,10.38973503,8.330835931,3.852508639,1.581368672,2.237733162,4.055952517,2.187407351,4.719587051,4.288246089,2.155525434,4.124081307,7.771728728
Playa,site,13,52,FALSE,9/28/2013,5.727140302,11.03313661,9.236820372,7.770817222,1.305359364,2.337973059,2.074374061,4.922446245,1.836788446,6.667937777,1.738283748,3.34546983,7.275580303,2.877598808
Playa,site,13,52,FALSE,10/5/2013,6.2042606,12.6112603,5.137037628,8.787664449,1.681364608,3.249593378,3.326083709,5.28936107,3.523896921,7.660237166,1.169139639,4.247556391,6.457282594,7.288465857
Playa,site,13,52,FALSE,10/12/2013,6.071556102,12.06596806,5.348587377,7.948026985,1.633478128,2.816543785,4.304345855,3.953071069,5.130889387,5.92682981,1.479100696,4.415928067,6.430837986,8.521191365
Playa,site,13,52,FALSE,10/19/2013,5.776934353,10.33352133,8.286486838,3.906513105,1.60605484,2.22550321,4.158791023,2.234145984,4.860118371,4.300490423,2.131713061,4.077998562,7.659312793,9.558593173
Playa,site,13,52,FALSE,10/26/2013,5.788730681,10.96417209,6.939853273,2.313423862,1.489862505,2.259281742,3.927705501,1.442177355,5.226435162,3.050583386,2.803113446,8.247858293,4.180663226,10.34797779
Playa,site,13,52,FALSE,11/2/2013,5.191824023,6.855926752,7.089006727,0.944706024,2.548921167,2.474942204,4.303847682,2.318625633,6.174979516,2.043905142,3.194801575,7.549868505,8.523751215,5.794330435
Playa,site,13,52,FALSE,11/9/2013,5.119351499,5.85518434,7.120890256,1.109999874,2.57549922,3.692177525,3.476533982,4.350246323,5.202326894,1.950290796,4.249275656,7.024218348,9.37785539,4.122404024
Playa,site,13,52,FALSE,11/16/2013,5.223163525,8.208225545,4.055324216,1.697409892,2.217548876,4.396950511,2.356852072,5.185946245,4.352982354,2.120931094,3.985841865,7.403184343,9.256343126,5.606835949
Playa,site,13,52,FALSE,11/23/2013,5.55568319,8.15704467,1.180149824,2.674988575,2.117284309,5.267966384,2.074173633,7.170817187,1.388464039,3.641157415,6.956394822,2.437113595,9.209358022,9.158659533
Playa,site,13,52,FALSE,11/30/2013,5.809759137,8.591343736,1.543276409,3.156989237,3.22455272,5.177905187,3.389735333,7.491315975,1.16830938,4.11773798,6.569554522,7.414826952,6.068923237,9.722326631
Playa,site,13,52,FALSE,12/7/2013,6.153811945,8.086790052,1.739477768,2.868601924,4.402695137,4.033801641,5.255982262,6.050743839,1.456989321,4.456533904,6.342355104,8.388842302,5.233981583,12.48130747
Playa,site,13,52,FALSE,12/14/2013,5.937439107,4.210641246,1.811717681,2.233928011,4.605762702,2.479025148,5.47197872,4.425750513,2.162307169,3.922494525,7.183674049,8.998167798,5.956331949,12.93402757
Playa,site,13,52,FALSE,12/21/2013,5.853115084,1.451169483,2.150613257,2.075183136,4.723637161,1.717946178,6.378998775,1.976070218,3.196129665,7.463963024,3.134720298,9.625850018,8.317614746,11.26393738
Playa,site,13,52,FALSE,12/28/2013,5.885791785,0.97324692,2.510550077,2.416375474,4.228234045,2.22451647,6.062144427,2.164405469,3.127270996,7.643946059,8.630560702,5.794991672,8.58869892,11.08870907
Playa,site,13,52,FALSE,1/4/2014,6.026213236,1.08597214,2.510862844,3.124810112,3.08996237,3.622626783,4.630717317,2.701225313,4.24394973,7.639349587,10.22649402,3.318149088,12.60784515,7.246979659
Playa,site,13,52,FALSE,1/11/2014,5.99582073,1.578483598,2.240024405,4.040504822,2.180739035,4.698487088,4.286959462,2.160077807,4.131321498,7.788707539,9.711661995,5.01337795,13.38278866,4.166143155
Playa,site,13,52,FALSE,1/18/2014,5.93069953,2.307278448,2.073227823,4.890275341,1.816560565,6.621159993,1.775377121,3.320178976,7.305840362,2.919052162,9.491150218,8.573105389,11.01553043,3.947354461
Playa,site,13,52,FALSE,1/25/2014,5.951698512,2.924000106,2.959474854,4.881570281,3.03041972,7.043125161,1.317600735,3.782775644,6.881527656,7.766763664,5.92278592,9.348570836,10.24452278,3.069091799
Playa,site,13,52,FALSE,2/1/2014,5.954859464,2.556975799,3.615664281,3.42077246,4.25238781,5.118648996,2.039039522,4.239715442,7.103447694,9.489014584,4.008067907,12.49668163,6.698161497,2.378675098
Playa,site,13,52,FALSE,2/8/2014,6.020461788,2.250771908,3.976494665,2.154127662,4.611084742,4.283176487,2.181600398,4.162193176,7.859316756,9.795288364,4.907334277,13.43795989,4.215361153,1.959922696
Playa,site,13,52,FALSE,2/15/2014,6.045657478,2.163660571,4.206675481,1.495228325,5.629490018,2.659369441,2.898345541,7.968106646,3.811671564,10.08087007,7.538552128,12.04633382,4.06954517,2.285601195
Playa,site,13,52,FALSE,2/22/2014,6.164648588,2.029061707,3.633822149,1.490742891,5.186293976,3.250550376,2.727909427,8.454635301,9.552804113,5.969864311,8.002183309,12.02089333,4.281159338,2.084939588
Playa,site,13,52,FALSE,3/1/2014,6.355437561,2.559895938,2.78763759,2.892450732,4.211252704,3.609344747,4.401476475,8.325409748,11.143166,2.692822668,12.84603319,7.996361857,2.672604927,3.92762923
Playa,site,13,52,FALSE,3/8/2014,6.395440837,3.229397804,1.984616683,3.595971255,4.424672655,2.703768905,4.618533709,8.712996923,10.81108181,3.689450316,14.14524991,4.912044307,1.995766414,4.647230129
Playa,site,13,52,FALSE,3/15/2014,6.286556003,3.977778321,1.447731704,5.298692209,2.979585555,2.816438373,8.197277291,4.114276064,10.29898854,7.201404714,12.39794225,4.157765745,2.220018562,5.743578458
Playa,site,13,52,FALSE,3/22/2014,6.236936661,3.910711864,1.829049928,5.591322343,2.714504793,2.879677047,8.059323255,9.10272538,5.848437878,8.260135302,11.56254018,3.932326808,2.473245133,5.883029902
Playa,site,13,52,FALSE,3/29/2014,6.34658013,2.840560081,3.041846797,4.281057081,3.412628316,4.355027405,8.178173261,10.94849243,2.797548555,12.78673577,7.832158803,2.600420385,4.070577774,3.822731677
Playa,site,13,52,FALSE,4/5/2014,6.510336999,1.997649753,3.216188585,4.565106694,2.999893133,4.832658397,9.0500973,11.21422266,3.245057597,14.44293616,5.22532239,2.113015286,4.249093519,2.618061348
Playa,site,13,52,FALSE,4/12/2014,6.643110169,1.692280441,3.791659936,4.517670938,2.907035053,9.291394475,5.522317141,11.41617812,5.740850177,14.05124557,4.819097379,2.351778094,4.2994266,1.676768128
Playa,site,13,52,FALSE,4/19/2014,6.677494195,0.979070624,4.380831182,4.607093301,2.739992072,9.451160353,10.68963233,6.527627363,7.590694461,13.20235961,5.219080714,1.44328447,4.473602029,1.820556627
Playa,site,13,52,FALSE,4/26/2014,6.691766004,2.265737095,4.038118403,4.51654664,4.689956579,9.003868503,12.02894961,2.467816066,13.17078934,8.770591691,3.087302252,3.354846625,3.263184075,2.149070398
Playa,site,13,52,FALSE,5/3/2014,6.728459934,2.730802424,4.813111808,3.43784493,5.140533975,9.499876848,11.75355652,2.696101141,14.85428726,5.66564845,2.336380118,3.739064175,2.564029257,2.290284252
Playa,site,13,52,FALSE,5/10/2014,6.730931341,3.642729373,4.675628413,2.957546578,9.404351028,5.664769352,11.53743524,5.605515407,14.22004074,4.904792233,2.402208678,4.157221451,1.736517824,2.773415918
Playa,site,13,52,FALSE,5/17/2014,6.731302928,4.343742234,4.688283043,2.757966702,9.511083389,10.75807141,6.570720416,7.576923897,13.27441333,5.277205969,1.428534011,4.420463219,1.845165625,2.180708701
