Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Playa,site,13,52,TRUE,8/31/2013,4.035298122,3.073061477,5.474802185,6.680322996,6.441597442,2.913402975,1.903953929,1.837200042,2.784153047,0.856200809,4.025093514,2.97840557,3.161491056,5.206629492
Playa,site,13,52,TRUE,9/7/2013,3.981975794,3.859822628,4.748353326,7.249814986,4.625155401,2.738306689,1.185283708,1.694383532,3.065204403,1.354044527,4.416433902,3.293694954,1.839682673,6.163758408
Playa,site,13,52,TRUE,9/14/2013,3.924110122,3.716509455,5.145039406,7.109752073,2.558040664,2.294500182,0.88239988,2.169003543,2.981552589,2.868855875,4.371816262,3.069239385,1.324413521,6.682162657
Playa,site,13,52,TRUE,9/21/2013,3.842958564,3.260188916,6.291658024,5.377438553,3.177258516,1.336121915,1.243689428,3.127943323,2.343898961,4.458439998,3.966577466,2.225431933,2.105028957,6.257610739
Playa,site,13,52,TRUE,9/28/2013,3.804670135,5.872628139,4.354987222,4.923556545,2.201098115,1.160830542,0.87220932,4.141308362,1.633396061,6.062757606,2.314725226,1.717936239,3.897073148,4.843719125
Playa,site,13,52,TRUE,10/5/2013,3.927790116,6.467186887,3.833247977,4.670927682,0.874186537,1.396620651,1.54395913,4.57407201,2.646850558,6.729467734,1.590991149,1.452977202,4.417178425,4.444770552
Playa,site,13,52,TRUE,10/12/2013,4.13522123,6.930293059,3.80271373,4.40174241,0.5680448,1.650782802,2.972293164,4.282948974,4.495822027,6.441568581,0.88631974,1.691466423,4.847503718,4.621548201
Playa,site,13,52,TRUE,10/19/2013,4.164366011,6.691317948,3.722322772,4.044312936,0.696333544,1.416339346,3.947409032,3.061682294,5.705597399,4.879088673,1.007100267,1.945362359,5.080392306,6.003676547
Playa,site,13,52,TRUE,10/26/2013,3.953059122,4.468850481,4.982618576,2.199188741,1.161922021,0.89952223,4.058213338,1.560676589,5.938805655,2.304363148,1.777451438,3.96774343,4.949932973,6.961722478
Playa,site,13,52,TRUE,11/2/2013,4.058519824,5.632687111,4.413694594,1.81307169,0.993947274,1.440339874,3.768095677,1.883129835,5.493607521,2.358506953,1.322466487,5.328502864,5.541736945,6.498712762
Playa,site,13,52,TRUE,11/9/2013,4.019902937,6.093669706,3.015110714,1.740185322,0.935021344,2.350367278,3.364695839,3.346823578,4.982267362,2.389422036,1.16696252,6.116733023,6.076180365,5.066921327
Playa,site,13,52,TRUE,11/16/2013,3.930566786,4.750336357,3.440711505,1.020587303,1.225374962,3.415241015,2.5857665,4.903558485,4.258977295,1.761078847,1.974471096,5.833244111,6.929372667,3.783857126
Playa,site,13,52,TRUE,11/23/2013,4.043117321,4.837862913,2.218842066,1.175373595,0.843703624,4.278675691,1.756117269,6.267519359,2.347432655,1.633832181,3.783684813,4.669214517,6.618258528,5.771915815
Playa,site,13,52,TRUE,11/30/2013,4.109075862,4.65574283,0.897785485,1.377957795,1.534746883,4.549401417,2.622321408,6.69163524,1.605454715,1.43717777,4.444228634,4.477613372,5.629696837,6.653881279
Playa,site,13,52,TRUE,12/7/2013,4.191965396,4.329845216,0.613890011,1.608230763,2.938101835,4.238398818,4.440124943,6.370887251,0.953740976,1.647860677,4.90706158,4.688767883,4.914234542,6.781938332
