Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Villodas,airport,13,52,FALSE,8/31/2013,0.949995943,1.139199109,1.163941227,1.764068902,1.458696205,1.214144451,0.644162525,0.543331386,0.556784518,0.592620814,0.710121172,0.526053159,0.295092104,0.355723766
Villodas,airport,13,52,FALSE,9/7/2013,0.96251198,1.473435131,0.857175849,2.135733564,0.929232007,1.102045718,0.689473825,0.508557004,0.560834658,0.787295669,0.579623463,0.490280504,0.259967604,0.431496171
Villodas,airport,13,52,FALSE,9/14/2013,0.976952944,1.522207843,1.116331965,2.110168652,1.003411532,0.979640904,0.727215112,0.30423227,0.589175257,0.775888851,0.719129886,0.347426486,0.335366485,0.322756074
Villodas,airport,13,52,FALSE,9/21/2013,0.958816377,1.470936972,1.336459915,1.950556009,1.171255608,0.84295917,0.572280026,0.232293085,0.752676999,0.613631394,0.712664249,0.235502533,0.362097945,0.308882392
Villodas,airport,13,52,FALSE,9/28/2013,0.857423471,1.081675391,1.709703934,1.406752188,1.132542486,0.556129247,0.464713579,0.510558473,0.554442851,0.659516098,0.451810002,0.36232897,0.371753896,0.447961428
Villodas,airport,13,52,FALSE,10/5/2013,0.79243459,0.733204365,2.008361311,0.791221482,0.928685282,0.492830189,0.363691539,0.470241678,0.693310146,0.443952547,0.42006329,0.350023311,0.618707961,0.384668346
Villodas,airport,13,52,FALSE,10/12/2013,0.785306634,0.980311194,1.947166495,0.824250224,0.74404235,0.481380941,0.159690786,0.477750634,0.671151004,0.504822105,0.412632141,0.506242806,0.516335773,0.384469277
Villodas,airport,13,52,FALSE,10/19/2013,0.794538906,1.200768003,1.832516411,0.998420302,0.634370709,0.379216717,0.143978919,0.660527726,0.525336868,0.527546463,0.374116314,0.491207805,0.535842871,0.429040238
Villodas,airport,13,52,FALSE,10/26/2013,0.774393672,1.625287144,1.329160032,1.005447019,0.429842476,0.360698183,0.448720029,0.497091707,0.585174377,0.351296554,0.473638445,0.47815761,0.675987431,0.487525289
Villodas,airport,13,52,FALSE,11/2/2013,0.765954926,1.93570274,0.717399259,0.833886066,0.393804322,0.311394694,0.427737106,0.640539707,0.374786078,0.419113415,0.427195727,0.770315721,0.553291491,0.653088277
Villodas,airport,13,52,FALSE,11/9/2013,0.782251165,1.832611867,0.708259403,0.590322353,0.341636243,0.207649971,0.411115557,0.60418434,0.359571762,0.52480245,0.663433436,0.782114649,0.656472144,1.079324067
Villodas,airport,13,52,FALSE,11/16/2013,0.833794399,1.656458728,0.729192539,0.339919166,0.25001337,0.290795382,0.525423079,0.422075857,0.267126379,0.641265328,0.827908338,1.05250698,0.704279907,1.507836472
Villodas,airport,13,52,FALSE,11/23/2013,0.96898262,1.106443947,0.575132618,0.36680812,0.434456256,0.403506042,0.339141119,0.413105134,0.388119612,0.876997613,1.102189583,1.500434149,1.115875401,2.061117469
Villodas,airport,13,52,FALSE,11/30/2013,1.192486799,0.468389853,0.464439881,0.564584657,0.671154463,0.432518003,0.35802728,0.386048129,0.847385033,0.989882165,1.833076104,1.700438292,1.739499067,2.417083436
Villodas,airport,13,52,FALSE,12/7/2013,1.413499654,0.512262248,0.528060015,0.764753588,0.891026423,0.400912127,0.456050964,0.432421494,1.212496789,1.453118482,2.129393903,2.030429904,2.399492381,2.345589392
Villodas,airport,13,52,FALSE,12/14/2013,1.566062361,0.244544102,0.685471761,0.98598021,0.927632587,0.349677832,0.510901266,0.623039519,1.346585204,1.793831376,2.42616303,2.046765496,2.962654931,2.20576487
Villodas,airport,13,52,FALSE,12/21/2013,1.717689857,0.218783601,1.038653245,1.105871334,0.743412942,0.360167237,0.565773567,1.004165986,1.46527979,2.104742294,2.693211731,2.334614195,3.330621881,1.903068385
Villodas,airport,13,52,FALSE,12/28/2013,1.77542299,0.612813154,1.016284211,1.083324247,0.629194357,0.272379041,0.680134921,1.242737981,1.367504134,2.536924101,2.443476813,2.515496155,3.205104676,2.245346073
Villodas,airport,13,52,FALSE,1/4/2014,1.833381188,0.748252143,1.043392935,1.130607711,0.499951851,0.487410944,0.653831867,1.455106059,1.719906254,2.580586123,2.48784179,2.864421448,2.802646851,2.423004745
Villodas,airport,13,52,FALSE,1/11/2014,2.044732025,0.957131116,1.270432378,1.142630485,0.384077478,0.62371127,0.865485691,1.580406428,2.118768598,2.88073594,2.510291119,3.441149195,2.6763054,2.9393186
Villodas,airport,13,52,FALSE,1/18/2014,2.258049852,1.338070896,1.396088941,0.924563829,0.449878249,0.71384318,1.273025805,1.701645346,2.51201514,3.171239706,2.835880015,3.839483181,2.436096063,3.372891397
Villodas,airport,13,52,FALSE,1/25/2014,2.133445713,1.183715036,1.234684495,0.713278255,0.279628441,0.794858287,1.38887207,1.503062977,2.789107857,2.708674798,2.795238236,3.487982948,2.528466778,3.057705245
Villodas,airport,13,52,FALSE,2/1/2014,2.068263164,1.091182496,1.17113538,0.519102006,0.496482348,0.691974555,1.496307243,1.765051069,2.656826027,2.56508138,2.943392925,2.881061649,2.503966388,3.134741058
Villodas,airport,13,52,FALSE,2/8/2014,1.942615907,1.057925302,0.982189842,0.35377669,0.537436041,0.684019091,1.405951147,1.876240268,2.541603397,2.164229622,3.084217366,2.323882179,2.597254122,2.791753381
Villodas,airport,13,52,FALSE,2/15/2014,1.739073544,0.888426556,0.615162986,0.316141772,0.474784114,0.803055881,1.285363107,1.795715827,2.329012644,1.955433537,2.942981232,1.501027246,2.545184421,2.379484773
Villodas,airport,13,52,FALSE,2/22/2014,1.490457753,0.676505205,0.434550094,0.356102623,0.389469776,0.852498767,0.994951167,1.842544281,1.710475389,1.74985822,2.427666464,1.493536098,2.111969694,2.066406405
Villodas,airport,13,52,FALSE,3/1/2014,1.309484944,0.565200391,0.334755119,0.482302555,0.186136339,0.88631368,1.089667682,1.512110644,1.403249709,1.77454283,1.752709625,1.310740227,2.050975087,1.794139824
Villodas,airport,13,52,FALSE,3/8/2014,1.218666682,0.469559997,0.441653937,0.392839603,0.203671598,0.844958342,1.102472548,1.449651014,1.070487158,1.931452656,1.288637379,1.519148876,1.786668945,1.621004127
Villodas,airport,13,52,FALSE,3/15/2014,1.19800216,0.404289015,0.338391888,0.412625164,0.390492102,0.879847152,1.106952312,1.506230408,1.121512686,2.067287955,0.645814102,1.748149893,1.626931447,1.461961869
Villodas,airport,13,52,FALSE,3/22/2014,1.160197251,0.369453004,0.467175906,0.269134358,0.611377728,0.742035215,1.368874049,1.205845939,1.237678083,1.898810489,1.042913125,1.64050949,1.604964252,1.152002657
Villodas,airport,13,52,FALSE,3/29/2014,1.091673483,0.349005864,0.527331853,0.197509498,0.716104195,0.894915397,1.179406021,1.063925251,1.448155499,1.463461391,0.98773048,1.73078491,1.488232971,0.890121216
Villodas,airport,13,52,FALSE,4/5/2014,1.010594856,0.509911062,0.4137831,0.242888139,0.675998617,0.874182444,1.120230408,0.763190185,1.580495467,1.056723159,1.21117117,1.479524683,1.322179829,0.842284087
Villodas,airport,13,52,FALSE,4/12/2014,1.00473411,0.387022143,0.455113236,0.292763191,0.727448549,0.85563181,1.195783948,0.830813889,1.736654425,0.423252881,1.454190862,1.342249952,1.19587262,0.870509424
Villodas,airport,13,52,FALSE,4/19/2014,0.952961521,0.550251379,0.284784518,0.487133193,0.581621874,1.066103752,0.87894877,0.92416214,1.560864607,0.834340598,1.339629659,1.302997957,0.87587571,0.831327919
Villodas,airport,13,52,FALSE,4/26/2014,0.98097641,0.558606185,0.259055224,0.628689263,0.791777905,1.00253242,0.882891431,1.280129611,1.325138063,0.830079324,1.557894353,1.323388653,0.733832429,0.723569696
Villodas,airport,13,52,FALSE,5/3/2014,1.032290418,0.410558486,0.233531741,0.691219166,0.894548768,1.149910116,0.789637484,1.612266552,1.074420936,1.238229866,1.507373206,1.349212574,0.867270692,0.523912383
Villodas,airport,13,52,FALSE,5/10/2014,1.035776639,0.449642251,0.298801809,0.742116847,0.879435277,1.225709399,0.857529328,1.76854449,0.437184987,1.482254592,1.369728281,1.221195234,0.895929669,0.638267403
Villodas,airport,13,52,FALSE,5/17/2014,1.216128763,0.267579975,0.602910089,0.73227487,1.350523815,1.186160504,1.218213439,1.878339974,1.02774664,1.622270942,1.586882249,1.135047719,1.098219577,1.145223
Villodas,airport,13,52,FALSE,5/24/2014,1.221175094,0.183683717,0.745497983,0.929001304,1.237758533,1.123538809,1.504567681,1.511817185,1.042456721,1.787319379,1.54219556,0.942004239,0.919074091,1.482760232
Villodas,airport,13,52,FALSE,5/31/2014,1.249820619,0.204988773,0.755843258,0.98151851,1.275923924,0.905183811,1.746773364,1.157376144,1.354820729,1.62516614,1.463705606,0.974239062,0.622086296,1.98409294
Villodas,airport,13,52,FALSE,6/7/2014,1.370460355,0.383103509,0.870912857,1.092025677,1.488056177,1.103856715,2.047940122,0.629477561,1.730792417,1.610283966,1.44620956,1.120870059,0.827861414,2.161788219
Villodas,airport,13,52,FALSE,6/14/2014,1.449722525,0.681838308,0.819997654,1.515218662,1.362404951,1.39421465,2.062092769,1.171663286,1.786025228,1.748490339,1.287854664,1.251107209,1.164068703,1.907314962
Villodas,airport,13,52,FALSE,6/21/2014,1.501755242,0.889436604,1.093193559,1.518119323,1.409367001,1.78052725,1.758192142,1.316764391,2.056719218,1.799633078,1.192466278,1.153344446,1.430865823,1.666615876
Villodas,airport,13,52,FALSE,6/28/2014,1.512668072,0.924715926,1.211449474,1.605071057,1.222042375,2.096169701,1.41844772,1.668760781,1.930546214,1.761371978,1.257965208,0.884468893,1.867630591,1.216906515
Villodas,airport,13,52,FALSE,7/5/2014,1.448284029,0.923491561,1.180111381,1.594974018,1.208495135,2.161754384,0.72876129,1.833117154,1.708196584,1.539121971,1.213300936,0.907796405,2.100214905,0.677807016
Villodas,airport,13,52,FALSE,7/12/2014,1.341386152,0.672402709,1.237785335,1.064900919,1.09968607,1.752569665,0.940652156,1.510243951,1.47526894,1.031388841,0.992958684,1.141692838,2.060803567,1.746388057
Villodas,airport,13,52,FALSE,7/19/2014,1.327809668,0.804375009,1.024158018,0.905055719,1.300398223,1.341296221,0.848523943,1.579184706,1.343671215,0.752836191,0.74147096,1.540204569,1.913988546,2.177951237
Villodas,airport,13,52,FALSE,7/26/2014,1.30173478,0.805141993,1.019022879,0.676028503,1.471815052,1.002540438,1.120301728,1.384174349,1.229746456,0.75786748,0.425062654,2.08706036,1.546044487,2.128207038
Villodas,airport,13,52,FALSE,8/2/2014,1.24373882,0.603465448,0.864410001,0.573367729,1.382838757,0.452461714,1.149231627,1.036973195,0.922861602,0.595451175,0.413199196,2.525103261,1.190457856,2.232952878
Villodas,airport,13,52,FALSE,8/9/2014,1.289099558,0.783630162,0.568115228,0.663710977,1.242830595,0.767183428,1.057385797,1.007861919,0.632967709,0.55944752,1.211103021,2.332355742,2.090005806,1.992563645
Villodas,airport,13,52,FALSE,8/16/2014,1.298014484,0.444199363,0.314460418,0.802741216,1.025843467,0.563115934,0.958146201,0.755945579,0.29912617,0.292636013,1.784877071,2.261037796,2.655234385,1.606218128
Villodas,airport,13,52,FALSE,8/23/2014,1.303373688,0.487189655,0.436532413,0.874113821,0.940126387,0.710658176,0.854996884,0.723546586,0.375175636,0.239705205,2.341794128,1.893798319,2.526691757,1.611185573
Villodas,airport,13,52,FALSE,8/30/2014,1.3117404,0.503554464,0.480090252,0.991963663,0.761190568,0.837549054,0.698399443,0.654814068,0.337573082,0.328820897,2.74295196,1.456765461,2.464124311,1.662284735
Villodas,airport,13,52,FALSE,9/6/2014,1.348451703,0.239564151,0.53587784,0.834493075,0.964432189,0.70100603,0.581653772,0.438888886,0.232886137,1.380318529,2.591428928,2.422513876,2.359013519,0.732277536
Villodas,airport,13,52,FALSE,9/13/2014,1.372747253,0.259147844,0.707290773,1.02788528,0.680064824,0.692258204,0.510930706,0.324647192,0.279211408,1.915896711,2.415992716,2.863902198,1.842046119,0.620341837
Villodas,airport,13,52,FALSE,9/20/2014,1.416384111,0.643090804,0.509277801,1.124184499,0.641031134,0.517036846,0.421472537,0.388257407,0.473530369,2.524101762,2.128999417,2.799828856,1.842326381,0.8805411
Villodas,airport,13,52,FALSE,9/27/2014,1.445499151,0.697876381,0.588209281,1.18034008,0.593474637,0.347305015,0.488125294,0.322088636,0.495416657,2.978539189,1.745413934,2.737167522,1.875066243,0.974912358
