Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Villodas,airport,13,52,TRUE,8/31/2013,0.8622318,0.506570663,1.266282768,1.386076545,1.669962822,1.051314837,0.724740269,0.538417527,0.377425931,0.563216819,0.537142334,0.558504303,0.165399838,0.294658354
Villodas,airport,13,52,TRUE,9/7/2013,0.86861888,0.911912584,1.099413312,1.724893351,1.307461041,1.098888096,0.664788663,0.505058573,0.452948561,0.64424466,0.451227879,0.505120478,0.162580324,0.271101094
Villodas,airport,13,52,TRUE,9/14/2013,0.88107818,1.228606556,1.005044876,1.927494868,0.963747906,1.044581681,0.641513766,0.466531807,0.535237568,0.636400829,0.537156991,0.392413354,0.234372925,0.137708266
Villodas,airport,13,52,TRUE,9/21/2013,0.883854007,1.323786539,1.121019104,1.91288463,0.9675753,0.913416809,0.622442143,0.37230904,0.576215681,0.616790842,0.584232766,0.254925534,0.24912205,0.099688863
Villodas,airport,13,52,TRUE,9/28/2013,0.850194637,1.263453255,1.384590233,1.66826232,1.049158031,0.722074111,0.535840319,0.375863894,0.562020816,0.535676483,0.556132057,0.16672375,0.297938963,0.145301302
Villodas,airport,13,52,TRUE,10/5/2013,0.780467574,1.002517387,1.661528911,1.238134811,1.005373646,0.555532844,0.407259422,0.397461993,0.594985633,0.37486427,0.417710434,0.248235678,0.415073638,0.271732618
Villodas,airport,13,52,TRUE,10/12/2013,0.72011442,0.848566225,1.785885547,0.798856631,0.840127263,0.413381939,0.284913889,0.424288256,0.529027544,0.356846417,0.283227135,0.440961976,0.472374506,0.388344198
Villodas,airport,13,52,TRUE,10/19/2013,0.701219998,0.959373666,1.730907407,0.756330313,0.64782982,0.343038998,0.171386889,0.444172563,0.477627996,0.344804269,0.262618704,0.558935594,0.526304353,0.366517645
Villodas,airport,13,52,TRUE,10/26/2013,0.690788516,1.235482891,1.499178145,0.832955434,0.454073734,0.277421172,0.234337627,0.441489537,0.396248295,0.319541269,0.340217323,0.645017256,0.557186583,0.318343087
Villodas,airport,13,52,TRUE,11/2/2013,0.681156652,1.531521084,1.10071495,0.815001563,0.332995118,0.211924927,0.294550013,0.494054049,0.222180234,0.26287274,0.42679099,0.735515095,0.615297286,0.321671095
Villodas,airport,13,52,TRUE,11/9/2013,0.683946863,1.652431355,0.648064267,0.653816159,0.2052637,0.138980112,0.324596618,0.42956599,0.193362609,0.287101892,0.640302554,0.807159277,0.723163881,0.669011353
Villodas,airport,13,52,TRUE,11/16/2013,0.72469444,1.550740001,0.553455467,0.398106007,0.086686512,0.093334641,0.312633797,0.350347123,0.125561064,0.420966722,0.87572281,0.967382824,0.774472599,1.107047997
Villodas,airport,13,52,TRUE,11/23/2013,0.831475873,1.25133599,0.510459305,0.079549491,0.142815007,0.216513519,0.256535671,0.260363701,0.114801715,0.647872024,1.194653831,1.200548673,0.954477393,1.655749216
Villodas,airport,13,52,TRUE,11/30/2013,1.021711562,0.788830651,0.343307204,0.296188284,0.368645712,0.258820857,0.228023783,0.246661243,0.43414611,0.909954323,1.624191841,1.549789222,1.293089128,2.167634213
Villodas,airport,13,52,TRUE,12/7/2013,1.28557505,0.290780237,0.334964861,0.61545167,0.585022867,0.211599516,0.153308154,0.467965961,0.823955362,1.372018918,2.035448336,1.961977813,1.89857222,2.474219683
Villodas,airport,13,52,TRUE,12/14/2013,1.548559942,0.340083245,0.598472464,0.860015865,0.739251624,0.121407766,0.317648298,0.704018684,1.113870997,1.907025903,2.398050431,2.227870708,2.56626481,2.574109288
Villodas,airport,13,52,TRUE,12/21/2013,1.74646706,0.358750738,0.882061795,1.014184932,0.747700014,0.15665298,0.58470897,0.890807984,1.342506115,2.408161367,2.613748028,2.446301921,3.140184294,2.391483911
Villodas,airport,13,52,TRUE,12/28/2013,1.865295807,0.47482456,1.04985563,1.05057502,0.628185193,0.155058159,0.775696679,1.078966056,1.515271913,2.743970337,2.720739087,2.543538476,3.431949576,2.267082868
Villodas,airport,13,52,TRUE,1/4/2014,1.945111041,0.718454426,1.147321324,1.021524689,0.436389143,0.281738001,0.889171724,1.264854157,1.865670721,2.863367623,2.798012951,2.764804572,3.367405525,2.270807896
Villodas,airport,13,52,TRUE,1/11/2014,2.012374755,0.89510258,1.176187163,0.974512425,0.267181417,0.455445629,0.976421023,1.365834594,2.266028295,2.89552011,2.739032808,3.083393859,3.108810121,2.494036924
Villodas,airport,13,52,TRUE,1/18/2014,2.094121109,1.067068715,1.193404409,0.867418127,0.238387569,0.690429454,1.056614334,1.484629788,2.65545397,2.901422577,2.751657882,3.44460413,2.708647168,2.756218436
Villodas,airport,13,52,TRUE,1/25/2014,2.095687185,1.118730733,1.112845565,0.666107259,0.182148182,0.824438863,1.139333328,1.570185385,2.845644145,2.826962318,2.657171563,3.546717874,2.385282973,2.875046042
Villodas,airport,13,52,TRUE,2/1/2014,2.033179216,1.086306573,0.971354143,0.407634257,0.257463655,0.840764549,1.213786243,1.809156456,2.768600065,2.702306743,2.665288586,3.264844786,2.169271692,2.91445617
Villodas,airport,13,52,TRUE,2/8/2014,1.908971922,0.962022998,0.815134571,0.167943715,0.358962359,0.791832479,1.194990485,2.022895713,2.558625529,2.392761985,2.732966054,2.745951261,2.153066293,2.750134354
Villodas,airport,13,52,TRUE,2/15/2014,1.777976782,0.823001359,0.621223955,0.072512404,0.476946604,0.714216704,1.190954402,2.144265818,2.306693635,2.120653123,2.815749111,2.055846361,2.166943091,2.569957874
Villodas,airport,13,52,TRUE,2/22/2014,1.595555571,0.641594104,0.389716395,0.111142177,0.45646393,0.686362762,1.153773385,2.074935001,2.021451582,1.796056396,2.676666625,1.493182342,2.105393741,2.250463742
Villodas,airport,13,52,TRUE,3/1/2014,1.399506951,0.46199133,0.175230531,0.178326764,0.349430098,0.701854821,1.231119027,1.79906857,1.72333765,1.653379845,2.220919439,1.141041634,2.01079951,1.959025078
Villodas,airport,13,52,TRUE,3/8/2014,1.246707661,0.342738794,0.139838809,0.234185376,0.249403704,0.693829268,1.297992767,1.553656951,1.364059252,1.69592908,1.692243715,1.157927378,1.835108766,1.750026868
Villodas,airport,13,52,TRUE,3/15/2014,1.172078138,0.274994573,0.198719943,0.259731286,0.206850079,0.746715614,1.368328678,1.403101913,1.166308113,1.866445927,1.111243132,1.279127308,1.745758287,1.572392013
Villodas,airport,13,52,TRUE,3/22/2014,1.142207509,0.222892543,0.286090195,0.160655139,0.332923906,0.801821445,1.424538698,1.3406064,1.070773534,1.942048608,0.762301955,1.460895034,1.633101006,1.386440393
Villodas,airport,13,52,TRUE,3/29/2014,1.11362726,0.192607799,0.275566964,0.142505226,0.486477878,0.969114257,1.359374125,1.279594584,1.203104501,1.753624341,0.695965196,1.601966637,1.563614631,1.144331025
Villodas,airport,13,52,TRUE,4/5/2014,1.058016164,0.226084088,0.280486885,0.113118233,0.553061865,1.085956883,1.259410144,1.065971979,1.397491762,1.401878625,0.884339673,1.567553123,1.485978332,0.914519593
Villodas,airport,13,52,TRUE,4/12/2014,1.020006554,0.26648156,0.263018762,0.104250765,0.630968896,1.164881458,1.165805419,0.918321954,1.619742863,0.892196382,1.049918076,1.529385619,1.357750779,0.844043487
