Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Villodas,site,13,52,FALSE,8/31/2013,0.736714751,1.252216949,1.120119244,0.981479901,0.934615924,0.822349203,0.617517892,0.545597054,0.287091212,0.302313512,0.436792396,0.278590479,0.585443516,0.505950682
Villodas,site,13,52,FALSE,9/7/2013,0.740804813,1.609163729,0.497570082,1.303723008,0.50310127,0.792549407,0.656597195,0.488325488,0.331544952,0.359368925,0.372195011,0.441203689,0.470645293,0.503014361
Villodas,site,13,52,FALSE,9/14/2013,0.748426053,1.639776749,0.544796511,1.294765354,0.655736225,0.780754161,0.685151776,0.213338475,0.340172696,0.433338675,0.343733802,0.523231285,0.347457936,0.499086951
Villodas,site,13,52,FALSE,9/21/2013,0.713253221,1.570950707,0.529252704,1.2457969,0.677252006,0.711674166,0.520806157,0.115895069,0.401539769,0.360812166,0.291173242,0.595193114,0.446937317,0.365317941
Villodas,site,13,52,FALSE,9/28/2013,0.58571191,1.003404045,0.756479455,0.865608279,0.596635496,0.463857255,0.424004192,0.266492949,0.365859204,0.435218173,0.336210267,0.787362703,0.417376333,0.281100505
Villodas,site,13,52,FALSE,10/5/2013,0.537491742,0.442895304,0.870169531,0.640004889,0.445150359,0.39567208,0.374656876,0.443931524,0.314599238,0.488724723,0.70485663,0.734126396,0.473473811,0.320598963
Villodas,site,13,52,FALSE,10/12/2013,0.545114132,0.456810059,0.83889667,0.702321151,0.421017753,0.399169353,0.311149883,0.495350882,0.485602633,0.261498247,0.914496004,0.613570339,0.364357947,0.358839839
Villodas,site,13,52,FALSE,10/19/2013,0.528587465,0.213097751,1.058358158,0.458803141,0.469558285,0.333823738,0.33764668,0.420073768,0.4898206,0.201723191,0.886806823,0.517056417,0.36523429,0.40749416
Villodas,site,13,52,FALSE,10/26/2013,0.539120547,0.647771461,0.869565868,0.469608761,0.38984759,0.376242441,0.310569638,0.437946985,0.478984905,0.434512624,0.904983425,0.394602643,0.398735761,0.498460324
Villodas,site,13,52,FALSE,11/2/2013,0.551029564,0.87804049,0.634079172,0.451651466,0.399973312,0.374851656,0.439693534,0.312254658,0.483942947,0.698217428,0.728498809,0.471980122,0.314835846,0.636085291
Villodas,site,13,52,FALSE,11/9/2013,0.599383061,0.84853803,0.696722444,0.429309106,0.404879382,0.304567258,0.488831106,0.480888247,0.254969516,0.904171691,0.606159151,0.363397179,0.349391353,1.024519841
Villodas,site,13,52,FALSE,11/16/2013,0.651411836,1.022088268,0.421679252,0.389984496,0.290676711,0.422644766,0.462732972,0.561265142,0.274742447,0.991546115,0.563200596,0.417614366,0.414527359,1.275727869
Villodas,site,13,52,FALSE,11/23/2013,0.750276147,0.949778784,0.268683506,0.315104117,0.356100836,0.441378202,0.590290253,0.606494249,0.642974589,1.108014601,0.41588044,0.61596904,0.603507564,1.627487587
Villodas,site,13,52,FALSE,11/30/2013,0.846175342,0.977916673,0.20493535,0.289782822,0.460010439,0.678269039,0.507527033,0.756496006,1.03803355,1.004307754,0.613561025,0.64757946,0.945561793,1.717059151
Villodas,site,13,52,FALSE,12/7/2013,0.877766798,0.970960949,0.212335251,0.306602826,0.562081542,0.746408143,0.699389431,0.563715268,1.271080779,0.873278848,0.511283321,0.726639344,1.403770655,1.454675728
Villodas,site,13,52,FALSE,12/14/2013,0.808640007,0.465964041,0.240422933,0.28812152,0.629349469,0.611287073,0.757034258,0.516612343,1.244922671,0.701771064,0.600599579,0.569609135,1.62378726,1.081122809
Villodas,site,13,52,FALSE,12/21/2013,0.759102659,0.221435498,0.311792258,0.366882631,0.486239984,0.638437364,0.651668107,0.707978534,1.167270658,0.43544831,0.68066502,0.653898455,1.717028969,0.499078131
Villodas,site,13,52,FALSE,12/28/2013,0.690476498,0.322940141,0.324069886,0.38994335,0.536427909,0.380671447,0.593928205,0.841824302,0.847360859,0.517971814,0.450064956,0.75263625,1.463477987,0.667305431
