Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Villodas,site,13,52,TRUE,8/31/2013,0.588458949,0.534882656,1.200749742,0.575477522,0.947555703,0.721720754,0.686424678,0.515376643,0.081578103,0.049353401,0.151632555,0.178546397,0.438969559,0.174432002
Villodas,site,13,52,TRUE,9/7/2013,0.589132589,0.994831639,0.85483143,0.875740153,0.677684947,0.813856077,0.62559734,0.452107279,0.066477111,0.151424986,0.096957386,0.2146104,0.417972751,0.223060943
Villodas,site,13,52,TRUE,9/14/2013,0.594750145,1.272602672,0.412452133,1.067154981,0.399007492,0.842364679,0.588027395,0.373402897,0.068379216,0.1574073,0.173250659,0.303397234,0.332388651,0.232410516
Villodas,site,13,52,TRUE,9/21/2013,0.584015571,1.294073618,0.332415095,1.047386595,0.536133778,0.774100292,0.555726996,0.200448867,0.053992342,0.152965248,0.173203215,0.394725268,0.244820449,0.209948832
Villodas,site,13,52,TRUE,9/28/2013,0.524128173,1.125147344,0.475701423,0.85151474,0.643726067,0.608000124,0.441291883,0.092191245,0.052430378,0.162099784,0.10335217,0.522569611,0.177987638,0.148855636
Villodas,site,13,52,TRUE,10/5/2013,0.433913914,0.708806884,0.612859171,0.526049661,0.599684806,0.43603394,0.298505221,0.19782146,0.140601287,0.24159096,0.294737546,0.60536919,0.187339972,0.219921518
Villodas,site,13,52,TRUE,10/12/2013,0.398942543,0.230020315,0.629098704,0.32424838,0.516864213,0.290702689,0.262440895,0.278956929,0.260579289,0.305648171,0.584247711,0.605501131,0.116123679,0.366159118
Villodas,site,13,52,TRUE,10/19/2013,0.4062405,0.218754323,0.592082751,0.429325032,0.451190547,0.249637901,0.286415209,0.289598532,0.321542817,0.2968769,0.729006026,0.481221617,0.250342409,0.33713209
Villodas,site,13,52,TRUE,10/26/2013,0.402099663,0.27847778,0.620668808,0.455042314,0.373336485,0.223249013,0.294752093,0.282474444,0.359132403,0.270089163,0.776750372,0.317385722,0.320859208,0.259249085
Villodas,site,13,52,TRUE,11/2/2013,0.398537374,0.486156749,0.498103346,0.484947702,0.333320085,0.232906268,0.300952749,0.225520527,0.357676046,0.404019094,0.709573038,0.241987729,0.349296017,0.251364239
Villodas,site,13,52,TRUE,11/9/2013,0.432008616,0.608155553,0.335441565,0.500143679,0.275600882,0.264125509,0.294649494,0.274942376,0.322698026,0.601837705,0.619913199,0.131004866,0.387332901,0.606413243
Villodas,site,13,52,TRUE,11/16/2013,0.479183604,0.573771085,0.433553526,0.43707952,0.236368641,0.296961689,0.303677344,0.335101719,0.313329395,0.744634259,0.492924276,0.263781994,0.353003311,0.915646239
Villodas,site,13,52,TRUE,11/23/2013,0.553926729,0.575662135,0.418706878,0.295383887,0.155161641,0.370800678,0.362008443,0.440934939,0.368691702,0.862340986,0.38170622,0.408705375,0.354249069,1.260975417
