Site,Weather,Smoothing,Scaler_win,t_0,Scaler_rto
Arboleda,site,TRUE,90,12/6/2014,0.000547336
Arboleda,site,TRUE,90,12/13/2014,0.000548791
Arboleda,site,TRUE,90,12/20/2014,0.000547573
Arboleda,site,TRUE,90,12/27/2014,0.000545871
Arboleda,site,TRUE,90,1/3/2015,0.000545402
Arboleda,site,TRUE,90,1/10/2015,0.000547788
Arboleda,site,TRUE,90,1/17/2015,0.000550585
Arboleda,site,TRUE,90,1/24/2015,0.000549552
Arboleda,site,TRUE,90,1/31/2015,0.000546665
Arboleda,site,TRUE,90,2/7/2015,0.000543969
Arboleda,site,TRUE,90,2/14/2015,0.000543773
Arboleda,site,TRUE,90,2/21/2015,0.000542064
Arboleda,site,TRUE,90,2/28/2015,0.000539267
Arboleda,site,TRUE,90,3/7/2015,0.000537724
Arboleda,site,TRUE,90,3/14/2015,0.000538983
Arboleda,site,TRUE,90,3/21/2015,0.000541583
Arboleda,site,TRUE,90,3/28/2015,0.00054462
Arboleda,site,TRUE,90,4/4/2015,0.000546659
Arboleda,site,TRUE,90,4/11/2015,0.000547469
Arboleda,site,TRUE,90,4/18/2015,0.000547647
Arboleda,site,TRUE,90,4/25/2015,0.00054938
Arboleda,site,TRUE,90,5/2/2015,0.000552967
Arboleda,site,TRUE,90,5/9/2015,0.000555172
Arboleda,site,TRUE,90,5/16/2015,0.000556086
Arboleda,site,TRUE,90,5/23/2015,0.000556472
Arboleda,site,TRUE,90,5/30/2015,0.00055571
Arboleda,site,TRUE,90,6/6/2015,0.000550598
Arboleda,site,TRUE,90,6/13/2015,0.000542593
Arboleda,site,TRUE,90,6/20/2015,0.000536668
Arboleda,site,TRUE,90,6/27/2015,0.000534202
Arboleda,site,TRUE,90,7/4/2015,0.000530939
Arboleda,site,TRUE,90,7/11/2015,0.000523832
Arboleda,site,TRUE,90,7/18/2015,0.000516364
Arboleda,site,TRUE,90,7/25/2015,0.000510737
Arboleda,site,TRUE,90,8/1/2015,0.000509439
Arboleda,site,TRUE,90,8/8/2015,0.000509288
Arboleda,site,TRUE,90,8/15/2015,0.000509468
Arboleda,site,TRUE,90,8/22/2015,0.000508708
Arboleda,site,TRUE,90,8/29/2015,0.000506621
Arboleda,site,TRUE,90,9/5/2015,0.000504986
Arboleda,site,TRUE,90,9/12/2015,0.000504766
Arboleda,site,TRUE,90,9/19/2015,0.000503525
Arboleda,site,TRUE,90,9/26/2015,0.000501792
Arboleda,site,TRUE,90,10/3/2015,0.000500183
Arboleda,site,TRUE,90,10/10/2015,0.000499236
Arboleda,site,TRUE,90,10/17/2015,0.000497184
Arboleda,site,TRUE,90,10/24/2015,0.00049336
Arboleda,site,TRUE,90,10/31/2015,0.00048831
Arboleda,site,TRUE,90,11/7/2015,0.000483279
Arboleda,site,TRUE,90,11/14/2015,0.000475977
Arboleda,site,TRUE,90,11/21/2015,0.000468522
Arboleda,site,TRUE,90,11/28/2015,0.000461676
Arboleda,site,TRUE,90,12/5/2015,0.000456244
Arboleda,site,TRUE,90,12/12/2015,0.000451691
Arboleda,site,TRUE,90,12/19/2015,0.000448091
Arboleda,site,TRUE,90,12/26/2015,0.000446288
Arboleda,site,TRUE,90,1/2/2016,0.00044596
Arboleda,site,TRUE,90,1/9/2016,0.000446215
Arboleda,site,TRUE,90,1/16/2016,0.000445468
Arboleda,site,TRUE,90,1/23/2016,0.000445185
Arboleda,site,TRUE,90,1/30/2016,0.000443793
Arboleda,site,TRUE,90,2/6/2016,0.000442549
Arboleda,site,TRUE,90,2/13/2016,0.000440623
Arboleda,site,TRUE,90,2/20/2016,0.000439129
Arboleda,site,TRUE,90,2/27/2016,0.000438491
Arboleda,site,TRUE,90,3/5/2016,0.000436783
Arboleda,site,TRUE,90,3/12/2016,0.000436178
Arboleda,site,TRUE,90,3/19/2016,0.000435856
Arboleda,site,TRUE,90,3/26/2016,0.000436864
Arboleda,site,TRUE,90,4/2/2016,0.000437368
Arboleda,site,TRUE,90,4/9/2016,0.000436834
Arboleda,site,TRUE,90,4/16/2016,0.000437287
Arboleda,site,TRUE,90,4/23/2016,0.000437127
Arboleda,site,TRUE,90,4/30/2016,0.000437866
