Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,RMSE_mu,RMSE_sig
Arboleda,site,4,3,FALSE,3.325905314,1.96591816
Arboleda,site,4,4,FALSE,3.453992623,1.829543223
Arboleda,site,4,8,FALSE,3.740985001,1.674631025
Arboleda,site,4,17,FALSE,4.215841399,1.619908806
Arboleda,site,4,21,FALSE,4.387847306,1.598725392
Arboleda,site,4,30,FALSE,4.74648264,1.825905122
Arboleda,site,4,34,FALSE,4.850482613,1.920528413
Arboleda,site,4,52,FALSE,4.998572641,2.018333735
Arboleda,site,4,80,FALSE,4.896861135,1.6114759
Arboleda,site,4,150,FALSE,5.175253101,2.028177311
Arboleda,site,8,3,FALSE,3.260647394,1.863498627
Arboleda,site,8,4,FALSE,3.394477586,1.74212874
Arboleda,site,8,8,FALSE,3.73719888,1.662380591
Arboleda,site,8,17,FALSE,4.172546864,1.495776714
Arboleda,site,8,21,FALSE,4.347658295,1.490128635
Arboleda,site,8,30,FALSE,4.668877902,1.692844449
Arboleda,site,8,34,FALSE,4.747748739,1.740486847
Arboleda,site,8,52,FALSE,4.853285207,1.698989798
Arboleda,site,8,80,FALSE,4.723049338,1.283679741
Arboleda,site,8,150,FALSE,4.987696542,1.606701421
Arboleda,site,13,3,FALSE,3.433513252,1.927552913
Arboleda,site,13,4,FALSE,3.536854311,1.829042412
Arboleda,site,13,8,FALSE,3.802183028,1.652761305
Arboleda,site,13,17,FALSE,4.219611026,1.481501958
Arboleda,site,13,21,FALSE,4.374165748,1.50802328
Arboleda,site,13,30,FALSE,4.624836894,1.663569368
Arboleda,site,13,34,FALSE,4.688369454,1.699173139
Arboleda,site,13,52,FALSE,4.756613871,1.544278636
Arboleda,site,13,80,FALSE,4.608147259,1.154437108
Arboleda,site,13,150,FALSE,4.882414587,1.411964235
Arboleda,site,17,3,FALSE,3.447265817,1.935878349
Arboleda,site,17,4,FALSE,3.548223547,1.820882184
Arboleda,site,17,8,FALSE,3.823579854,1.614196324
Arboleda,site,17,17,FALSE,4.227765082,1.506488991
Arboleda,site,17,21,FALSE,4.359998755,1.552402405
Arboleda,site,17,30,FALSE,4.573968303,1.670951657
Arboleda,site,17,34,FALSE,4.62462165,1.684401664
Arboleda,site,17,52,FALSE,4.681443162,1.437560709
Arboleda,site,17,80,FALSE,4.536512837,1.077696203
Arboleda,site,17,150,FALSE,4.820233614,1.30191152
Arboleda,site,21,3,FALSE,3.484245159,1.935554984
Arboleda,site,21,4,FALSE,3.590027285,1.82757623
Arboleda,site,21,8,FALSE,3.869423904,1.628636264
Arboleda,site,21,17,FALSE,4.227203625,1.586350019
Arboleda,site,21,21,FALSE,4.339756452,1.629516283
Arboleda,site,21,30,FALSE,4.521693941,1.709539884
Arboleda,site,21,34,FALSE,4.564358278,1.682118825
Arboleda,site,21,52,FALSE,4.616838018,1.369685072
Arboleda,site,21,80,FALSE,4.490255694,1.072403818
Arboleda,site,21,150,FALSE,4.784666376,1.270992417
Arboleda,site,26,3,FALSE,3.532826965,1.976824282
Arboleda,site,26,4,FALSE,3.640300198,1.882356355
