dist	t_0	alpha	wk1	wk2	wk3	wk4
negbin	2017-07-06	0.0	0.08	0.08	0.08	0.14
negbin	2017-07-06	0.1	0.16	0.16	0.16	0.22
negbin	2017-07-06	0.2	0.32	0.22	0.16	0.32
negbin	2017-07-06	0.30000000000000004	0.34	0.4	0.32	0.5
negbin	2017-07-06	0.4	0.42	0.4	0.32	0.5
negbin	2017-07-06	0.5	0.52	0.56	0.5	0.58
negbin	2017-07-06	0.6000000000000001	0.72	0.58	0.6	0.64
negbin	2017-07-06	0.7000000000000001	0.84	0.68	0.72	0.68
negbin	2017-07-06	0.8	0.84	0.78	0.82	0.84
negbin	2017-07-06	0.9	0.92	0.94	0.9	0.96
negbin	2017-07-06	1.0	1.0	1.0	1.0	1.0
negbin	2017-07-13	0.0	0.08	0.04	0.08	0.02
negbin	2017-07-13	0.1	0.16	0.22	0.22	0.24
negbin	2017-07-13	0.2	0.26	0.22	0.3	0.24
negbin	2017-07-13	0.30000000000000004	0.32	0.4	0.46	0.34
negbin	2017-07-13	0.4	0.48	0.4	0.56	0.4
negbin	2017-07-13	0.5	0.48	0.52	0.6	0.48
negbin	2017-07-13	0.6000000000000001	0.64	0.56	0.62	0.62
negbin	2017-07-13	0.7000000000000001	0.66	0.68	0.66	0.74
negbin	2017-07-13	0.8	0.78	0.74	0.78	0.94
negbin	2017-07-13	0.9	0.94	0.9	0.9	1.0
negbin	2017-07-13	1.0	1.0	1.0	1.0	1.0
negbin	2017-07-20	0.0	0.04	0.08	0.02	0.1
negbin	2017-07-20	0.1	0.12	0.22	0.14	0.16
negbin	2017-07-20	0.2	0.22	0.3	0.28	0.24
negbin	2017-07-20	0.30000000000000004	0.26	0.4	0.28	0.38
negbin	2017-07-20	0.4	0.46	0.56	0.4	0.46
negbin	2017-07-20	0.5	0.46	0.62	0.58	0.6
negbin	2017-07-20	0.6000000000000001	0.56	0.64	0.7	0.76
negbin	2017-07-20	0.7000000000000001	0.68	0.7	0.78	0.76
negbin	2017-07-20	0.8	0.78	0.78	0.94	0.82
negbin	2017-07-20	0.9	0.9	0.9	1.0	0.92
negbin	2017-07-20	1.0	1.0	1.0	1.0	1.0
negbin	2017-07-27	0.0	0.08	0.02	0.1	0.02
negbin	2017-07-27	0.1	0.22	0.14	0.16	0.24
negbin	2017-07-27	0.2	0.3	0.24	0.28	0.24
negbin	2017-07-27	0.30000000000000004	0.4	0.34	0.38	0.38
negbin	2017-07-27	0.4	0.56	0.4	0.46	0.6
negbin	2017-07-27	0.5	0.62	0.58	0.6	0.64
negbin	2017-07-27	0.6000000000000001	0.64	0.74	0.76	0.7
negbin	2017-07-27	0.7000000000000001	0.7	0.78	0.76	0.84
negbin	2017-07-27	0.8	0.78	0.94	0.84	0.86
negbin	2017-07-27	0.9	0.9	1.0	0.92	0.9
negbin	2017-07-27	1.0	1.0	1.0	1.0	1.0
negbin	2017-08-03	0.0	0.1	0.08	0.02	0.08
negbin	2017-08-03	0.1	0.12	0.18	0.24	0.2
negbin	2017-08-03	0.2	0.3	0.34	0.24	0.2
negbin	2017-08-03	0.30000000000000004	0.3	0.34	0.38	0.34
negbin	2017-08-03	0.4	0.42	0.48	0.6	0.48
negbin	2017-08-03	0.5	0.52	0.64	0.64	0.5
negbin	2017-08-03	0.6000000000000001	0.62	0.68	0.7	0.56
negbin	2017-08-03	0.7000000000000001	0.84	0.78	0.84	0.74
negbin	2017-08-03	0.8	0.94	0.84	0.86	0.8
negbin	2017-08-03	0.9	1.0	0.92	0.9	0.94
negbin	2017-08-03	1.0	1.0	1.0	1.0	1.0
negbin	2017-08-10	0.0	0.08	0.14	0.08	0.02
negbin	2017-08-10	0.1	0.18	0.16	0.18	0.08
negbin	2017-08-10	0.2	0.28	0.3	0.3	0.24
negbin	2017-08-10	0.30000000000000004	0.44	0.48	0.34	0.34
negbin	2017-08-10	0.4	0.48	0.48	0.48	0.36
negbin	2017-08-10	0.5	0.56	0.64	0.48	0.48
negbin	2017-08-10	0.6000000000000001	0.66	0.78	0.5	0.5
negbin	2017-08-10	0.7000000000000001	0.7	0.8	0.74	0.64
negbin	2017-08-10	0.8	0.84	0.84	0.78	0.74
negbin	2017-08-10	0.9	0.92	0.92	0.94	0.84
negbin	2017-08-10	1.0	1.0	1.0	1.0	1.0
negbin	2017-08-17	0.0	0.14	0.1	0.02	0.06
negbin	2017-08-17	0.1	0.28	0.18	0.16	0.16
negbin	2017-08-17	0.2	0.3	0.3	0.16	0.16
negbin	2017-08-17	0.30000000000000004	0.48	0.4	0.34	0.34
negbin	2017-08-17	0.4	0.52	0.44	0.44	0.44
negbin	2017-08-17	0.5	0.52	0.48	0.48	0.46
negbin	2017-08-17	0.6000000000000001	0.74	0.62	0.5	0.58
negbin	2017-08-17	0.7000000000000001	0.78	0.72	0.64	0.7
negbin	2017-08-17	0.8	0.88	0.78	0.74	0.8
negbin	2017-08-17	0.9	0.92	0.94	0.84	0.86
negbin	2017-08-17	1.0	1.0	1.0	1.0	1.0
negbin	2017-08-24	0.0	0.1	0.02	0.06	0.12
negbin	2017-08-24	0.1	0.18	0.1	0.12	0.14
negbin	2017-08-24	0.2	0.3	0.26	0.24	0.14
negbin	2017-08-24	0.30000000000000004	0.4	0.34	0.34	0.22
negbin	2017-08-24	0.4	0.44	0.44	0.38	0.3
negbin	2017-08-24	0.5	0.48	0.46	0.54	0.32
negbin	2017-08-24	0.6000000000000001	0.62	0.5	0.56	0.54
negbin	2017-08-24	0.7000000000000001	0.72	0.64	0.7	0.62
negbin	2017-08-24	0.8	0.92	0.74	0.78	0.74
negbin	2017-08-24	0.9	0.94	0.88	0.9	0.82
negbin	2017-08-24	1.0	1.0	1.0	1.0	1.0
negbin	2017-08-31	0.0	0.08	0.06	0.12	0.1
negbin	2017-08-31	0.1	0.1	0.2	0.12	0.24
negbin	2017-08-31	0.2	0.26	0.2	0.18	0.24
negbin	2017-08-31	0.30000000000000004	0.34	0.28	0.22	0.34
negbin	2017-08-31	0.4	0.42	0.38	0.3	0.36
negbin	2017-08-31	0.5	0.46	0.54	0.48	0.56
negbin	2017-08-31	0.6000000000000001	0.62	0.68	0.5	0.66
negbin	2017-08-31	0.7000000000000001	0.7	0.76	0.62	0.74
negbin	2017-08-31	0.8	0.84	0.8	0.7	0.84
negbin	2017-08-31	0.9	0.88	0.9	0.92	0.96
negbin	2017-08-31	1.0	1.0	1.0	1.0	1.0
negbin	2017-09-07	0.0	0.06	0.0	0.06	0.04
negbin	2017-09-07	0.1	0.14	0.16	0.16	0.16
negbin	2017-09-07	0.2	0.24	0.16	0.3	0.28
negbin	2017-09-07	0.30000000000000004	0.28	0.26	0.3	0.28
negbin	2017-09-07	0.4	0.38	0.3	0.5	0.36
negbin	2017-09-07	0.5	0.48	0.48	0.62	0.5
negbin	2017-09-07	0.6000000000000001	0.66	0.56	0.66	0.58
negbin	2017-09-07	0.7000000000000001	0.74	0.68	0.7	0.62
negbin	2017-09-07	0.8	0.8	0.74	0.84	0.7
negbin	2017-09-07	0.9	0.88	0.92	0.96	0.8
negbin	2017-09-07	1.0	1.0	1.0	1.0	1.0
negbin	2017-09-14	0.0	0.04	0.06	0.06	0.1
negbin	2017-09-14	0.1	0.04	0.12	0.26	0.14
negbin	2017-09-14	0.2	0.24	0.38	0.26	0.24
negbin	2017-09-14	0.30000000000000004	0.24	0.46	0.38	0.24
negbin	2017-09-14	0.4	0.44	0.56	0.44	0.46
negbin	2017-09-14	0.5	0.54	0.6	0.48	0.52
negbin	2017-09-14	0.6000000000000001	0.54	0.66	0.54	0.58
negbin	2017-09-14	0.7000000000000001	0.64	0.8	0.6	0.68
negbin	2017-09-14	0.8	0.74	0.96	0.7	0.8
negbin	2017-09-14	0.9	0.88	0.96	0.78	0.94
negbin	2017-09-14	1.0	1.0	1.0	1.0	1.0
negbin	2017-09-21	0.0	0.16	0.08	0.1	0.04
negbin	2017-09-21	0.1	0.26	0.12	0.12	0.12
negbin	2017-09-21	0.2	0.32	0.2	0.16	0.16
negbin	2017-09-21	0.30000000000000004	0.42	0.26	0.2	0.34
negbin	2017-09-21	0.4	0.42	0.32	0.24	0.34
negbin	2017-09-21	0.5	0.62	0.46	0.36	0.48
negbin	2017-09-21	0.6000000000000001	0.7	0.52	0.36	0.58
negbin	2017-09-21	0.7000000000000001	0.86	0.56	0.48	0.64
negbin	2017-09-21	0.8	0.88	0.62	0.66	0.68
negbin	2017-09-21	0.9	0.98	0.8	0.76	0.76
negbin	2017-09-21	1.0	1.0	1.0	1.0	1.0
negbin	2017-09-28	0.0	0.08	0.04	0.08	0.04
negbin	2017-09-28	0.1	0.16	0.14	0.26	0.08
negbin	2017-09-28	0.2	0.22	0.18	0.3	0.12
negbin	2017-09-28	0.30000000000000004	0.26	0.3	0.44	0.16
negbin	2017-09-28	0.4	0.38	0.3	0.48	0.28
negbin	2017-09-28	0.5	0.48	0.4	0.54	0.38
negbin	2017-09-28	0.6000000000000001	0.56	0.52	0.6	0.38
negbin	2017-09-28	0.7000000000000001	0.56	0.6	0.66	0.52
negbin	2017-09-28	0.8	0.68	0.7	0.7	0.62
negbin	2017-09-28	0.9	0.76	0.86	0.8	0.68
negbin	2017-09-28	1.0	1.0	1.0	1.0	1.0
negbin	2017-10-05	0.0	0.04	0.18	0.04	0.04
negbin	2017-10-05	0.1	0.08	0.26	0.08	0.1
negbin	2017-10-05	0.2	0.18	0.4	0.24	0.3
negbin	2017-10-05	0.30000000000000004	0.34	0.5	0.24	0.34
negbin	2017-10-05	0.4	0.34	0.5	0.34	0.48
negbin	2017-10-05	0.5	0.48	0.6	0.34	0.52
negbin	2017-10-05	0.6000000000000001	0.58	0.62	0.48	0.58
negbin	2017-10-05	0.7000000000000001	0.62	0.66	0.52	0.72
negbin	2017-10-05	0.8	0.7	0.74	0.68	0.84
negbin	2017-10-05	0.9	0.9	0.82	0.8	0.88
negbin	2017-10-05	1.0	1.0	1.0	1.0	1.0
negbin	2017-10-12	0.0	0.14	0.12	0.2	0.08
negbin	2017-10-12	0.1	0.2	0.16	0.24	0.26
negbin	2017-10-12	0.2	0.38	0.22	0.38	0.26
negbin	2017-10-12	0.30000000000000004	0.44	0.26	0.44	0.32
negbin	2017-10-12	0.4	0.54	0.36	0.44	0.32
