t_0	alpha	wk1	wk2	wk3	wk4
2017-07-06 00:00:00	0.0	0.1	0.06	0.1	0.06	
2017-07-06 00:00:00	0.1	0.26	0.14	0.1	0.14	
2017-07-06 00:00:00	0.2	0.34	0.24	0.24	0.22	
2017-07-06 00:00:00	0.30000000000000004	0.34	0.24	0.24	0.34	
2017-07-06 00:00:00	0.4	0.42	0.42	0.32	0.46	
2017-07-06 00:00:00	0.5	0.5	0.42	0.32	0.52	
2017-07-06 00:00:00	0.6000000000000001	0.62	0.5	0.5	0.56	
2017-07-06 00:00:00	0.7000000000000001	0.74	0.5	0.56	0.68	
2017-07-06 00:00:00	0.8	0.74	0.66	0.7	0.78	
2017-07-06 00:00:00	0.9	0.86	0.78	0.78	0.9	
2017-07-06 00:00:00	1.0	1.0	1.0	1.0	1.0	
2017-07-13 00:00:00	0.0	0.06	0.1	0.06	0.02	
2017-07-13 00:00:00	0.1	0.14	0.18	0.14	0.16	
2017-07-13 00:00:00	0.2	0.24	0.24	0.22	0.22	
2017-07-13 00:00:00	0.30000000000000004	0.24	0.24	0.22	0.22	
2017-07-13 00:00:00	0.4	0.42	0.32	0.46	0.48	
2017-07-13 00:00:00	0.5	0.42	0.32	0.52	0.56	
2017-07-13 00:00:00	0.6000000000000001	0.5	0.5	0.56	0.56	
2017-07-13 00:00:00	0.7000000000000001	0.5	0.5	0.68	0.66	
2017-07-13 00:00:00	0.8	0.66	0.56	0.78	0.78	
2017-07-13 00:00:00	0.9	0.86	0.78	0.9	0.86	
2017-07-13 00:00:00	1.0	1.0	1.0	1.0	1.0	
2017-07-20 00:00:00	0.0	0.06	0.08	0.14	0.08	
2017-07-20 00:00:00	0.1	0.16	0.14	0.16	0.1	
2017-07-20 00:00:00	0.2	0.2	0.26	0.34	0.22	
2017-07-20 00:00:00	0.30000000000000004	0.28	0.26	0.34	0.34	
2017-07-20 00:00:00	0.4	0.28	0.4	0.48	0.4	
2017-07-20 00:00:00	0.5	0.46	0.4	0.6	0.52	
2017-07-20 00:00:00	0.6000000000000001	0.52	0.64	0.6	0.64	
2017-07-20 00:00:00	0.7000000000000001	0.56	0.76	0.72	0.72	
2017-07-20 00:00:00	0.8	0.7	0.88	0.86	0.9	
2017-07-20 00:00:00	0.9	0.86	0.92	0.94	0.92	
2017-07-20 00:00:00	1.0	1.0	1.0	1.0	1.0	
2017-07-27 00:00:00	0.0	0.08	0.14	0.08	0.08	
2017-07-27 00:00:00	0.1	0.08	0.14	0.1	0.24	
2017-07-27 00:00:00	0.2	0.26	0.34	0.22	0.28	
2017-07-27 00:00:00	0.30000000000000004	0.26	0.34	0.34	0.34	
2017-07-27 00:00:00	0.4	0.4	0.48	0.4	0.44	
2017-07-27 00:00:00	0.5	0.52	0.52	0.64	0.5	
2017-07-27 00:00:00	0.6000000000000001	0.64	0.6	0.64	0.68	
2017-07-27 00:00:00	0.7000000000000001	0.76	0.72	0.72	0.72	
2017-07-27 00:00:00	0.8	0.88	0.86	0.9	0.84	
2017-07-27 00:00:00	0.9	0.92	0.94	0.92	0.88	
2017-07-27 00:00:00	1.0	1.0	1.0	1.0	1.0	
2017-08-03 00:00:00	0.0	0.14	0.08	0.16	0.08	
2017-08-03 00:00:00	0.1	0.16	0.1	0.24	0.14	
2017-08-03 00:00:00	0.2	0.34	0.1	0.3	0.2	
2017-08-03 00:00:00	0.30000000000000004	0.4	0.34	0.34	0.38	
2017-08-03 00:00:00	0.4	0.48	0.4	0.5	0.58	
2017-08-03 00:00:00	0.5	0.56	0.52	0.5	0.58	
2017-08-03 00:00:00	0.6000000000000001	0.6	0.72	0.68	0.76	
2017-08-03 00:00:00	0.7000000000000001	0.72	0.72	0.72	0.84	
2017-08-03 00:00:00	0.8	0.86	0.9	0.84	0.9	
2017-08-03 00:00:00	0.9	0.88	0.92	0.92	0.94	
2017-08-03 00:00:00	1.0	1.0	1.0	1.0	1.0	
2017-08-10 00:00:00	0.0	0.08	0.08	0.08	0.12	
2017-08-10 00:00:00	0.1	0.1	0.24	0.14	0.16	
2017-08-10 00:00:00	0.2	0.22	0.28	0.2	0.18	
2017-08-10 00:00:00	0.30000000000000004	0.34	0.34	0.38	0.42	
2017-08-10 00:00:00	0.4	0.4	0.44	0.58	0.42	
2017-08-10 00:00:00	0.5	0.64	0.5	0.58	0.58	
2017-08-10 00:00:00	0.6000000000000001	0.64	0.68	0.76	0.6	
2017-08-10 00:00:00	0.7000000000000001	0.72	0.72	0.84	0.72	
2017-08-10 00:00:00	0.8	0.9	0.84	0.9	0.84	
2017-08-10 00:00:00	0.9	0.92	0.88	0.94	0.88	
2017-08-10 00:00:00	1.0	1.0	1.0	1.0	1.0	
2017-08-17 00:00:00	0.0	0.16	0.08	0.04	0.16	
2017-08-17 00:00:00	0.1	0.24	0.14	0.16	0.22	
2017-08-17 00:00:00	0.2	0.3	0.2	0.3	0.3	
2017-08-17 00:00:00	0.30000000000000004	0.34	0.48	0.32	0.36	
2017-08-17 00:00:00	0.4	0.4	0.48	0.54	0.54	
2017-08-17 00:00:00	0.5	0.5	0.7	0.54	0.54	
2017-08-17 00:00:00	0.6000000000000001	0.68	0.7	0.7	0.64	
2017-08-17 00:00:00	0.7000000000000001	0.82	0.84	0.82	0.8	
2017-08-17 00:00:00	0.8	0.84	0.88	0.88	0.88	
2017-08-17 00:00:00	0.9	0.92	0.92	0.92	0.9	
2017-08-17 00:00:00	1.0	1.0	1.0	1.0	1.0	
2017-08-24 00:00:00	0.0	0.08	0.04	0.16	0.1	
2017-08-24 00:00:00	0.1	0.14	0.16	0.22	0.12	
2017-08-24 00:00:00	0.2	0.2	0.3	0.3	0.28	
2017-08-24 00:00:00	0.30000000000000004	0.48	0.32	0.36	0.3	
2017-08-24 00:00:00	0.4	0.48	0.44	0.44	0.5	
2017-08-24 00:00:00	0.5	0.7	0.66	0.6	0.5	
2017-08-24 00:00:00	0.6000000000000001	0.7	0.7	0.64	0.62	
2017-08-24 00:00:00	0.7000000000000001	0.84	0.8	0.78	0.8	
2017-08-24 00:00:00	0.8	0.88	0.86	0.88	0.8	
2017-08-24 00:00:00	0.9	0.92	0.92	0.9	0.9	
2017-08-24 00:00:00	1.0	1.0	1.0	1.0	1.0	
2017-08-31 00:00:00	0.0	0.04	0.16	0.1	0.12	
