Abundance_source,Dist,Scaler_win,t_0,Scaler_rto
Ceiba,poisson,13,4/8/2017,0.000463768
Ceiba,poisson,13,4/15/2017,0.000455425
Ceiba,poisson,13,4/22/2017,0.000446333
Ceiba,poisson,13,4/29/2017,0.000445734
Ceiba,poisson,13,5/6/2017,0.000448492
Ceiba,poisson,13,5/13/2017,0.000457015
Ceiba,poisson,13,5/20/2017,0.000462155
Ceiba,poisson,13,5/27/2017,0.000470121
Ceiba,poisson,13,6/3/2017,0.000474777
Ceiba,poisson,13,6/10/2017,0.000476441
Ceiba,poisson,13,6/17/2017,0.000472739
Ceiba,poisson,13,6/24/2017,0.000461511
Ceiba,poisson,13,7/1/2017,0.000446398
Ceiba,poisson,13,7/8/2017,0.000431061
Ceiba,poisson,13,7/15/2017,0.000419094
Ceiba,poisson,13,7/22/2017,0.000409057
Ceiba,poisson,13,7/29/2017,0.000399338
Ceiba,poisson,13,8/5/2017,0.000394827
Ceiba,poisson,13,8/12/2017,0.000395135
Ceiba,poisson,13,8/19/2017,0.000401241
Ceiba,poisson,13,8/26/2017,0.000404461
Ceiba,poisson,13,9/2/2017,0.000409397
Ceiba,poisson,13,9/9/2017,0.000414507
Ceiba,poisson,13,9/16/2017,0.000422404
Ceiba,poisson,13,9/23/2017,0.000428388
Ceiba,poisson,13,9/30/2017,0.000440815
Ceiba,poisson,13,10/7/2017,0.000451741
Ceiba,poisson,13,10/14/2017,0.000462461
Ceiba,poisson,13,10/21/2017,0.000474451
Ceiba,poisson,13,10/28/2017,0.000485652
Ceiba,poisson,13,11/4/2017,0.000493627
Ceiba,poisson,13,11/11/2017,0.000497398
Ceiba,poisson,13,11/18/2017,0.000498957
Ceiba,poisson,13,11/25/2017,0.000500439
Ceiba,poisson,13,12/2/2017,0.000499751
Ceiba,poisson,13,12/9/2017,0.000498898
Ceiba,poisson,13,12/16/2017,0.000495983
Ceiba,poisson,13,12/23/2017,0.000495731
Ceiba,poisson,13,12/30/2017,0.000495011
Ceiba,poisson,13,1/6/2018,0.00049508
Ceiba,poisson,13,1/13/2018,0.00049863
Ceiba,poisson,13,1/20/2018,0.000498629
Ceiba,poisson,13,1/27/2018,0.000500976
Ceiba,poisson,13,2/3/2018,0.000501582
Ceiba,poisson,13,2/10/2018,0.000506349
Ceiba,poisson,13,2/17/2018,0.000513684
Ceiba,poisson,13,2/24/2018,0.000522768
Ceiba,poisson,13,3/3/2018,0.000529927
Ceiba,poisson,13,3/10/2018,0.000543466
Ceiba,poisson,13,3/17/2018,0.000558745
Ceiba,poisson,13,3/24/2018,0.000574093
Ceiba,poisson,13,3/31/2018,0.000578397
Ceiba,poisson,13,4/7/2018,0.000580935
Ceiba,poisson,13,4/14/2018,0.000571936
Ceiba,poisson,13,4/21/2018,0.000559994
Ceiba,poisson,13,4/28/2018,0.000540837
Ceiba,poisson,13,5/5/2018,0.000523313
Ceiba,poisson,13,5/12/2018,0.000504251
Ceiba,poisson,13,5/19/2018,0.000483547
Ceiba,poisson,13,5/26/2018,0.000458691
Ceiba,poisson,13,6/2/2018,0.000435556
Ceiba,poisson,13,6/9/2018,0.000416567
Ceiba,poisson,13,6/16/2018,0.000398269
Ceiba,poisson,13,6/23/2018,0.000380002
Ceiba,poisson,13,6/30/2018,0.000368777
